"IncorporationDate","Class","n","Class.name"
2019-01-02,4511,5,"Sale of cars and light motor vehicles"
2019-01-02,4520,11,"Maintenance and repair of motor vehicles"
2019-01-02,4532,1,"Retail trade of motor vehicle parts and accessories"
2019-01-02,4611,1,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
2019-01-02,4616,2,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
2019-01-02,4617,1,"Agents involved in the sale of food, beverages and tobacco"
2019-01-02,4618,1,"Agents specialised in the sale of other particular products"
2019-01-02,4619,6,"Agents involved in the sale of a variety of goods"
2019-01-02,4622,1,"Wholesale of flowers and plants"
2019-01-02,4631,3,"Wholesale of fruit and vegetables"
2019-01-02,4632,1,"Wholesale of meat and meat products"
2019-01-02,4634,3,"Wholesale of beverages"
2019-01-02,4637,1,"Wholesale of coffee, tea, cocoa and spices"
2019-01-02,4638,1,"Wholesale of other food, including fish, crustaceans and molluscs"
2019-01-02,4639,1,"Non-specialised wholesale of food, beverages and tobacco"
2019-01-02,4641,2,"Wholesale of textiles"
2019-01-02,4645,3,"Wholesale of perfume and cosmetics"
2019-01-02,4646,1,"Wholesale of pharmaceutical goods"
2019-01-02,4647,1,"Wholesale of furniture, carpets and lighting equipment"
2019-01-02,4671,1,"Wholesale of solid, liquid and gaseous fuels and related products"
2019-01-02,4673,1,"Wholesale of wood, construction materials and sanitary equipment"
2019-01-02,4677,1,"Wholesale of waste and scrap"
2019-01-02,4690,8,"Non-specialised wholesale trade"
2019-01-02,4711,4,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
2019-01-02,4719,10,"Other retail sale in non-specialised stores"
2019-01-02,4729,1,"Other retail sale of food in specialised stores"
2019-01-02,4742,1,"Retail sale of telecommunications equipment in specialised stores"
2019-01-02,4751,2,"Retail sale of textiles in specialised stores"
2019-01-02,4754,1,"Retail sale of electrical household appliances in specialised stores"
2019-01-02,4761,1,"Retail sale of books in specialised stores"
2019-01-02,4764,2,"Retail sale of sporting equipment in specialised stores"
2019-01-02,4771,8,"Retail sale of clothing in specialised stores"
2019-01-02,4772,1,"Retail sale of footwear and leather goods in specialised stores"
2019-01-02,4773,1,"Dispensing chemist in specialised stores"
2019-01-02,4774,1,"Retail sale of medical and orthopaedic goods in specialised stores"
2019-01-02,4775,3,"Retail sale of cosmetic and toilet articles in specialised stores"
2019-01-02,4776,2,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
2019-01-02,4777,1,"Retail sale of watches and jewellery in specialised stores"
2019-01-02,4778,2,"Other retail sale of new goods in specialised stores"
2019-01-02,4779,2,"Retail sale of second-hand goods in stores"
2019-01-02,4782,2,"Retail sale via stalls and markets of textiles, clothing and footwear"
2019-01-02,4791,33,"Retail sale via mail order houses or via Internet"
2019-01-02,4799,10,"Other retail sale not in stores, stalls or markets"
2019-01-03,4511,11,"Sale of cars and light motor vehicles"
2019-01-03,4519,4,"Sale of other motor vehicles"
2019-01-03,4520,10,"Maintenance and repair of motor vehicles"
2019-01-03,4532,5,"Retail trade of motor vehicle parts and accessories"
2019-01-03,4540,1,"Sale, maintenance and repair of motorcycles and related parts and accessories"
2019-01-03,4612,1,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
2019-01-03,4613,1,"Agents involved in the sale of timber and building materials"
2019-01-03,4614,1,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
2019-01-03,4615,2,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
2019-01-03,4616,5,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
2019-01-03,4617,3,"Agents involved in the sale of food, beverages and tobacco"
2019-01-03,4618,3,"Agents specialised in the sale of other particular products"
2019-01-03,4619,8,"Agents involved in the sale of a variety of goods"
2019-01-03,4632,1,"Wholesale of meat and meat products"
2019-01-03,4634,1,"Wholesale of beverages"
2019-01-03,4637,1,"Wholesale of coffee, tea, cocoa and spices"
2019-01-03,4642,3,"Wholesale of clothing and footwear"
2019-01-03,4643,1,"Wholesale of electrical household appliances"
2019-01-03,4646,1,"Wholesale of pharmaceutical goods"
2019-01-03,4647,1,"Wholesale of furniture, carpets and lighting equipment"
2019-01-03,4649,1,"Wholesale of other household goods"
2019-01-03,4651,1,"Wholesale of computers, computer peripheral equipment and software"
2019-01-03,4652,1,"Wholesale of electronic and telecommunications equipment and parts"
2019-01-03,4665,1,"Wholesale of office furniture"
2019-01-03,4669,2,"Wholesale of other machinery and equipment"
2019-01-03,4673,1,"Wholesale of wood, construction materials and sanitary equipment"
2019-01-03,4674,1,"Wholesale of hardware, plumbing and heating equipment and supplies"
2019-01-03,4677,1,"Wholesale of waste and scrap"
2019-01-03,4690,5,"Non-specialised wholesale trade"
2019-01-03,4711,7,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
2019-01-03,4719,5,"Other retail sale in non-specialised stores"
2019-01-03,4729,4,"Other retail sale of food in specialised stores"
2019-01-03,4741,1,"Retail sale of computers, peripheral units and software in specialised stores"
2019-01-03,4742,1,"Retail sale of telecommunications equipment in specialised stores"
2019-01-03,4759,1,"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
2019-01-03,4764,2,"Retail sale of sporting equipment in specialised stores"
2019-01-03,4771,4,"Retail sale of clothing in specialised stores"
2019-01-03,4774,1,"Retail sale of medical and orthopaedic goods in specialised stores"
2019-01-03,4776,1,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
2019-01-03,4777,2,"Retail sale of watches and jewellery in specialised stores"
2019-01-03,4778,3,"Other retail sale of new goods in specialised stores"
2019-01-03,4789,1,"Retail sale via stalls and markets of other goods"
2019-01-03,4791,16,"Retail sale via mail order houses or via Internet"
2019-01-03,4799,11,"Other retail sale not in stores, stalls or markets"
2019-01-04,4511,18,"Sale of cars and light motor vehicles"
2019-01-04,4520,9,"Maintenance and repair of motor vehicles"
2019-01-04,4531,1,"Wholesale trade of motor vehicle parts and accessories"
2019-01-04,4532,2,"Retail trade of motor vehicle parts and accessories"
2019-01-04,4540,1,"Sale, maintenance and repair of motorcycles and related parts and accessories"
2019-01-04,4614,1,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
2019-01-04,4616,6,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
2019-01-04,4617,2,"Agents involved in the sale of food, beverages and tobacco"
2019-01-04,4618,3,"Agents specialised in the sale of other particular products"
2019-01-04,4619,6,"Agents involved in the sale of a variety of goods"
2019-01-04,4631,1,"Wholesale of fruit and vegetables"
2019-01-04,4634,1,"Wholesale of beverages"
2019-01-04,4635,1,"Wholesale of tobacco products"
2019-01-04,4637,1,"Wholesale of coffee, tea, cocoa and spices"
2019-01-04,4641,1,"Wholesale of textiles"
2019-01-04,4642,4,"Wholesale of clothing and footwear"
2019-01-04,4648,1,"Wholesale of watches and jewellery"
2019-01-04,4649,5,"Wholesale of other household goods"
2019-01-04,4651,2,"Wholesale of computers, computer peripheral equipment and software"
2019-01-04,4652,2,"Wholesale of electronic and telecommunications equipment and parts"
2019-01-04,4662,1,"Wholesale of machine tools"
2019-01-04,4663,1,"Wholesale of mining, construction and civil engineering machinery"
2019-01-04,4673,1,"Wholesale of wood, construction materials and sanitary equipment"
2019-01-04,4675,1,"Wholesale of chemical products"
2019-01-04,4690,11,"Non-specialised wholesale trade"
2019-01-04,4711,6,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
2019-01-04,4719,6,"Other retail sale in non-specialised stores"
2019-01-04,4721,2,"Retail sale of fruit and vegetables in specialised stores"
