"month","Class","n","Class.name"
Jan 2019,4511,311,"Sale of cars and light motor vehicles"
Jan 2019,4519,28,"Sale of other motor vehicles"
Jan 2019,4520,286,"Maintenance and repair of motor vehicles"
Jan 2019,4531,21,"Wholesale trade of motor vehicle parts and accessories"
Jan 2019,4532,66,"Retail trade of motor vehicle parts and accessories"
Jan 2019,4540,11,"Sale, maintenance and repair of motorcycles and related parts and accessories"
Jan 2019,4611,12,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
Jan 2019,4612,18,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
Jan 2019,4613,19,"Agents involved in the sale of timber and building materials"
Jan 2019,4614,28,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
Jan 2019,4615,32,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
Jan 2019,4616,73,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
Jan 2019,4617,45,"Agents involved in the sale of food, beverages and tobacco"
Jan 2019,4618,74,"Agents specialised in the sale of other particular products"
Jan 2019,4619,138,"Agents involved in the sale of a variety of goods"
Jan 2019,4621,5,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
Jan 2019,4622,10,"Wholesale of flowers and plants"
Jan 2019,4623,1,"Wholesale of live animals"
Jan 2019,4624,2,"Wholesale of hides, skins and leather"
Jan 2019,4631,44,"Wholesale of fruit and vegetables"
Jan 2019,4632,16,"Wholesale of meat and meat products"
Jan 2019,4633,10,"Wholesale of dairy products, eggs and edible oils and fats"
Jan 2019,4634,65,"Wholesale of beverages"
Jan 2019,4635,8,"Wholesale of tobacco products"
Jan 2019,4636,7,"Wholesale of sugar and chocolate and sugar confectionery"
Jan 2019,4637,27,"Wholesale of coffee, tea, cocoa and spices"
Jan 2019,4638,13,"Wholesale of other food, including fish, crustaceans and molluscs"
Jan 2019,4639,30,"Non-specialised wholesale of food, beverages and tobacco"
Jan 2019,4641,27,"Wholesale of textiles"
Jan 2019,4642,105,"Wholesale of clothing and footwear"
Jan 2019,4643,9,"Wholesale of electrical household appliances"
Jan 2019,4644,1,"Wholesale of china and glassware and cleaning materials"
Jan 2019,4645,57,"Wholesale of perfume and cosmetics"
Jan 2019,4646,27,"Wholesale of pharmaceutical goods"
Jan 2019,4647,22,"Wholesale of furniture, carpets and lighting equipment"
Jan 2019,4648,11,"Wholesale of watches and jewellery"
Jan 2019,4649,37,"Wholesale of other household goods"
