"IncorporationDate","Class","n","Class.name"
2019-01-02,4932,1,"Taxi operation"
2019-01-02,4939,1,"Other passenger land transport n.e.c."
2019-01-02,4941,19,"Freight transport by road"
2019-01-02,5020,1,"Sea and coastal freight water transport"
2019-01-02,5223,1,"Service activities incidental to air transportation"
2019-01-02,5229,3,"Other transportation support activities"
2019-01-02,5310,2,"Postal activities under universal service obligation"
2019-01-03,4932,4,"Taxi operation"
2019-01-03,4939,2,"Other passenger land transport n.e.c."
2019-01-03,4941,21,"Freight transport by road"
2019-01-03,5223,1,"Service activities incidental to air transportation"
2019-01-03,5229,4,"Other transportation support activities"
2019-01-03,5310,2,"Postal activities under universal service obligation"
2019-01-04,4920,1,"Freight rail transport"
2019-01-04,4932,5,"Taxi operation"
2019-01-04,4939,5,"Other passenger land transport n.e.c."
2019-01-04,4941,27,"Freight transport by road"
2019-01-04,5121,1,"Freight air transport"
2019-01-04,5223,2,"Service activities incidental to air transportation"
2019-01-04,5229,10,"Other transportation support activities"
2019-01-07,4932,3,"Taxi operation"
2019-01-07,4939,5,"Other passenger land transport n.e.c."
2019-01-07,4941,41,"Freight transport by road"
2019-01-07,4942,4,"Removal services"
2019-01-07,5223,1,"Service activities incidental to air transportation"
2019-01-07,5229,8,"Other transportation support activities"
2019-01-08,4932,4,"Taxi operation"
2019-01-08,4939,1,"Other passenger land transport n.e.c."
2019-01-08,4941,41,"Freight transport by road"
2019-01-08,4942,1,"Removal services"
2019-01-08,5010,1,"Sea and coastal passenger water transport"
2019-01-08,5229,3,"Other transportation support activities"
2019-01-09,4920,1,"Freight rail transport"
2019-01-09,4932,6,"Taxi operation"
2019-01-09,4939,2,"Other passenger land transport n.e.c."
2019-01-09,4941,28,"Freight transport by road"
2019-01-09,4942,1,"Removal services"
2019-01-09,5010,1,"Sea and coastal passenger water transport"
2019-01-09,5229,3,"Other transportation support activities"
2019-01-10,4932,2,"Taxi operation"
2019-01-10,4939,6,"Other passenger land transport n.e.c."
2019-01-10,4941,27,"Freight transport by road"
2019-01-10,4942,1,"Removal services"
2019-01-10,5020,3,"Sea and coastal freight water transport"
2019-01-10,5229,5,"Other transportation support activities"
2019-01-10,5310,2,"Postal activities under universal service obligation"
2019-01-11,4932,5,"Taxi operation"
2019-01-11,4939,3,"Other passenger land transport n.e.c."
2019-01-11,4941,25,"Freight transport by road"
2019-01-11,4942,2,"Removal services"
2019-01-11,5020,3,"Sea and coastal freight water transport"
2019-01-11,5121,1,"Freight air transport"
2019-01-11,5229,5,"Other transportation support activities"
2019-01-14,4910,2,"Passenger rail transport, interurban"
2019-01-14,4932,2,"Taxi operation"
2019-01-14,4941,58,"Freight transport by road"
2019-01-14,4942,1,"Removal services"
2019-01-14,5010,1,"Sea and coastal passenger water transport"
2019-01-14,5223,2,"Service activities incidental to air transportation"
2019-01-14,5229,13,"Other transportation support activities"
2019-01-14,5310,2,"Postal activities under universal service obligation"
2019-01-15,4932,3,"Taxi operation"
2019-01-15,4939,6,"Other passenger land transport n.e.c."
2019-01-15,4941,25,"Freight transport by road"
2019-01-15,4942,2,"Removal services"
2019-01-15,5223,1,"Service activities incidental to air transportation"
2019-01-15,5229,5,"Other transportation support activities"
2019-01-15,5310,1,"Postal activities under universal service obligation"
2019-01-16,4932,5,"Taxi operation"
2019-01-16,4939,2,"Other passenger land transport n.e.c."
2019-01-16,4941,37,"Freight transport by road"
2019-01-16,5010,1,"Sea and coastal passenger water transport"
2019-01-16,5020,2,"Sea and coastal freight water transport"
2019-01-16,5222,2,"Service activities incidental to water transportation"
2019-01-16,5229,4,"Other transportation support activities"
2019-01-17,4932,4,"Taxi operation"
2019-01-17,4939,4,"Other passenger land transport n.e.c."
2019-01-17,4941,30,"Freight transport by road"
2019-01-17,5229,5,"Other transportation support activities"
2019-01-18,4920,1,"Freight rail transport"
2019-01-18,4932,7,"Taxi operation"
2019-01-18,4939,4,"Other passenger land transport n.e.c."
2019-01-18,4941,20,"Freight transport by road"
2019-01-18,4942,1,"Removal services"
2019-01-18,5020,2,"Sea and coastal freight water transport"
2019-01-18,5223,1,"Service activities incidental to air transportation"
2019-01-18,5229,6,"Other transportation support activities"
2019-01-21,4932,4,"Taxi operation"
2019-01-21,4939,4,"Other passenger land transport n.e.c."
2019-01-21,4941,46,"Freight transport by road"
2019-01-21,4942,1,"Removal services"
2019-01-21,5229,6,"Other transportation support activities"
2019-01-21,5310,2,"Postal activities under universal service obligation"
2019-01-22,4920,1,"Freight rail transport"
2019-01-22,4932,4,"Taxi operation"
2019-01-22,4939,3,"Other passenger land transport n.e.c."
2019-01-22,4941,33,"Freight transport by road"
2019-01-22,5121,1,"Freight air transport"
2019-01-22,5229,2,"Other transportation support activities"
2019-01-22,5310,1,"Postal activities under universal service obligation"
2019-01-23,4932,4,"Taxi operation"
2019-01-23,4939,1,"Other passenger land transport n.e.c."
2019-01-23,4941,36,"Freight transport by road"
2019-01-23,4942,1,"Removal services"
2019-01-23,5010,1,"Sea and coastal passenger water transport"
2019-01-23,5222,1,"Service activities incidental to water transportation"
2019-01-23,5229,3,"Other transportation support activities"
2019-01-23,5310,1,"Postal activities under universal service obligation"
2019-01-24,4932,8,"Taxi operation"
2019-01-24,4939,1,"Other passenger land transport n.e.c."
2019-01-24,4941,44,"Freight transport by road"
2019-01-24,4942,1,"Removal services"
2019-01-24,5229,6,"Other transportation support activities"
2019-01-24,5310,3,"Postal activities under universal service obligation"
2019-01-25,4910,1,"Passenger rail transport, interurban"
2019-01-25,4932,4,"Taxi operation"
2019-01-25,4939,2,"Other passenger land transport n.e.c."
2019-01-25,4941,14,"Freight transport by road"
2019-01-25,4942,3,"Removal services"
2019-01-25,5229,2,"Other transportation support activities"
2019-01-28,4920,1,"Freight rail transport"
2019-01-28,4932,8,"Taxi operation"
2019-01-28,4939,2,"Other passenger land transport n.e.c."
2019-01-28,4941,81,"Freight transport by road"
2019-01-28,4942,2,"Removal services"
2019-01-28,5020,1,"Sea and coastal freight water transport"
2019-01-28,5223,2,"Service activities incidental to air transportation"
2019-01-28,5229,5,"Other transportation support activities"
2019-01-28,5310,2,"Postal activities under universal service obligation"
2019-01-29,4920,1,"Freight rail transport"
2019-01-29,4932,7,"Taxi operation"
2019-01-29,4941,26,"Freight transport by road"
2019-01-29,4942,1,"Removal services"
2019-01-29,5020,1,"Sea and coastal freight water transport"
2019-01-29,5121,1,"Freight air transport"
2019-01-29,5223,3,"Service activities incidental to air transportation"
2019-01-29,5229,5,"Other transportation support activities"
2019-01-29,5310,1,"Postal activities under universal service obligation"
2019-01-30,4932,4,"Taxi operation"
2019-01-30,4939,4,"Other passenger land transport n.e.c."
2019-01-30,4941,22,"Freight transport by road"
2019-01-30,5122,1,"Space transport"
2019-01-30,5229,7,"Other transportation support activities"
2019-01-31,4920,2,"Freight rail transport"
2019-01-31,4932,8,"Taxi operation"
2019-01-31,4939,2,"Other passenger land transport n.e.c."
2019-01-31,4941,19,"Freight transport by road"
2019-01-31,5229,3,"Other transportation support activities"
2019-02-01,4932,2,"Taxi operation"
2019-02-01,4939,5,"Other passenger land transport n.e.c."
2019-02-01,4941,25,"Freight transport by road"
2019-02-01,4942,2,"Removal services"
2019-02-01,5229,4,"Other transportation support activities"
2019-02-01,5310,4,"Postal activities under universal service obligation"
2019-02-04,4910,1,"Passenger rail transport, interurban"
2019-02-04,4932,4,"Taxi operation"
2019-02-04,4939,1,"Other passenger land transport n.e.c."
2019-02-04,4941,40,"Freight transport by road"
2019-02-04,4942,5,"Removal services"
2019-02-04,4950,1,"Transport via pipeline"
2019-02-04,5020,1,"Sea and coastal freight water transport"
2019-02-04,5229,5,"Other transportation support activities"
2019-02-05,4932,7,"Taxi operation"
2019-02-05,4939,3,"Other passenger land transport n.e.c."
2019-02-05,4941,26,"Freight transport by road"
2019-02-05,4942,2,"Removal services"
2019-02-05,5020,1,"Sea and coastal freight water transport"
2019-02-05,5223,2,"Service activities incidental to air transportation"
2019-02-05,5229,5,"Other transportation support activities"
2019-02-05,5310,1,"Postal activities under universal service obligation"
2019-02-06,4932,11,"Taxi operation"
2019-02-06,4939,4,"Other passenger land transport n.e.c."
2019-02-06,4941,34,"Freight transport by road"
2019-02-06,4942,1,"Removal services"
2019-02-06,5030,1,"Inland passenger water transport"
2019-02-06,5223,1,"Service activities incidental to air transportation"
2019-02-06,5229,5,"Other transportation support activities"
2019-02-07,4932,7,"Taxi operation"
2019-02-07,4939,3,"Other passenger land transport n.e.c."
2019-02-07,4941,27,"Freight transport by road"
2019-02-07,4942,7,"Removal services"
2019-02-07,5229,5,"Other transportation support activities"
2019-02-07,5310,1,"Postal activities under universal service obligation"
2019-02-08,4932,7,"Taxi operation"
2019-02-08,4939,4,"Other passenger land transport n.e.c."
2019-02-08,4941,28,"Freight transport by road"
2019-02-08,4942,2,"Removal services"
2019-02-08,5222,1,"Service activities incidental to water transportation"
2019-02-08,5229,10,"Other transportation support activities"
2019-02-11,4932,8,"Taxi operation"
2019-02-11,4939,8,"Other passenger land transport n.e.c."
