"month","Class","n","Class.name"
2019-01-01,4910,3,"Passenger rail transport, interurban"
2019-01-01,4920,8,"Freight rail transport"
2019-01-01,4932,102,"Taxi operation"
2019-01-01,4939,60,"Other passenger land transport n.e.c."
2019-01-01,4941,720,"Freight transport by road"
2019-01-01,4942,22,"Removal services"
2019-01-01,5010,5,"Sea and coastal passenger water transport"
2019-01-01,5020,13,"Sea and coastal freight water transport"
2019-01-01,5121,4,"Freight air transport"
2019-01-01,5122,1,"Space transport"
2019-01-01,5222,3,"Service activities incidental to water transportation"
2019-01-01,5223,14,"Service activities incidental to air transportation"
2019-01-01,5229,113,"Other transportation support activities"
2019-01-01,5310,19,"Postal activities under universal service obligation"
2019-02-01,4910,5,"Passenger rail transport, interurban"
2019-02-01,4920,1,"Freight rail transport"
2019-02-01,4932,121,"Taxi operation"
2019-02-01,4939,55,"Other passenger land transport n.e.c."
2019-02-01,4941,648,"Freight transport by road"
2019-02-01,4942,47,"Removal services"
2019-02-01,4950,2,"Transport via pipeline"
2019-02-01,5010,2,"Sea and coastal passenger water transport"
2019-02-01,5020,13,"Sea and coastal freight water transport"
2019-02-01,5030,8,"Inland passenger water transport"
2019-02-01,5121,5,"Freight air transport"
2019-02-01,5222,4,"Service activities incidental to water transportation"
2019-02-01,5223,11,"Service activities incidental to air transportation"
2019-02-01,5229,106,"Other transportation support activities"
2019-02-01,5310,25,"Postal activities under universal service obligation"
2019-03-01,4910,2,"Passenger rail transport, interurban"
2019-03-01,4920,6,"Freight rail transport"
2019-03-01,4932,133,"Taxi operation"
2019-03-01,4939,65,"Other passenger land transport n.e.c."
2019-03-01,4941,840,"Freight transport by road"
2019-03-01,4942,50,"Removal services"
2019-03-01,4950,1,"Transport via pipeline"
2019-03-01,5010,6,"Sea and coastal passenger water transport"
2019-03-01,5020,11,"Sea and coastal freight water transport"
2019-03-01,5030,5,"Inland passenger water transport"
2019-03-01,5121,4,"Freight air transport"
2019-03-01,5122,1,"Space transport"
2019-03-01,5222,4,"Service activities incidental to water transportation"
2019-03-01,5223,9,"Service activities incidental to air transportation"
2019-03-01,5229,129,"Other transportation support activities"
2019-03-01,5310,18,"Postal activities under universal service obligation"
2019-04-01,4910,3,"Passenger rail transport, interurban"
2019-04-01,4920,5,"Freight rail transport"
2019-04-01,4932,162,"Taxi operation"
2019-04-01,4939,53,"Other passenger land transport n.e.c."
2019-04-01,4941,835,"Freight transport by road"
2019-04-01,4942,62,"Removal services"
2019-04-01,5010,7,"Sea and coastal passenger water transport"
2019-04-01,5020,15,"Sea and coastal freight water transport"
2019-04-01,5040,1,"Inland freight water transport"
2019-04-01,5121,9,"Freight air transport"
2019-04-01,5222,5,"Service activities incidental to water transportation"
2019-04-01,5223,6,"Service activities incidental to air transportation"
2019-04-01,5229,121,"Other transportation support activities"
2019-04-01,5310,18,"Postal activities under universal service obligation"
2019-05-01,4910,9,"Passenger rail transport, interurban"
2019-05-01,4920,5,"Freight rail transport"
2019-05-01,4932,168,"Taxi operation"
2019-05-01,4939,57,"Other passenger land transport n.e.c."
2019-05-01,4941,892,"Freight transport by road"
2019-05-01,4942,54,"Removal services"
2019-05-01,5010,5,"Sea and coastal passenger water transport"
