"week","x","ratioTo2019","ratioTo2020"
1,13555,2.13229510775523,1.47674038566293
2,15843,1.65168890742285,1.18434626597892
3,16690,1.63627450980392,1.16477074464373
4,16014,1.4948193783254,1.17559829687271
5,16294,1.65977386166853,1.30237391095836
6,17848,1.53968253968254,1.20383110751383
7,15348,1.48980780430984,1.09160739687055
8,17473,1.65229314420804,1.29439217719831
9,19254,1.77669096613454,1.41552712836348
10,16457,1.36924868957484,1.14039221121197
11,16764,1.44529700836279,1.26740757541393
12,17240,1.46598639455782,1.55947535052013
