"week","Country","Mar2021","Mar2019","change"
1,"England (excl. Ldn)",8926,4562,95.659798334064
2,"England (excl. Ldn)",10458,6760,54.7041420118343
3,"England (excl. Ldn)",11169,7292,53.167855183763
4,"England (excl. Ldn)",10526,7736,36.0651499482937
5,"England (excl. Ldn)",10706,6978,53.4250501576383
6,"England (excl. Ldn)",12032,8295,45.0512356841471
7,"England (excl. Ldn)",10065,7362,36.7155664221679
8,"England (excl. Ldn)",11657,7472,56.0091006423983
9,"England (excl. Ldn)",13077,7747,68.8008261262424
10,"England (excl. Ldn)",10983,8694,26.3285024154589
11,"England (excl. Ldn)",11323,8400,34.797619047619
12,"England (excl. Ldn)",11465,8466,35.4240491377274
1,"Northern Ireland",152,96,58.3333333333333
2,"Northern Ireland",198,121,63.6363636363636
3,"Northern Ireland",211,115,83.4782608695652
4,"Northern Ireland",160,116,37.9310344827586
5,"Northern Ireland",225,132,70.4545454545455
6,"Northern Ireland",236,147,60.5442176870748
7,"Northern Ireland",221,154,43.5064935064935
8,"Northern Ireland",239,154,55.1948051948052
9,"Northern Ireland",255,141,80.8510638297872
10,"Northern Ireland",214,168,27.3809523809524
11,"Northern Ireland",192,116,65.5172413793103
12,"Northern Ireland",253,166,52.4096385542169
1,"Scotland",503,225,123.555555555556
2,"Scotland",727,525,38.4761904761905
3,"Scotland",670,506,32.4110671936759
4,"Scotland",744,506,47.0355731225296
5,"Scotland",777,535,45.2336448598131
6,"Scotland",785,558,40.6810035842294
7,"Scotland",802,517,55.1257253384913
8,"Scotland",807,712,13.3426966292135
9,"Scotland",797,569,40.0702987697715
10,"Scotland",740,602,22.9235880398671
11,"Scotland",795,632,25.7911392405063
12,"Scotland",768,609,26.1083743842365
1,"Wales",590,303,94.7194719471947
2,"Wales",687,459,49.6732026143791
3,"Wales",831,479,73.4864300626305
4,"Wales",717,518,38.4169884169884
5,"Wales",702,439,59.9088838268793
6,"Wales",756,540,40
7,"Wales",690,496,39.1129032258064
8,"Wales",816,459,77.7777777777778
9,"Wales",793,516,53.6821705426357
10,"Wales",690,631,9.35023771790808
11,"Wales",787,527,49.3358633776091
12,"Wales",874,605,44.4628099173554
1,"London",3658,1234,196.434359805511
2,"London",4096,1938,111.351909184727
3,"London",4315,2007,114.997508719482
4,"London",4201,2090,101.004784688995
5,"London",4222,1899,122.327540810953
6,"London",4481,2287,95.9335373852208
7,"London",3902,1973,97.7698935631019
8,"London",4415,1958,125.485188968335
9,"London",4855,2090,132.296650717703
10,"London",4237,2250,88.3111111111111
11,"London",4136,2122,94.9104618284637
12,"London",4364,2215,97.020316027088
