"date","ni","day","av7"
2019-01-01,49,"Tue",NA
2019-01-02,1220,"Wed",NA
2019-01-03,1214,"Thu",NA
2019-01-04,1755,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,2118,"Mon",908.142857142857
2019-01-08,2039,"Tue",1192.42857142857
2019-01-09,1655,"Wed",1254.57142857143
2019-01-10,1759,"Thu",1332.42857142857
2019-01-11,1628,"Fri",1314.28571428571
2019-01-12,0,NA,1314.14285714286
2019-01-13,1,"Sun",1314.28571428571
2019-01-14,2510,"Mon",1370.28571428571
2019-01-15,2020,"Tue",1367.57142857143
2019-01-16,2309,"Wed",1461
2019-01-17,1922,"Thu",1484.28571428571
2019-01-18,1797,"Fri",1508.42857142857
2019-01-19,0,NA,1508.42857142857
2019-01-20,0,NA,1508.28571428571
2019-01-21,2152,"Mon",1457.14285714286
2019-01-22,1983,"Tue",1451.85714285714
2019-01-23,2002,"Wed",1408
2019-01-24,1884,"Thu",1402.57142857143
2019-01-25,1765,"Fri",1398
2019-01-26,0,NA,1398
2019-01-27,0,NA,1398
2019-01-28,3079,"Mon",1530.42857142857
2019-01-29,2058,"Tue",1541.14285714286
2019-01-30,1796,"Wed",1511.71428571429
2019-01-31,1747,"Thu",1492.14285714286
2019-02-01,1812,"Fri",1498.85714285714
2019-02-02,1,"Sat",1499
2019-02-03,0,NA,1499
2019-02-04,2403,"Mon",1402.42857142857
2019-02-05,2112,"Tue",1410.14285714286
2019-02-06,2165,"Wed",1462.85714285714
2019-02-07,2192,"Thu",1526.42857142857
2019-02-08,1897,"Fri",1538.57142857143
2019-02-09,0,NA,1538.42857142857
2019-02-10,1,"Sun",1538.57142857143
2019-02-11,3225,"Mon",1656
2019-02-12,2212,"Tue",1670.28571428571
2019-02-13,2128,"Wed",1665
2019-02-14,1725,"Thu",1598.28571428571
2019-02-15,2126,"Fri",1631
2019-02-16,0,NA,1631
2019-02-17,0,NA,1630.85714285714
2019-02-18,2111,"Mon",1471.71428571429
2019-02-19,2336,"Tue",1489.42857142857
2019-02-20,2096,"Wed",1484.85714285714
2019-02-21,1732,"Thu",1485.85714285714
2019-02-22,1814,"Fri",1441.28571428571
2019-02-23,67,"Sat",1450.85714285714
2019-02-24,0,NA,1450.85714285714
2019-02-25,2530,"Mon",1510.71428571429
2019-02-26,1973,"Tue",1458.85714285714
2019-02-27,1871,"Wed",1426.71428571429
2019-02-28,1973,"Thu",1461.14285714286
2019-03-01,1994,"Fri",1486.85714285714
2019-03-02,1,"Sat",1477.42857142857
2019-03-03,0,NA,1477.42857142857
2019-03-04,3025,"Mon",1548.14285714286
2019-03-05,2339,"Tue",1600.42857142857
2019-03-06,1999,"Wed",1618.71428571429
2019-03-07,2123,"Thu",1640.14285714286
2019-03-08,2253,"Fri",1677.14285714286
2019-03-09,1274,"Sat",1859
2019-03-10,2,"Sun",1859.28571428571
2019-03-11,2029,"Mon",1717
2019-03-12,2207,"Tue",1698.14285714286
2019-03-13,2449,"Wed",1762.42857142857
2019-03-14,1871,"Thu",1726.42857142857
2019-03-15,2256,"Fri",1726.85714285714
2019-03-16,1,"Sat",1545
2019-03-17,0,NA,1544.71428571429
2019-03-18,2815,"Mon",1657
2019-03-19,2249,"Tue",1663
2019-03-20,2016,"Wed",1601.14285714286
2019-03-21,2285,"Thu",1660.28571428571
2019-03-22,1875,"Fri",1605.85714285714
2019-03-23,1755,"Sat",1856.42857142857
2019-03-24,0,NA,1856.42857142857
2019-03-25,1580,"Mon",1680
2019-03-26,2071,"Tue",1654.57142857143
2019-03-27,2334,"Wed",1700
2019-03-28,2024,"Thu",1662.71428571429
2019-03-29,2159,"Fri",1703.28571428571
2019-03-30,1704,"Sat",1696
2019-03-31,2,"Sun",1696.28571428571
2019-04-01,2255,"Mon",1792.71428571429
2019-04-02,2066,"Tue",1792
2019-04-03,2378,"Wed",1798.28571428571
2019-04-04,1817,"Thu",1768.71428571429
2019-04-05,2351,"Fri",1796.14285714286
2019-04-06,64,"Sat",1561.85714285714
2019-04-07,1,"Sun",1561.71428571429
2019-04-08,2620,"Mon",1613.85714285714
2019-04-09,2361,"Tue",1656
2019-04-10,2184,"Wed",1628.28571428571
2019-04-11,2159,"Thu",1677.14285714286
2019-04-12,2343,"Fri",1676
2019-04-13,1010,"Sat",1811.14285714286
2019-04-14,0,NA,1811
2019-04-15,2253,"Mon",1758.57142857143
2019-04-16,1756,"Tue",1672.14285714286
2019-04-17,1958,"Wed",1639.85714285714
2019-04-18,2143,"Thu",1637.57142857143
2019-04-19,0,NA,1302.85714285714
2019-04-20,1209,"Sat",1331.28571428571
2019-04-21,0,NA,1331.28571428571
2019-04-22,0,NA,1009.42857142857
2019-04-23,2191,"Tue",1071.57142857143
2019-04-24,1929,"Wed",1067.42857142857
2019-04-25,1880,"Thu",1029.85714285714
2019-04-26,1823,"Fri",1290.28571428571
2019-04-27,7,"Sat",1118.57142857143
2019-04-28,0,NA,1118.57142857143
2019-04-29,2531,"Mon",1480.14285714286
2019-04-30,1863,"Tue",1433.28571428571
2019-05-01,2325,"Wed",1489.85714285714
2019-05-02,1896,"Thu",1492.14285714286
2019-05-03,2271,"Fri",1556.14285714286
2019-05-04,0,NA,1555.14285714286
2019-05-05,0,NA,1555.14285714286
2019-05-06,1,"Mon",1193.71428571429
2019-05-07,2581,"Tue",1296.28571428571
2019-05-08,2238,"Wed",1283.85714285714
2019-05-09,1761,"Thu",1264.57142857143
2019-05-10,2080,"Fri",1237.28571428571
2019-05-11,0,NA,1237.28571428571
2019-05-12,0,NA,1237.28571428571
2019-05-13,2271,"Mon",1561.57142857143
2019-05-14,2041,"Tue",1484.42857142857
2019-05-15,2119,"Wed",1467.42857142857
