"week","Country","July2021","July2019","change"
1,"England (excl. Ldn)",8795,4023,118.617946805866
2,"England (excl. Ldn)",10293,6078,69.3484698914117
3,"England (excl. Ldn)",10994,6535,68.2325937260903
4,"England (excl. Ldn)",10375,6877,50.86520285008
5,"England (excl. Ldn)",10586,6199,70.7694789482175
6,"England (excl. Ldn)",11927,7502,58.9842708611037
7,"England (excl. Ldn)",9919,6664,48.8445378151261
8,"England (excl. Ldn)",11522,6798,69.4910267725802
9,"England (excl. Ldn)",12972,7085,83.091037402964
10,"England (excl. Ldn)",10923,7922,37.8818480181772
11,"England (excl. Ldn)",11319,7635,48.2514734774067
12,"England (excl. Ldn)",11468,7847,46.1450235758889
13,"England (excl. Ldn)",12470,8623,44.6132436507016
14,"England (excl. Ldn)",9732,7732,25.8665287118469
15,"England (excl. Ldn)",10730,8342,28.626228722129
16,"England (excl. Ldn)",9551,4808,98.6480865224625
17,"England (excl. Ldn)",10433,6949,50.1367103180314
18,"England (excl. Ldn)",9210,5644,63.1821403260099
19,"England (excl. Ldn)",10349,7385,40.1354096140826
20,"England (excl. Ldn)",12081,7755,55.7833655705996
21,"England (excl. Ldn)",9575,6250,53.2
22,"England (excl. Ldn)",8345,6726,24.0707701457032
23,"England (excl. Ldn)",9403,7033,33.6982795393147
24,"England (excl. Ldn)",8813,7218,22.0975339429205
25,"England (excl. Ldn)",9046,6732,34.3731431966726
26,"England (excl. Ldn)",9344,6691,39.6502764908085
27,"England (excl. Ldn)",8849,7642,15.7942946872546
28,"England (excl. Ldn)",8457,6970,21.3342898134864
29,"England (excl. Ldn)",8505,6450,31.8604651162791
1,"Northern Ireland",149,91,63.7362637362637
2,"Northern Ireland",195,110,77.2727272727273
3,"Northern Ireland",209,106,97.1698113207547
4,"Northern Ireland",158,104,51.9230769230769
5,"Northern Ireland",223,123,81.3008130081301
6,"Northern Ireland",233,141,65.2482269503546
7,"Northern Ireland",218,144,51.3888888888889
8,"Northern Ireland",235,141,66.6666666666667
9,"Northern Ireland",253,128,97.65625
10,"Northern Ireland",212,157,35.031847133758
11,"Northern Ireland",191,104,83.6538461538461
12,"Northern Ireland",251,150,67.3333333333333
13,"Northern Ireland",275,162,69.7530864197531
14,"Northern Ireland",160,171,-6.4327485380117
15,"Northern Ireland",281,157,78.9808917197452
16,"Northern Ireland",208,100,108
17,"Northern Ireland",180,122,47.5409836065574
18,"Northern Ireland",164,114,43.859649122807
19,"Northern Ireland",197,153,28.7581699346405
20,"Northern Ireland",195,156,25
21,"Northern Ireland",186,126,47.6190476190476
22,"Northern Ireland",150,146,2.73972602739727
23,"Northern Ireland",173,139,24.4604316546763
24,"Northern Ireland",176,128,37.5
25,"Northern Ireland",187,150,24.6666666666667
26,"Northern Ireland",149,123,21.1382113821138
27,"Northern Ireland",258,112,130.357142857143
28,"Northern Ireland",134,86,55.8139534883721
29,"Northern Ireland",165,178,-7.30337078651685
1,"Scotland",493,201,145.273631840796
2,"Scotland",719,471,52.6539278131635
3,"Scotland",660,446,47.9820627802691
