"date","ni","day","av7"
2019-01-01,54,"Tue",NA
2019-01-02,1080,"Wed",NA
2019-01-03,1074,"Thu",NA
2019-01-04,1545,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,1888,"Mon",806
2019-01-08,1828,"Tue",1059.42857142857
2019-01-09,1496,"Wed",1118.85714285714
2019-01-10,1560,"Thu",1188.28571428571
2019-01-11,1471,"Fri",1177.71428571429
2019-01-12,0,NA,1177.57142857143
2019-01-13,1,"Sun",1177.71428571429
2019-01-14,2214,"Mon",1224.28571428571
2019-01-15,1806,"Tue",1221.14285714286
2019-01-16,2057,"Wed",1301.28571428571
2019-01-17,1716,"Thu",1323.57142857143
2019-01-18,1595,"Fri",1341.28571428571
2019-01-19,0,NA,1341.28571428571
2019-01-20,0,NA,1341.14285714286
2019-01-21,1902,"Mon",1296.57142857143
2019-01-22,1748,"Tue",1288.28571428571
2019-01-23,1782,"Wed",1249
2019-01-24,1695,"Thu",1246
2019-01-25,1579,"Fri",1243.71428571429
2019-01-26,0,NA,1243.71428571429
2019-01-27,0,NA,1243.71428571429
2019-01-28,2692,"Mon",1356.57142857143
2019-01-29,1813,"Tue",1365.85714285714
2019-01-30,1604,"Wed",1340.42857142857
2019-01-31,1501,"Thu",1312.71428571429
2019-02-01,1631,"Fri",1320.14285714286
2019-02-02,1,"Sat",1320.28571428571
2019-02-03,0,NA,1320.28571428571
2019-02-04,2148,"Mon",1242.57142857143
2019-02-05,1921,"Tue",1258
2019-02-06,1945,"Wed",1306.71428571429
2019-02-07,1971,"Thu",1373.85714285714
2019-02-08,1735,"Fri",1388.71428571429
2019-02-09,0,NA,1388.57142857143
2019-02-10,1,"Sun",1388.71428571429
2019-02-11,2882,"Mon",1493.57142857143
2019-02-12,1993,"Tue",1503.85714285714
2019-02-13,1918,"Wed",1500
2019-02-14,1559,"Thu",1441.14285714286
2019-02-15,1928,"Fri",1468.71428571429
2019-02-16,0,NA,1468.71428571429
2019-02-17,0,NA,1468.57142857143
2019-02-18,1912,"Mon",1330
2019-02-19,2140,"Tue",1351
2019-02-20,1916,"Wed",1350.71428571429
2019-02-21,1541,"Thu",1348.14285714286
2019-02-22,1649,"Fri",1308.28571428571
2019-02-23,59,"Sat",1316.71428571429
2019-02-24,0,NA,1316.71428571429
2019-02-25,2296,"Mon",1371.57142857143
2019-02-26,1793,"Tue",1322
2019-02-27,1696,"Wed",1290.57142857143
2019-02-28,1787,"Thu",1325.71428571429
2019-03-01,1891,"Fri",1360.28571428571
2019-03-02,1,"Sat",1352
2019-03-03,0,NA,1352
2019-03-04,2727,"Mon",1413.57142857143
2019-03-05,2108,"Tue",1458.57142857143
2019-03-06,1810,"Wed",1474.85714285714
2019-03-07,1936,"Thu",1496.14285714286
2019-03-08,2070,"Fri",1521.71428571429
2019-03-09,1159,"Sat",1687.14285714286
2019-03-10,2,"Sun",1687.42857142857
