"date","ni","day"
2020-01-01,36,"Wed"
2020-01-02,1816,"Thu"
2020-01-03,1977,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2744,"Mon"
2020-01-07,2240,"Tue"
2020-01-08,1994,"Wed"
2020-01-09,2659,"Thu"
2020-01-10,2141,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,3369,"Mon"
2020-01-14,2707,"Tue"
2020-01-15,2520,"Wed"
2020-01-16,1887,"Thu"
2020-01-17,3043,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,3753,"Mon"
2020-01-21,2649,"Tue"
2020-01-22,2064,"Wed"
2020-01-23,2622,"Thu"
2020-01-24,2233,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,3263,"Mon"
2020-01-28,2940,"Tue"
2020-01-29,1937,"Wed"
2020-01-30,1914,"Thu"
2020-01-31,1946,"Fri"
2020-02-01,6,"Sat"
2020-02-02,0,NA
2020-02-03,3421,"Mon"
2020-02-04,2867,"Tue"
2020-02-05,2745,"Wed"
2020-02-06,2772,"Thu"
2020-02-07,2511,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,3476,"Mon"
2020-02-11,2916,"Tue"
2020-02-12,2656,"Wed"
2020-02-13,2794,"Thu"
2020-02-14,2691,"Fri"
2020-02-15,545,"Sat"
2020-02-16,0,NA
2020-02-17,2510,"Mon"
2020-02-18,2480,"Tue"
2020-02-19,2469,"Wed"
2020-02-20,2493,"Thu"
2020-02-21,2203,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2929,"Mon"
2020-02-25,3078,"Tue"
2020-02-26,3196,"Wed"
2020-02-27,2144,"Thu"
2020-02-28,2355,"Fri"
2020-02-29,0,NA
2020-03-01,18,"Sun"
2020-03-02,3051,"Mon"
2020-03-03,2497,"Tue"
2020-03-04,2959,"Wed"
2020-03-05,2236,"Thu"
2020-03-06,2173,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,3769,"Mon"
2020-03-10,2972,"Tue"
2020-03-11,3168,"Wed"
2020-03-12,3024,"Thu"
2020-03-13,1849,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,2474,"Mon"
2020-03-17,2433,"Tue"
2020-03-18,3033,"Wed"
2020-03-19,2035,"Thu"
2020-03-20,1921,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1931,"Mon"
2020-03-24,1867,"Tue"
2020-03-25,2035,"Wed"
2020-03-26,1459,"Thu"
2020-03-27,1134,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,2263,"Mon"
2020-03-31,1969,"Tue"
2020-04-01,1964,"Wed"
2020-04-02,1789,"Thu"
2020-04-03,1545,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,2261,"Mon"
2020-04-07,1912,"Tue"
2020-04-08,1382,"Wed"
2020-04-09,1606,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,1992,"Tue"
2020-04-15,2265,"Wed"
2020-04-16,2730,"Thu"
2020-04-17,2083,"Fri"
2020-04-18,1,"Sat"
2020-04-19,0,NA
2020-04-20,2427,"Mon"
2020-04-21,2053,"Tue"
2020-04-22,1968,"Wed"
2020-04-23,1475,"Thu"
2020-04-24,1583,"Fri"
2020-04-25,0,NA
2020-04-26,0,NA
2020-04-27,2559,"Mon"
2020-04-28,2212,"Tue"
2020-04-29,2348,"Wed"
2020-04-30,1884,"Thu"
2020-05-01,1947,"Fri"
2020-05-02,0,NA
2020-05-03,0,NA
2020-05-04,2503,"Mon"
2020-05-05,2327,"Tue"
2020-05-06,2547,"Wed"
2020-05-07,2362,"Thu"
2020-05-08,3,"Fri"
2020-05-09,0,NA
2020-05-10,0,NA
2020-05-11,3495,"Mon"
2020-05-12,2640,"Tue"
2020-05-13,2659,"Wed"
2020-05-14,2551,"Thu"
2020-05-15,2788,"Fri"
2020-05-16,0,NA
2020-05-17,0,NA
2020-05-18,2982,"Mon"
2020-05-19,3092,"Tue"
2020-05-20,3052,"Wed"
2020-05-21,2315,"Thu"
2020-05-22,2360,"Fri"
2020-05-23,0,NA
2020-05-24,0,NA
2020-05-25,0,NA
2020-05-26,4287,"Tue"
2020-05-27,4013,"Wed"
2020-05-28,2980,"Thu"
2020-05-29,2831,"Fri"
2020-05-30,2567,"Sat"
2020-05-31,1,"Sun"
2020-06-01,2144,"Mon"
2020-06-02,2894,"Tue"
2020-06-03,3397,"Wed"
2020-06-04,2686,"Thu"
2020-06-05,3149,"Fri"
2020-06-06,0,NA
2020-06-07,0,NA
2020-06-08,4621,"Mon"
2020-06-09,4081,"Tue"
2020-06-10,2617,"Wed"
2020-06-11,3650,"Thu"
2020-06-12,3166,"Fri"
2020-06-13,2386,"Sat"
2020-06-14,0,NA
2020-06-15,3228,"Mon"
2020-06-16,2720,"Tue"
2020-06-17,2806,"Wed"
2020-06-18,2785,"Thu"
2020-06-19,3361,"Fri"
2020-06-20,2796,"Sat"
2020-06-21,0,NA
2020-06-22,3449,"Mon"
2020-06-23,2750,"Tue"
2020-06-24,2804,"Wed"
2020-06-25,2598,"Thu"
2020-06-26,2240,"Fri"
2020-06-27,0,NA
2020-06-28,0,NA
2020-06-29,4144,"Mon"
2020-06-30,4015,"Tue"
2020-07-01,3626,"Wed"
2020-07-02,3294,"Thu"
2020-07-03,2652,"Fri"
2020-07-04,1474,"Sat"
2020-07-05,1633,"Sun"
2020-07-06,3511,"Mon"
2020-07-07,2828,"Tue"
2020-07-08,3049,"Wed"
2020-07-09,2813,"Thu"
2020-07-10,3079,"Fri"
2020-07-11,0,NA
2020-07-12,0,NA
2020-07-13,3863,"Mon"
2020-07-14,3708,"Tue"
2020-07-15,3591,"Wed"
2020-07-16,2733,"Thu"
2020-07-17,2667,"Fri"
2020-07-18,0,NA
2020-07-19,2307,"Sun"
2020-07-20,2900,"Mon"
2020-07-21,2964,"Tue"
2020-07-22,2739,"Wed"
2020-07-23,3158,"Thu"
2020-07-24,2833,"Fri"
2020-07-25,1,"Sat"
2020-07-26,0,NA
2020-07-27,4181,"Mon"
2020-07-28,3622,"Tue"
2020-07-29,3706,"Wed"
2020-07-30,3165,"Thu"
2020-07-31,2452,"Fri"
2020-08-01,487,"Sat"
2020-08-02,1997,"Sun"
2020-08-03,2392,"Mon"
2020-08-04,2983,"Tue"
2020-08-05,3304,"Wed"
2020-08-06,2779,"Thu"
2020-08-07,2502,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,3348,"Mon"
2020-08-11,3104,"Tue"
2020-08-12,2784,"Wed"
2020-08-13,2860,"Thu"
2020-08-14,2738,"Fri"
2020-08-15,3,"Sat"
2020-08-16,1614,"Sun"
2020-08-17,3195,"Mon"
2020-08-18,3193,"Tue"
2020-08-19,3090,"Wed"
2020-08-20,2802,"Thu"
2020-08-21,2906,"Fri"
2020-08-22,0,NA
2020-08-23,0,NA
2020-08-24,3719,"Mon"
2020-08-25,3158,"Tue"
2020-08-26,2880,"Wed"
2020-08-27,2839,"Thu"
2020-08-28,2628,"Fri"
2020-08-29,31,"Sat"
2020-08-30,0,NA
2020-08-31,3390,"Mon"
2020-09-01,2773,"Tue"
2020-09-02,2792,"Wed"
2020-09-03,3110,"Thu"
2020-09-04,3001,"Fri"
2020-09-05,0,NA
2020-09-06,1,"Sun"
2020-09-07,3791,"Mon"
2020-09-08,3259,"Tue"
2020-09-09,3262,"Wed"
2020-09-10,2759,"Thu"
2020-09-11,2172,"Fri"
2020-09-12,306,"Sat"
2020-09-13,2873,"Sun"
2020-09-14,2001,"Mon"
2020-09-15,2669,"Tue"
2020-09-16,3018,"Wed"
2020-09-17,2897,"Thu"
2020-09-18,3492,"Fri"
2020-09-19,0,NA
2020-09-20,1,"Sun"
2020-09-21,4363,"Mon"
2020-09-22,3039,"Tue"
2020-09-23,3213,"Wed"
2020-09-24,3159,"Thu"
2020-09-25,3558,"Fri"
2020-09-26,0,NA
2020-09-27,0,NA
2020-09-28,4178,"Mon"
2020-09-29,2833,"Tue"
2020-09-30,3233,"Wed"
2020-10-01,3750,"Thu"
2020-10-02,3904,"Fri"
2020-10-03,1257,"Sat"
2020-10-04,1751,"Sun"
2020-10-05,3429,"Mon"
2020-10-06,3169,"Tue"
2020-10-07,3108,"Wed"
2020-10-08,2875,"Thu"
2020-10-09,2810,"Fri"
2020-10-10,0,NA
2020-10-11,0,NA
2020-10-12,3526,"Mon"
2020-10-13,3535,"Tue"
2020-10-14,3602,"Wed"
2020-10-15,3430,"Thu"
2020-10-16,2698,"Fri"
2020-10-17,0,NA
2020-10-18,0,NA
2020-10-19,3427,"Mon"
2020-10-20,2594,"Tue"
2020-10-21,2982,"Wed"
2020-10-22,3130,"Thu"
2020-10-23,3155,"Fri"
2020-10-24,1,"Sat"
2020-10-25,0,NA
2020-10-26,3446,"Mon"
2020-10-27,3639,"Tue"
2020-10-28,2986,"Wed"
2020-10-29,2986,"Thu"
2020-10-30,2777,"Fri"
2020-10-31,1,"Sat"
2020-11-01,21,"Sun"
2020-11-02,4282,"Mon"
2020-11-03,3078,"Tue"
2020-11-04,3506,"Wed"
2020-11-05,2992,"Thu"
2020-11-06,2469,"Fri"
2020-11-07,1,"Sat"
2020-11-08,0,NA
2020-11-09,3421,"Mon"
2020-11-10,2926,"Tue"
2020-11-11,3486,"Wed"
2020-11-12,2828,"Thu"
2020-11-13,3332,"Fri"
2020-11-14,0,NA
2020-11-15,3788,"Sun"
2020-11-16,2716,"Mon"
2020-11-17,2702,"Tue"
2020-11-18,2990,"Wed"
2020-11-19,3101,"Thu"
2020-11-20,3058,"Fri"
2020-11-21,0,NA
2020-11-22,0,NA
2020-11-23,3186,"Mon"
2020-11-24,3048,"Tue"
2020-11-25,2571,"Wed"
2020-11-26,2591,"Thu"
2020-11-27,2949,"Fri"
2020-11-28,6,"Sat"
2020-11-29,0,NA
2020-11-30,3278,"Mon"
2020-12-01,3260,"Tue"
2020-12-02,3212,"Wed"
2020-12-03,2624,"Thu"
2020-12-04,2627,"Fri"
2020-12-05,0,NA
2020-12-06,2983,"Sun"
2020-12-07,2707,"Mon"
2020-12-08,2429,"Tue"
2020-12-09,3151,"Wed"
2020-12-10,2096,"Thu"
2020-12-11,2534,"Fri"
2020-12-12,0,NA
2020-12-13,0,NA
2020-12-14,2948,"Mon"
2020-12-15,2439,"Tue"
2020-12-16,2700,"Wed"
2020-12-17,2787,"Thu"
2020-12-18,2553,"Fri"
2020-12-19,274,"Sat"
2020-12-20,0,NA
2020-12-21,2985,"Mon"
2020-12-22,2319,"Tue"
2020-12-23,2331,"Wed"
2020-12-24,1579,"Thu"
2020-12-25,0,NA
2020-12-26,0,NA
2020-12-27,0,NA
2020-12-28,0,NA
2020-12-29,2608,"Tue"
2020-12-30,3221,"Wed"
2020-12-31,2395,"Thu"
2021-01-01,47,"Fri"
2021-01-02,111,"Sat"
2021-01-03,0,NA
2021-01-04,3777,"Mon"
2021-01-05,3390,"Tue"
2021-01-06,3690,"Wed"
2021-01-07,2395,"Thu"
2021-01-08,2885,"Fri"
2021-01-09,0,NA
2021-01-10,0,NA
2021-01-11,3673,"Mon"
2021-01-12,3052,"Tue"
2021-01-13,3187,"Wed"
2021-01-14,2849,"Thu"
2021-01-15,2708,"Fri"
2021-01-16,0,NA
2021-01-17,1,"Sun"
2021-01-18,4418,"Mon"
2021-01-19,3088,"Tue"
2021-01-20,3444,"Wed"
2021-01-21,2831,"Thu"
2021-01-22,2270,"Fri"
2021-01-23,0,NA
2021-01-24,53,"Sun"
2021-01-25,4409,"Mon"
2021-01-26,3055,"Tue"
2021-01-27,3334,"Wed"
2021-01-28,2703,"Thu"
2021-01-29,2715,"Fri"
2021-01-30,104,"Sat"
2021-01-31,0,NA
2021-02-01,3703,"Mon"
2021-02-02,3268,"Tue"
2021-02-03,3415,"Wed"
2021-02-04,2949,"Thu"
2021-02-05,2766,"Fri"
2021-02-06,98,"Sat"
2021-02-07,0,NA
2021-02-08,4024,"Mon"
2021-02-09,3757,"Tue"
2021-02-10,3668,"Wed"
2021-02-11,3381,"Thu"
2021-02-12,2157,"Fri"
2021-02-13,0,NA
2021-02-14,0,NA
2021-02-15,2962,"Mon"
2021-02-16,3610,"Tue"
2021-02-17,3299,"Wed"
2021-02-18,3204,"Thu"
2021-02-19,3022,"Fri"
2021-02-20,0,NA
2021-02-21,0,NA
2021-02-22,3247,"Mon"
2021-02-23,3060,"Tue"
2021-02-24,3989,"Wed"
2021-02-25,4005,"Thu"
2021-02-26,2992,"Fri"
2021-02-27,2945,"Sat"
2021-02-28,0,NA
2021-03-01,3497,"Mon"
2021-03-02,3553,"Tue"
2021-03-03,3271,"Wed"
2021-03-04,2891,"Thu"
2021-03-05,3274,"Fri"
2021-03-06,0,NA
2021-03-07,0,NA
2021-03-08,3801,"Mon"
2021-03-09,2901,"Tue"
2021-03-10,2899,"Wed"
2021-03-11,3495,"Thu"
2021-03-12,3657,"Fri"
2021-03-13,54,"Sat"
2021-03-14,0,NA
2021-03-15,4307,"Mon"
2021-03-16,3417,"Tue"
2021-03-17,2551,"Wed"
2021-03-18,2710,"Thu"
2021-03-19,3170,"Fri"
2021-03-20,1,"Sat"
2021-03-21,1892,"Sun"
2021-03-22,3526,"Mon"
2021-03-23,2760,"Tue"
2021-03-24,3256,"Wed"
2021-03-25,2603,"Thu"
2021-03-26,3276,"Fri"
2021-03-27,0,NA
2021-03-28,2064,"Sun"
2021-03-29,4154,"Mon"
2021-03-30,2984,"Tue"
2021-03-31,3120,"Wed"
2021-04-01,3153,"Thu"
2021-04-02,0,NA
2021-04-03,3266,"Sat"
2021-04-04,0,NA
2021-04-05,0,NA
2021-04-06,3561,"Tue"
2021-04-07,3650,"Wed"
2021-04-08,4121,"Thu"
2021-04-09,3541,"Fri"
2021-04-10,0,NA
2021-04-11,0,NA
2021-04-12,3234,"Mon"
2021-04-13,2656,"Tue"
2021-04-14,3628,"Wed"
2021-04-15,3462,"Thu"
2021-04-16,3099,"Fri"
2021-04-17,0,NA
2021-04-18,0,NA
2021-04-19,4035,"Mon"
2021-04-20,2482,"Tue"
2021-04-21,2804,"Wed"
2021-04-22,2541,"Thu"
2021-04-23,2735,"Fri"
2021-04-24,0,NA
2021-04-25,0,NA
2021-04-26,3669,"Mon"
2021-04-27,3475,"Tue"
2021-04-28,3213,"Wed"
2021-04-29,2983,"Thu"
2021-04-30,2485,"Fri"
2021-05-01,6,"Sat"
2021-05-02,0,NA
2021-05-03,2320,"Mon"
2021-05-04,3840,"Tue"
2021-05-05,2891,"Wed"
2021-05-06,2491,"Thu"
2021-05-07,2481,"Fri"
2021-05-08,0,NA
2021-05-09,0,NA
2021-05-10,3062,"Mon"
2021-05-11,3898,"Tue"
2021-05-12,3015,"Wed"
2021-05-13,3235,"Thu"
2021-05-14,4475,"Fri"
2021-05-15,306,"Sat"
2021-05-16,1970,"Sun"
2021-05-17,3248,"Mon"
2021-05-18,2652,"Tue"
2021-05-19,2388,"Wed"
2021-05-20,2985,"Thu"
2021-05-21,2392,"Fri"
2021-05-22,0,NA
2021-05-23,0,NA
2021-05-24,3420,"Mon"
2021-05-25,2664,"Tue"
2021-05-26,3093,"Wed"
2021-05-27,2881,"Thu"
2021-05-28,2752,"Fri"
2021-05-29,0,NA
2021-05-30,0,NA
2021-05-31,1570,"Mon"
2021-06-01,3348,"Tue"
2021-06-02,2583,"Wed"
2021-06-03,2513,"Thu"
2021-06-04,2359,"Fri"
2021-06-05,0,NA
2021-06-06,0,NA
2021-06-07,3765,"Mon"
2021-06-08,2859,"Tue"
2021-06-09,2494,"Wed"
2021-06-10,2890,"Thu"
2021-06-11,2210,"Fri"
2021-06-12,0,NA
2021-06-13,0,NA
2021-06-14,2998,"Mon"
2021-06-15,3037,"Tue"
2021-06-16,2459,"Wed"
2021-06-17,2636,"Thu"
2021-06-18,2782,"Fri"
2021-06-19,233,"Sat"
2021-06-20,273,"Sun"
2021-06-21,3457,"Mon"
2021-06-22,2347,"Tue"
2021-06-23,2223,"Wed"
2021-06-24,2346,"Thu"
2021-06-25,2736,"Fri"
2021-06-26,224,"Sat"
2021-06-27,273,"Sun"
2021-06-28,2901,"Mon"
2021-06-29,2618,"Tue"
2021-06-30,2517,"Wed"
