"week","x","ratioTo2019","ratioTo2020"
1,13410,2.29426860564585,1.5214431586113
2,15646,1.75817507585122,1.21569541569542
3,16490,1.75276360544218,1.19035587959287
4,15824,1.61667347772783,1.2059137326627
5,16154,1.81220551940767,1.33603506740551
6,17694,1.65488215488215,1.22704576976422
7,15232,1.57991909552951,1.11377595788242
8,17323,1.70703586913678,1.31513817187975
9,19149,1.83472262144294,1.44400874745494
10,16370,1.41084202361458,1.16017009213324
11,16696,1.49191314449111,1.28916685970195
12,17208,1.51652419141623,1.59525354593492
13,18751,1.538480472596,2.11636568848758
14,14598,1.32902403495994,1.54133671206842
15,16521,1.3832049564635,3.31746987951807
16,14961,2.17456395348837,1.29431611731119
17,16075,1.60221269809628,1.64080841073798
18,14033,1.73718742262936,1.27468434916886
19,15691,1.46644859813084,1.42038562505658
20,18024,1.64617773312631,1.28084138715179
21,14450,1.61290322580645,1.20276344265024
22,12766,1.30598465473146,0.73241537578887
23,14367,1.44420989143546,0.801104048176648
24,13340,1.29163439194423,0.750830190803174
25,13661,1.4267362924282,0.76118571348972
