"date","ni","day","av7"
2019-01-01,50,"Tue",NA
2019-01-02,1110,"Wed",NA
2019-01-03,1110,"Thu",NA
2019-01-04,1593,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,1981,"Mon",835
2019-01-08,1913,"Tue",1101.14285714286
2019-01-09,1561,"Wed",1165.57142857143
2019-01-10,1624,"Thu",1239
2019-01-11,1518,"Fri",1228.28571428571
2019-01-12,0,NA,1228.14285714286
2019-01-13,1,"Sun",1228.28571428571
2019-01-14,2282,"Mon",1271.28571428571
2019-01-15,1904,"Tue",1270
2019-01-16,2133,"Wed",1351.71428571429
2019-01-17,1756,"Thu",1370.57142857143
2019-01-18,1656,"Fri",1390.28571428571
2019-01-19,0,NA,1390.28571428571
2019-01-20,0,NA,1390.14285714286
2019-01-21,1959,"Mon",1344
2019-01-22,1825,"Tue",1332.71428571429
2019-01-23,1835,"Wed",1290.14285714286
2019-01-24,1730,"Thu",1286.42857142857
2019-01-25,1621,"Fri",1281.42857142857
2019-01-26,0,NA,1281.42857142857
2019-01-27,0,NA,1281.42857142857
2019-01-28,2777,"Mon",1398.28571428571
2019-01-29,1866,"Tue",1404.14285714286
2019-01-30,1642,"Wed",1376.57142857143
2019-01-31,1554,"Thu",1351.42857142857
2019-02-01,1677,"Fri",1359.42857142857
2019-02-02,1,"Sat",1359.57142857143
2019-02-03,0,NA,1359.57142857143
2019-02-04,2174,"Mon",1273.42857142857
2019-02-05,1954,"Tue",1286
2019-02-06,1968,"Wed",1332.57142857143
2019-02-07,1999,"Thu",1396.14285714286
2019-02-08,1758,"Fri",1407.71428571429
2019-02-09,0,NA,1407.57142857143
2019-02-10,1,"Sun",1407.71428571429
2019-02-11,3012,"Mon",1527.42857142857
2019-02-12,2022,"Tue",1537.14285714286
2019-02-13,1995,"Wed",1541
2019-02-14,1655,"Thu",1491.85714285714
2019-02-15,2008,"Fri",1527.57142857143
2019-02-16,0,NA,1527.57142857143
