"week","AreaCovered","Feb2021","Feb2019","change"
1,"Central London",1568,322,386.95652173913
2,"Central London",1618,486,232.921810699588
3,"Central London",1711,496,244.959677419355
4,"Central London",1592,569,179.789103690685
5,"Central London",1676,535,213.271028037383
6,"Central London",1734,549,215.846994535519
7,"Central London",1578,485,225.360824742268
8,"Central London",1671,492,239.634146341463
1,"East London",501,161,211.180124223602
2,"East London",566,330,71.5151515151515
3,"East London",577,331,74.3202416918429
4,"East London",576,374,54.0106951871658
5,"East London",601,298,101.677852348993
6,"East London",560,374,49.7326203208556
7,"East London",492,344,43.0232558139535
8,"East London",604,364,65.9340659340659
1,"North London",615,301,104.318936877076
2,"North London",744,417,78.4172661870504
3,"North London",816,440,85.4545454545455
4,"North London",802,412,94.6601941747573
5,"North London",738,395,86.8354430379747
6,"North London",947,492,92.479674796748
7,"North London",742,430,72.5581395348837
8,"North London",834,435,91.7241379310345
1,"South East London",313,147,112.925170068027
2,"South East London",329,181,81.767955801105
3,"South East London",351,215,63.2558139534884
4,"South East London",382,193,97.9274611398964
5,"South East London",347,184,88.5869565217391
6,"South East London",344,266,29.3233082706767
7,"South East London",292,215,35.8139534883721
8,"South East London",382,220,73.6363636363636
1,"South West London",338,156,116.666666666667
2,"South West London",386,274,40.8759124087591
3,"South West London",381,279,36.5591397849462
4,"South West London",367,277,32.4909747292419
5,"South West London",414,255,62.3529411764706
6,"South West London",410,285,43.859649122807
7,"South West London",332,257,29.1828793774319
8,"South West London",412,225,83.1111111111111
1,"West London",343,174,97.1264367816092
2,"West London",473,293,61.4334470989761
3,"West London",491,288,70.4861111111111
4,"West London",490,329,48.936170212766
5,"West London",464,298,55.7046979865772
6,"West London",506,389,30.0771208226221
7,"West London",479,293,63.481228668942
8,"West London",522,292,78.7671232876712
