"Section","week","x","change","Section.name"
" A",1,119,105.172413793103,"Agriculture, forestry and fishing"
" A",2,146,139.344262295082,"Agriculture, forestry and fishing"
" A",3,106,16.4835164835165,"Agriculture, forestry and fishing"
" A",4,125,66.6666666666667,"Agriculture, forestry and fishing"
" A",5,149,77.3809523809524,"Agriculture, forestry and fishing"
" A",6,147,110,"Agriculture, forestry and fishing"
" A",7,147,122.727272727273,"Agriculture, forestry and fishing"
" A",8,124,93.75,"Agriculture, forestry and fishing"
" B",1,20,53.8461538461539,"Mining and quarrying"
" B",2,20,-25.9259259259259,"Mining and quarrying"
" B",3,30,36.3636363636364,"Mining and quarrying"
" B",4,23,4.54545454545454,"Mining and quarrying"
" B",5,23,35.2941176470588,"Mining and quarrying"
" B",6,15,-53.125,"Mining and quarrying"
" B",7,19,-17.3913043478261,"Mining and quarrying"
" B",8,36,157.142857142857,"Mining and quarrying"
" C",1,970,140.694789081886,"Manufacturing"
" C",2,972,98.3673469387755,"Manufacturing"
" C",3,1003,70,"Manufacturing"
" C",4,1068,86.7132867132867,"Manufacturing"
" C",5,1031,96.3809523809524,"Manufacturing"
" C",6,1106,100.36231884058,"Manufacturing"
" C",7,914,59.5113438045375,"Manufacturing"
" C",8,1071,84.3373493975904,"Manufacturing"
" D",1,26,62.5,"Electricity, gas, steam and air conditioning supply"
" D",2,48,50,"Electricity, gas, steam and air conditioning supply"
" D",3,34,70,"Electricity, gas, steam and air conditioning supply"
" D",4,37,23.3333333333333,"Electricity, gas, steam and air conditioning supply"
" D",5,44,175,"Electricity, gas, steam and air conditioning supply"
" D",6,39,77.2727272727273,"Electricity, gas, steam and air conditioning supply"
" D",7,38,111.111111111111,"Electricity, gas, steam and air conditioning supply"
" D",8,33,120,"Electricity, gas, steam and air conditioning supply"
" E",1,37,131.25,"Water supply; sewerage, waste management and remediation activities"
" E",2,57,147.826086956522,"Water supply; sewerage, waste management and remediation activities"
" E",3,64,82.8571428571428,"Water supply; sewerage, waste management and remediation activities"
" E",4,54,107.692307692308,"Water supply; sewerage, waste management and remediation activities"
" E",5,56,86.6666666666667,"Water supply; sewerage, waste management and remediation activities"
" E",6,58,87.0967741935484,"Water supply; sewerage, waste management and remediation activities"
" E",7,54,80,"Water supply; sewerage, waste management and remediation activities"
" E",8,74,94.7368421052632,"Water supply; sewerage, waste management and remediation activities"
" F",1,2376,117.981651376147,"Construction"
" F",2,2871,65.0948821161587,"Construction"
" F",3,3091,58.1883316274309,"Construction"
" F",4,2856,41.1764705882353,"Construction"
" F",5,2911,61.7222222222222,"Construction"
" F",6,3190,47.2760849492151,"Construction"
" F",7,2802,47.8627968337731,"Construction"
" F",8,3109,54.6766169154229,"Construction"
" G",1,3798,247.166361974406,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",2,4228,157.80487804878,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",3,4417,167.211131276467,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",4,4264,135.971223021583,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",5,4234,162.981366459627,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",6,4739,156.578234975636,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",7,3947,116.98735568994,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",8,4315,139.323349972268,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" H",1,746,110.140845070423,"Transportation and storage"
" H",2,937,70.3636363636364,"Transportation and storage"
" H",3,1116,70.1219512195122,"Transportation and storage"
" H",4,881,1.96759259259258,"Transportation and storage"
" H",5,1001,104.703476482618,"Transportation and storage"
" H",6,1113,41.06463878327,"Transportation and storage"
" H",7,742,21.4402618657938,"Transportation and storage"
" H",8,998,26.9720101781171,"Transportation and storage"
" I",1,2210,87.4469889737065,"Accommodation and food service activities"
" I",2,2838,36.1151079136691,"Accommodation and food service activities"
" I",3,2890,19.6192052980132,"Accommodation and food service activities"
" I",4,2689,14.2310960067969,"Accommodation and food service activities"
" I",5,2755,40.7048008171604,"Accommodation and food service activities"
" I",6,2974,15.2713178294574,"Accommodation and food service activities"
" I",7,2681,18.680832226649,"Accommodation and food service activities"
" I",8,3512,46.7000835421888,"Accommodation and food service activities"
" K",1,2451,147.076612903226,"Financial and insurance activities"
" K",2,3633,123.706896551724,"Financial and insurance activities"
" K",3,3659,105.561797752809,"Financial and insurance activities"
" K",4,3464,78.3728115345005,"Financial and insurance activities"
" K",5,3424,69.0864197530864,"Financial and insurance activities"
" K",6,4199,77.2477838750528,"Financial and insurance activities"
" K",7,3826,84.6525096525097,"Financial and insurance activities"
" K",8,4509,111.293345829428,"Financial and insurance activities"
" L",1,2196,117.641228939544,"Real estate activities"
" L",2,2838,78.82797731569,"Real estate activities"
" L",3,3269,77.7596519847743,"Real estate activities"
" L",4,3246,69.0625,"Real estate activities"
" L",5,3043,62.3799359658485,"Real estate activities"
" L",6,3503,48.5581000848176,"Real estate activities"
" L",7,3282,64.3465197796695,"Real estate activities"
" L",8,3467,70.4523107177974,"Real estate activities"
" M",1,4003,53.019877675841,"Professional, scientific and technical activities"
" M",2,4400,10.2204408817635,"Professional, scientific and technical activities"
" M",3,4584,15.2917505030181,"Professional, scientific and technical activities"
" M",4,4301,-0.185657925272686,"Professional, scientific and technical activities"
" M",5,4306,11.1225806451613,"Professional, scientific and technical activities"
" M",6,4912,4.089849544395,"Professional, scientific and technical activities"
" M",7,4273,7.20020070245861,"Professional, scientific and technical activities"
" M",8,4678,8.18686401480111,"Professional, scientific and technical activities"
" N",1,1505,135.524256651017,"Administrative and support service activities"
" N",2,1520,33.8028169014084,"Administrative and support service activities"
" N",3,1632,48.9051094890511,"Administrative and support service activities"
" N",4,1682,50.1785714285714,"Administrative and support service activities"
" N",5,1561,38.8790035587189,"Administrative and support service activities"
" N",6,1828,38.1708238851096,"Administrative and support service activities"
" N",7,1573,36.7826086956522,"Administrative and support service activities"
" N",8,1882,72.9779411764706,"Administrative and support service activities"
" O",1,42,90.9090909090909,"Public administration and defence; compulsory social security"
" O",2,52,136.363636363636,"Public administration and defence; compulsory social security"
" O",3,62,106.666666666667,"Public administration and defence; compulsory social security"
" O",4,32,28,"Public administration and defence; compulsory social security"
" O",5,51,41.6666666666667,"Public administration and defence; compulsory social security"
" O",6,60,106.896551724138,"Public administration and defence; compulsory social security"
" O",7,44,25.7142857142857,"Public administration and defence; compulsory social security"
" O",8,59,180.952380952381,"Public administration and defence; compulsory social security"
" P",1,262,66.8789808917197,"Education"
" P",2,274,50.5494505494505,"Education"
