"date","ni","day"
2020-01-01,36,"Wed"
2020-01-02,1885,"Thu"
2020-01-03,2033,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2842,"Mon"
2020-01-07,2298,"Tue"
2020-01-08,2056,"Wed"
2020-01-09,2723,"Thu"
2020-01-10,2201,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,3473,"Mon"
2020-01-14,2782,"Tue"
2020-01-15,2580,"Wed"
2020-01-16,1926,"Thu"
2020-01-17,3122,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,3859,"Mon"
2020-01-21,2713,"Tue"
2020-01-22,2116,"Wed"
2020-01-23,2677,"Thu"
2020-01-24,2292,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,3355,"Mon"
2020-01-28,3036,"Tue"
2020-01-29,1975,"Wed"
2020-01-30,1964,"Thu"
2020-01-31,1991,"Fri"
2020-02-01,6,"Sat"
2020-02-02,0,NA
2020-02-03,3515,"Mon"
2020-02-04,2954,"Tue"
2020-02-05,2790,"Wed"
2020-02-06,2824,"Thu"
2020-02-07,2555,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,3565,"Mon"
2020-02-11,2988,"Tue"
2020-02-12,2716,"Wed"
2020-02-13,2850,"Thu"
2020-02-14,2749,"Fri"
2020-02-15,559,"Sat"
2020-02-16,0,NA
2020-02-17,2557,"Mon"
2020-02-18,2538,"Tue"
2020-02-19,2517,"Wed"
2020-02-20,2547,"Thu"
2020-02-21,2245,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2982,"Mon"
2020-02-25,3143,"Tue"
2020-02-26,3256,"Wed"
2020-02-27,2184,"Thu"
2020-02-28,2388,"Fri"
2020-02-29,0,NA
2020-03-01,18,"Sun"
2020-03-02,3132,"Mon"
2020-03-03,2542,"Tue"
2020-03-04,2997,"Wed"
2020-03-05,2268,"Thu"
2020-03-06,2212,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,3837,"Mon"
2020-03-10,3031,"Tue"
2020-03-11,3220,"Wed"
2020-03-12,3073,"Thu"
2020-03-13,1882,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,2524,"Mon"
2020-03-17,2476,"Tue"
2020-03-18,3088,"Wed"
2020-03-19,2071,"Thu"
2020-03-20,1952,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1979,"Mon"
2020-03-24,1914,"Tue"
2020-03-25,2078,"Wed"
2020-03-26,1485,"Thu"
2020-03-27,1166,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,2325,"Mon"
2020-03-31,2013,"Tue"
2020-04-01,1997,"Wed"
2020-04-02,1823,"Thu"
2020-04-03,1574,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,2309,"Mon"
2020-04-07,1947,"Tue"
2020-04-08,1401,"Wed"
2020-04-09,1629,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,2027,"Tue"
2020-04-15,2302,"Wed"
2020-04-16,2766,"Thu"
2020-04-17,2134,"Fri"
2020-04-18,1,"Sat"
2020-04-19,0,NA
2020-04-20,2480,"Mon"
2020-04-21,2087,"Tue"
2020-04-22,2000,"Wed"
2020-04-23,1506,"Thu"
2020-04-24,1595,"Fri"
2020-04-25,0,NA
2020-04-26,0,NA
2020-04-27,2600,"Mon"
2020-04-28,2248,"Tue"
2020-04-29,2386,"Wed"
2020-04-30,1902,"Thu"
2020-05-01,1966,"Fri"
2020-05-02,0,NA
2020-05-03,0,NA
2020-05-04,2541,"Mon"
2020-05-05,2351,"Tue"
2020-05-06,2580,"Wed"
2020-05-07,2392,"Thu"
2020-05-08,3,"Fri"
2020-05-09,0,NA
2020-05-10,0,NA
2020-05-11,3536,"Mon"
2020-05-12,2672,"Tue"
2020-05-13,2686,"Wed"
2020-05-14,2572,"Thu"
2020-05-15,2825,"Fri"
2020-05-16,0,NA
2020-05-17,0,NA
2020-05-18,3014,"Mon"
2020-05-19,3124,"Tue"
2020-05-20,3094,"Wed"
2020-05-21,2342,"Thu"
2020-05-22,2380,"Fri"
2020-05-23,0,NA
2020-05-24,0,NA
2020-05-25,0,NA
2020-05-26,4339,"Tue"
2020-05-27,4065,"Wed"
2020-05-28,3012,"Thu"
2020-05-29,2865,"Fri"
2020-05-30,2594,"Sat"
2020-05-31,1,"Sun"
2020-06-01,2172,"Mon"
2020-06-02,2917,"Tue"
2020-06-03,3427,"Wed"
2020-06-04,2720,"Thu"
