"week","Country","Apr2021","Apr2019","change"
1,"England (excl. Ldn)",8875,4471,98.5014538134646
2,"England (excl. Ldn)",10394,6659,56.0895029283676
3,"England (excl. Ldn)",11128,7195,54.6629603891591
4,"England (excl. Ldn)",10493,7658,37.0201096892139
5,"England (excl. Ldn)",10696,6902,54.9695740365111
6,"England (excl. Ldn)",12036,8233,46.1921535284829
7,"England (excl. Ldn)",10064,7309,37.69325489123
8,"England (excl. Ldn)",11660,7436,56.8047337278106
9,"England (excl. Ldn)",13085,7695,70.0454840805718
10,"England (excl. Ldn)",11022,8659,27.2895253493475
11,"England (excl. Ldn)",11388,8351,36.3669021674051
12,"England (excl. Ldn)",11554,8406,37.4494408755651
13,"England (excl. Ldn)",12517,8918,40.3565821933169
14,"England (excl. Ldn)",9776,8040,21.592039800995
15,"England (excl. Ldn)",10763,8699,23.7268651569146
16,"England (excl. Ldn)",9538,5013,90.2653101934969
17,"England (excl. Ldn)",10359,7230,43.2780082987552
1,"Northern Ireland",150,96,56.25
2,"Northern Ireland",196,117,67.5213675213675
3,"Northern Ireland",210,113,85.8407079646018
4,"Northern Ireland",160,114,40.3508771929825
5,"Northern Ireland",224,130,72.3076923076923
6,"Northern Ireland",236,146,61.6438356164384
7,"Northern Ireland",221,154,43.5064935064935
8,"Northern Ireland",239,153,56.2091503267974
9,"Northern Ireland",255,138,84.7826086956522
10,"Northern Ireland",214,167,28.1437125748503
11,"Northern Ireland",192,116,65.5172413793103
12,"Northern Ireland",252,166,51.8072289156626
13,"Northern Ireland",275,172,59.8837209302326
14,"Northern Ireland",160,180,-11.1111111111111
15,"Northern Ireland",283,169,67.4556213017751
16,"Northern Ireland",209,108,93.5185185185185
17,"Northern Ireland",180,135,33.3333333333333
1,"Scotland",499,222,124.774774774775
2,"Scotland",725,514,41.0505836575876
3,"Scotland",667,497,34.20523138833
4,"Scotland",743,497,49.4969818913481
5,"Scotland",775,530,46.2264150943396
6,"Scotland",785,555,41.4414414414414
7,"Scotland",802,513,56.3352826510721
8,"Scotland",807,707,14.1442715700141
9,"Scotland",797,565,41.0619469026549
10,"Scotland",740,597,23.9530988274707
11,"Scotland",795,628,26.5923566878981
12,"Scotland",767,606,26.5676567656766
13,"Scotland",894,640,39.6875
14,"Scotland",784,612,28.1045751633987
15,"Scotland",773,518,49.2277992277992
16,"Scotland",748,373,100.536193029491
17,"Scotland",743,596,24.6644295302013
1,"Wales",602,289,108.304498269896
2,"Wales",683,459,48.80174291939
3,"Wales",841,473,77.8012684989429
4,"Wales",723,509,42.0432220039293
5,"Wales",711,432,64.5833333333333
6,"Wales",766,542,41.3284132841328
7,"Wales",692,488,41.8032786885246
8,"Wales",815,455,79.1208791208791
9,"Wales",772,510,51.3725490196078
10,"Wales",663,629,5.40540540540539
11,"Wales",733,520,40.9615384615385
12,"Wales",802,596,34.5637583892617
13,"Wales",834,594,40.4040404040404
14,"Wales",644,545,18.1651376146789
15,"Wales",719,539,33.3951762523191
16,"Wales",654,301,117.275747508306
17,"Wales",716,466,53.6480686695279
1,"London",3630,1223,196.811120196239
2,"London",4075,1898,114.699683877766
3,"London",4288,1981,116.45633518425
4,"London",4171,2055,102.968369829684
5,"London",4207,1880,123.776595744681
6,"London",4467,2265,97.2185430463576
7,"London",3897,1955,99.3350383631713
8,"London",4419,1937,128.136293236964
9,"London",4855,2064,135.222868217054
10,"London",4216,2225,89.4831460674157
11,"London",4113,2095,96.3245823389022
12,"London",4341,2196,97.6775956284153
13,"London",4751,2401,97.8758850478967
14,"London",3621,2047,76.8930141670738
15,"London",4448,2522,76.3679619349722
16,"London",4180,1339,212.173263629574
17,"London",4491,2036,120.579567779961
