"week","AreaCovered","Apr2021","Apr2019","change"
1,"Central London",1539,312,393.269230769231
2,"Central London",1597,466,242.703862660944
3,"Central London",1688,483,249.482401656315
4,"Central London",1568,541,189.833641404806
5,"Central London",1663,492,238.008130081301
6,"Central London",1714,524,227.099236641221
7,"Central London",1563,460,239.782608695652
8,"Central London",1667,460,262.391304347826
9,"Central London",1824,469,288.912579957356
10,"Central London",1572,577,172.443674176776
11,"Central London",1553,491,216.293279022403
12,"Central London",1663,547,204.021937842779
13,"Central London",1910,603,216.749585406302
14,"Central London",1351,463,191.792656587473
15,"Central London",1790,728,145.879120879121
16,"Central London",1609,292,451.027397260274
17,"Central London",1900,503,277.733598409543
1,"East London",490,164,198.780487804878
2,"East London",556,324,71.604938271605
3,"East London",578,316,82.9113924050633
4,"East London",576,355,62.2535211267606
5,"East London",600,282,112.765957446808
6,"East London",561,370,51.6216216216216
7,"East London",494,331,49.2447129909366
8,"East London",600,347,72.9106628242075
9,"East London",676,353,91.5014164305949
10,"East London",585,362,61.6022099447514
11,"East London",589,361,63.1578947368421
12,"East London",620,353,75.6373937677054
13,"East London",684,395,73.1645569620253
14,"East London",576,320,80
15,"East London",647,382,69.3717277486911
16,"East London",630,231,172.727272727273
17,"East London",592,368,60.8695652173913
1,"North London",602,289,108.304498269896
2,"North London",731,404,80.940594059406
3,"North London",797,438,81.9634703196347
4,"North London",793,385,105.974025974026
5,"North London",729,384,89.84375
6,"North London",932,473,97.0401691331924
7,"North London",724,417,73.621103117506
8,"North London",818,417,96.1630695443645
9,"North London",904,426,112.206572769953
10,"North London",837,477,75.4716981132076
11,"North London",793,439,80.6378132118451
12,"North London",841,443,89.8419864559819
13,"North London",815,525,55.2380952380952
14,"North London",666,450,48
15,"North London",825,503,64.0159045725646
16,"North London",683,290,135.51724137931
17,"North London",775,392,97.704081632653
1,"South East London",310,135,129.62962962963
2,"South East London",325,171,90.0584795321637
3,"South East London",348,205,69.7560975609756
4,"South East London",373,181,106.077348066298
5,"South East London",337,178,89.3258426966292
6,"South East London",335,249,34.5381526104418
7,"South East London",295,209,41.1483253588517
8,"South East London",389,205,89.7560975609756
9,"South East London",385,235,63.8297872340426
10,"South East London",323,214,50.9345794392523
11,"South East London",323,214,50.9345794392523
12,"South East London",358,237,51.0548523206751
13,"South East London",363,250,45.2
14,"South East London",281,220,27.7272727272727
15,"South East London",320,269,18.9591078066915
16,"South East London",369,149,147.651006711409
17,"South East London",365,245,48.9795918367347
1,"South West London",335,150,123.333333333333
2,"South West London",382,254,50.3937007874016
3,"South West London",379,262,44.6564885496183
4,"South West London",364,267,36.3295880149813
5,"South West London",403,250,61.2
6,"South West London",401,269,49.0706319702602
7,"South West London",331,247,34.0080971659919
8,"South West London",407,216,88.4259259259259
9,"South West London",437,257,70.0389105058366
10,"South West London",365,238,53.3613445378151
11,"South West London",354,271,30.6273062730627
12,"South West London",357,273,30.7692307692308
13,"South West London",408,296,37.8378378378378
14,"South West London",313,238,31.5126050420168
15,"South West London",355,299,18.7290969899666
16,"South West London",352,158,122.784810126582
17,"South West London",380,227,67.4008810572687
1,"West London",354,173,104.624277456647
2,"West London",484,279,73.4767025089606
3,"West London",498,277,79.7833935018051
4,"West London",497,326,52.4539877300614
5,"West London",475,294,61.5646258503401
6,"West London",524,380,37.8947368421053
7,"West London",490,291,68.3848797250859
8,"West London",538,292,84.2465753424658
9,"West London",629,324,94.1358024691358
10,"West London",534,357,49.5798319327731
11,"West London",501,319,57.0532915360502
12,"West London",502,343,46.3556851311953
13,"West London",571,332,71.9879518072289
14,"West London",434,356,21.9101123595506
15,"West London",511,341,49.8533724340176
16,"West London",537,219,145.205479452055
17,"West London",479,301,59.1362126245847
