"Section","week","x","x2019","change","Section.name"
" A",1,119,53,124.528301886792,"Agriculture, forestry and fishing"
" A",2,145,58,150,"Agriculture, forestry and fishing"
" A",3,106,86,23.2558139534884,"Agriculture, forestry and fishing"
" A",4,123,72,70.8333333333333,"Agriculture, forestry and fishing"
" A",5,148,83,78.3132530120482,"Agriculture, forestry and fishing"
" A",6,146,66,121.212121212121,"Agriculture, forestry and fishing"
" A",7,148,62,138.709677419355,"Agriculture, forestry and fishing"
" A",8,123,66,86.3636363636364,"Agriculture, forestry and fishing"
" A",9,158,98,61.2244897959184,"Agriculture, forestry and fishing"
" A",10,149,93,60.2150537634408,"Agriculture, forestry and fishing"
" A",11,123,82,50,"Agriculture, forestry and fishing"
" A",12,157,85,84.7058823529412,"Agriculture, forestry and fishing"
" A",13,168,80,110,"Agriculture, forestry and fishing"
" A",14,129,81,59.2592592592593,"Agriculture, forestry and fishing"
" A",15,119,68,75,"Agriculture, forestry and fishing"
" A",16,116,50,132,"Agriculture, forestry and fishing"
" A",17,121,66,83.3333333333333,"Agriculture, forestry and fishing"
" B",1,19,13,46.1538461538461,"Mining and quarrying"
" B",2,20,26,-23.0769230769231,"Mining and quarrying"
" B",3,30,21,42.8571428571429,"Mining and quarrying"
" B",4,23,20,15,"Mining and quarrying"
" B",5,23,14,64.2857142857143,"Mining and quarrying"
" B",6,15,32,-53.125,"Mining and quarrying"
" B",7,19,23,-17.3913043478261,"Mining and quarrying"
" B",8,36,13,176.923076923077,"Mining and quarrying"
" B",9,23,23,0,"Mining and quarrying"
" B",10,26,18,44.4444444444444,"Mining and quarrying"
" B",11,23,19,21.0526315789474,"Mining and quarrying"
" B",12,24,32,-25,"Mining and quarrying"
" B",13,26,22,18.1818181818182,"Mining and quarrying"
" B",14,20,21,-4.76190476190477,"Mining and quarrying"
" B",15,12,18,-33.3333333333333,"Mining and quarrying"
" B",16,24,13,84.6153846153846,"Mining and quarrying"
" B",17,30,23,30.4347826086957,"Mining and quarrying"
" C",1,957,380,151.842105263158,"Manufacturing"
" C",2,962,478,101.255230125523,"Manufacturing"
" C",3,996,561,77.5401069518716,"Manufacturing"
" C",4,1065,554,92.2382671480144,"Manufacturing"
" C",5,1032,501,105.988023952096,"Manufacturing"
" C",6,1107,537,106.145251396648,"Manufacturing"
" C",7,914,551,65.8802177858439,"Manufacturing"
" C",8,1070,576,85.7638888888889,"Manufacturing"
" C",9,1094,549,99.2714025500911,"Manufacturing"
" C",10,930,597,55.7788944723618,"Manufacturing"
" C",11,1027,590,74.0677966101695,"Manufacturing"
" C",12,1015,551,84.2105263157895,"Manufacturing"
" C",13,1045,648,61.2654320987654,"Manufacturing"
" C",14,935,632,47.9430379746835,"Manufacturing"
" C",15,976,713,36.8863955119215,"Manufacturing"
