"date","ni","day","av7"
2019-01-01,49,"Tue",NA
2019-01-02,1199,"Wed",NA
2019-01-03,1192,"Thu",NA
2019-01-04,1722,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,2082,"Mon",892.142857142857
2019-01-08,2020,"Tue",1173.71428571429
2019-01-09,1621,"Wed",1234
2019-01-10,1724,"Thu",1310
2019-01-11,1608,"Fri",1293.71428571429
2019-01-12,0,NA,1293.57142857143
2019-01-13,1,"Sun",1293.71428571429
2019-01-14,2464,"Mon",1348.28571428571
2019-01-15,1991,"Tue",1344.14285714286
2019-01-16,2281,"Wed",1438.42857142857
2019-01-17,1897,"Thu",1463.14285714286
2019-01-18,1777,"Fri",1487.28571428571
2019-01-19,0,NA,1487.28571428571
2019-01-20,0,NA,1487.14285714286
2019-01-21,2117,"Mon",1437.57142857143
2019-01-22,1966,"Tue",1434
2019-01-23,1977,"Wed",1390.57142857143
2019-01-24,1863,"Thu",1385.71428571429
2019-01-25,1741,"Fri",1380.57142857143
2019-01-26,0,NA,1380.57142857143
2019-01-27,0,NA,1380.57142857143
2019-01-28,3038,"Mon",1512.14285714286
2019-01-29,2033,"Tue",1521.71428571429
2019-01-30,1784,"Wed",1494.14285714286
2019-01-31,1723,"Thu",1474.14285714286
2019-02-01,1795,"Fri",1481.85714285714
2019-02-02,1,"Sat",1482
2019-02-03,0,NA,1482
2019-02-04,2377,"Mon",1387.57142857143
2019-02-05,2098,"Tue",1396.85714285714
2019-02-06,2152,"Wed",1449.42857142857
2019-02-07,2170,"Thu",1513.28571428571
2019-02-08,1881,"Fri",1525.57142857143
2019-02-09,0,NA,1525.42857142857
2019-02-10,1,"Sun",1525.57142857143
2019-02-11,3203,"Mon",1643.57142857143
2019-02-12,2188,"Tue",1656.42857142857
2019-02-13,2114,"Wed",1651
2019-02-14,1717,"Thu",1586.28571428571
2019-02-15,2111,"Fri",1619.14285714286
2019-02-16,0,NA,1619.14285714286
2019-02-17,0,NA,1619
2019-02-18,2092,"Mon",1460.28571428571
2019-02-19,2310,"Tue",1477.71428571429
2019-02-20,2087,"Wed",1473.85714285714
2019-02-21,1722,"Thu",1474.57142857143
2019-02-22,1806,"Fri",1431
2019-02-23,67,"Sat",1440.57142857143
2019-02-24,0,NA,1440.57142857143
2019-02-25,2521,"Mon",1501.85714285714
2019-02-26,1955,"Tue",1451.14285714286
2019-02-27,1858,"Wed",1418.42857142857
2019-02-28,1961,"Thu",1452.57142857143
2019-03-01,1979,"Fri",1477.28571428571
2019-03-02,1,"Sat",1467.85714285714
2019-03-03,0,NA,1467.85714285714
2019-03-04,2995,"Mon",1535.57142857143
2019-03-05,2325,"Tue",1588.42857142857
2019-03-06,1985,"Wed",1606.57142857143
2019-03-07,2110,"Thu",1627.85714285714
2019-03-08,2245,"Fri",1665.85714285714
2019-03-09,1268,"Sat",1846.85714285714
2019-03-10,2,"Sun",1847.14285714286
2019-03-11,2016,"Mon",1707.28571428571
2019-03-12,2188,"Tue",1687.71428571429
2019-03-13,2437,"Wed",1752.28571428571
2019-03-14,1857,"Thu",1716.14285714286
2019-03-15,2239,"Fri",1715.28571428571
2019-03-16,1,"Sat",1534.28571428571
2019-03-17,0,NA,1534
2019-03-18,2793,"Mon",1645
2019-03-19,2236,"Tue",1651.85714285714
2019-03-20,2001,"Wed",1589.57142857143
2019-03-21,2268,"Thu",1648.28571428571
2019-03-22,1860,"Fri",1594.14285714286
2019-03-23,1745,"Sat",1843.28571428571
2019-03-24,0,NA,1843.28571428571
2019-03-25,1563,"Mon",1667.57142857143
2019-03-26,2059,"Tue",1642.28571428571
