"Section","week","x","change","Section.name"
" A",1,119,108.771929824561,"Agriculture, forestry and fishing"
" A",2,146,143.333333333333,"Agriculture, forestry and fishing"
" A",3,106,17.7777777777778,"Agriculture, forestry and fishing"
" A",4,126,72.6027397260274,"Agriculture, forestry and fishing"
" A",5,149,79.5180722891566,"Agriculture, forestry and fishing"
" A",6,147,122.727272727273,"Agriculture, forestry and fishing"
" A",7,148,138.709677419355,"Agriculture, forestry and fishing"
" A",8,123,92.1875,"Agriculture, forestry and fishing"
" A",9,158,61.2244897959184,"Agriculture, forestry and fishing"
" A",10,150,61.2903225806452,"Agriculture, forestry and fishing"
" A",11,123,50,"Agriculture, forestry and fishing"
" A",12,158,79.5454545454545,"Agriculture, forestry and fishing"
" B",1,19,46.1538461538461,"Mining and quarrying"
" B",2,20,-23.0769230769231,"Mining and quarrying"
" B",3,30,42.8571428571429,"Mining and quarrying"
" B",4,23,9.52380952380953,"Mining and quarrying"
" B",5,23,64.2857142857143,"Mining and quarrying"
" B",6,15,-53.125,"Mining and quarrying"
" B",7,19,-17.3913043478261,"Mining and quarrying"
" B",8,36,176.923076923077,"Mining and quarrying"
" B",9,23,0,"Mining and quarrying"
" B",10,26,44.4444444444444,"Mining and quarrying"
" B",11,23,21.0526315789474,"Mining and quarrying"
" B",12,24,-27.2727272727273,"Mining and quarrying"
" C",1,967,151.822916666667,"Manufacturing"
" C",2,969,101.03734439834,"Manufacturing"
" C",3,1002,75.1748251748252,"Manufacturing"
" C",4,1068,89.0265486725664,"Manufacturing"
" C",5,1034,101.953125,"Manufacturing"
" C",6,1107,106.145251396648,"Manufacturing"
" C",7,913,62.4555160142349,"Manufacturing"
" C",8,1074,85.8131487889273,"Manufacturing"
" C",9,1092,97.8260869565217,"Manufacturing"
" C",10,933,56.5436241610738,"Manufacturing"
" C",11,1030,73.109243697479,"Manufacturing"
" C",12,1016,84.7272727272727,"Manufacturing"
" D",1,26,62.5,"Electricity, gas, steam and air conditioning supply"
" D",2,48,50,"Electricity, gas, steam and air conditioning supply"
" D",3,34,70,"Electricity, gas, steam and air conditioning supply"
" D",4,37,27.5862068965517,"Electricity, gas, steam and air conditioning supply"
" D",5,44,214.285714285714,"Electricity, gas, steam and air conditioning supply"
" D",6,39,77.2727272727273,"Electricity, gas, steam and air conditioning supply"
" D",7,38,111.111111111111,"Electricity, gas, steam and air conditioning supply"
" D",8,33,120,"Electricity, gas, steam and air conditioning supply"
" D",9,41,70.8333333333333,"Electricity, gas, steam and air conditioning supply"
" D",10,38,-2.56410256410257,"Electricity, gas, steam and air conditioning supply"
" D",11,46,109.090909090909,"Electricity, gas, steam and air conditioning supply"
" D",12,47,51.6129032258064,"Electricity, gas, steam and air conditioning supply"
" E",1,37,131.25,"Water supply; sewerage, waste management and remediation activities"
" E",2,57,159.090909090909,"Water supply; sewerage, waste management and remediation activities"
" E",3,63,96.875,"Water supply; sewerage, waste management and remediation activities"
" E",4,55,111.538461538462,"Water supply; sewerage, waste management and remediation activities"
" E",5,57,90,"Water supply; sewerage, waste management and remediation activities"
" E",6,58,87.0967741935484,"Water supply; sewerage, waste management and remediation activities"
" E",7,54,86.2068965517241,"Water supply; sewerage, waste management and remediation activities"
" E",8,74,100,"Water supply; sewerage, waste management and remediation activities"
" E",9,88,225.925925925926,"Water supply; sewerage, waste management and remediation activities"
" E",10,60,50,"Water supply; sewerage, waste management and remediation activities"
" E",11,60,106.896551724138,"Water supply; sewerage, waste management and remediation activities"
" E",12,60,106.896551724138,"Water supply; sewerage, waste management and remediation activities"
" F",1,2374,121.661998132586,"Construction"
" F",2,2870,66.8604651162791,"Construction"
" F",3,3082,59.1942148760331,"Construction"
" F",4,2852,42.8857715430862,"Construction"
" F",5,2906,64.0880858272163,"Construction"
" F",6,3187,50.1885014137606,"Construction"
" F",7,2805,50,"Construction"
" F",8,3105,57.1356275303644,"Construction"
" F",9,3209,62.3987854251012,"Construction"
" F",10,3101,48.9433237271854,"Construction"
" F",11,2960,41.9664268585132,"Construction"
" F",12,3077,46.3147883975273,"Construction"
" G",1,3796,257.43879472693,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",2,4229,163.489096573209,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",3,4430,172.113022113022,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",4,4262,140.383530738861,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",5,4241,168.757921419518,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",6,4730,165.730337078652,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",7,3953,123.333333333333,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",8,4321,148.190695002872,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",9,4773,154.01809473124,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",10,4101,109.448416751788,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",11,4056,102.395209580838,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" G",12,4245,125.07953340403,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
" H",1,741,107.563025210084,"Transportation and storage"
" H",2,939,76.172607879925,"Transportation and storage"
" H",3,1115,74.21875,"Transportation and storage"
" H",4,884,5.99520383693046,"Transportation and storage"
" H",5,1002,114.561027837259,"Transportation and storage"
" H",6,1112,42.9305912596401,"Transportation and storage"
" H",7,744,23.3830845771144,"Transportation and storage"
" H",8,998,29.1073738680466,"Transportation and storage"
" H",9,1332,89.4736842105263,"Transportation and storage"
" H",10,719,-31.5238095238095,"Transportation and storage"
" H",11,808,-37.1206225680934,"Transportation and storage"
" H",12,967,-24.0973312401884,"Transportation and storage"
" I",1,2218,92.7019982623805,"Accommodation and food service activities"
" I",2,2826,37.9209370424597,"Accommodation and food service activities"
" I",3,2884,22.2551928783383,"Accommodation and food service activities"
" I",4,2696,16.1068044788975,"Accommodation and food service activities"
" I",5,2758,44.7769028871391,"Accommodation and food service activities"
" I",6,2987,17.5521448248721,"Accommodation and food service activities"
" I",7,2691,20.5105239587998,"Accommodation and food service activities"
" I",8,3497,49.1894197952218,"Accommodation and food service activities"
" I",9,3963,56.1465721040189,"Accommodation and food service activities"
" I",10,3449,23.6643958408032,"Accommodation and food service activities"
" I",11,3421,31.4252785247791,"Accommodation and food service activities"
" I",12,3418,34.9921011058452,"Accommodation and food service activities"
" K",1,2432,150.205761316872,"Financial and insurance activities"
" K",2,3614,124.61155997514,"Financial and insurance activities"
" K",3,3640,104.609331084879,"Financial and insurance activities"
" K",4,3424,78.6124152321335,"Financial and insurance activities"
" K",5,3395,71.3780918727915,"Financial and insurance activities"
" K",6,4137,76.117496807152,"Financial and insurance activities"
" K",7,3788,88.0834160873883,"Financial and insurance activities"
" K",8,4431,110.199240986717,"Financial and insurance activities"
" K",9,4468,136.903499469777,"Financial and insurance activities"
" K",10,3434,46.1898680289485,"Financial and insurance activities"
" K",11,3690,53.75,"Financial and insurance activities"
" K",12,3610,52.1922428330523,"Financial and insurance activities"
" L",1,2209,121.564694082247,"Real estate activities"
" L",2,2846,81.389420012747,"Real estate activities"
" L",3,3284,79.7482211275315,"Real estate activities"
" L",4,3264,72.6984126984127,"Real estate activities"
" L",5,3066,65.2830188679245,"Real estate activities"
" L",6,3525,51.4175257731959,"Real estate activities"
" L",7,3288,65.3092006033182,"Real estate activities"
" L",8,3518,73.1299212598425,"Real estate activities"
" L",9,3906,90.9090909090909,"Real estate activities"
" L",10,3418,50.8384819064431,"Real estate activities"
" L",11,3511,70.5196697425935,"Real estate activities"
" L",12,3688,70.5039297272307,"Real estate activities"
" M",1,3998,57.5877020102483,"Professional, scientific and technical activities"
" M",2,4404,12.54791719908,"Professional, scientific and technical activities"
" M",3,4589,18.548178765177,"Professional, scientific and technical activities"
" M",4,4308,2.52260828177058,"Professional, scientific and technical activities"
" M",5,4320,15.0772509323388,"Professional, scientific and technical activities"
" M",6,4908,6.11891891891891,"Professional, scientific and technical activities"
" M",7,4260,9.39907550077042,"Professional, scientific and technical activities"
" M",8,4676,11.7323775388291,"Professional, scientific and technical activities"
" M",9,5242,26.252408477842,"Professional, scientific and technical activities"
" M",10,4457,-4.17114599010966,"Professional, scientific and technical activities"
" M",11,4377,5.11527377521614,"Professional, scientific and technical activities"
" M",12,4559,7.3210922787194,"Professional, scientific and technical activities"
" N",1,1504,140.255591054313,"Administrative and support service activities"
" N",2,1525,35.9180035650624,"Administrative and support service activities"
" N",3,1630,51.0658016682113,"Administrative and support service activities"
" N",4,1680,54.5538178472861,"Administrative and support service activities"
" N",5,1559,43.5543278084715,"Administrative and support service activities"
" N",6,1828,40.7236335642802,"Administrative and support service activities"
" N",7,1573,39.5740905057675,"Administrative and support service activities"
" N",8,1885,78.3349101229896,"Administrative and support service activities"
" N",9,1968,87.6072449952336,"Administrative and support service activities"
" N",10,1855,46.9889064976228,"Administrative and support service activities"
" N",11,1933,43.7174721189591,"Administrative and support service activities"
" N",12,1862,41.4893617021277,"Administrative and support service activities"
" O",1,42,100,"Public administration and defence; compulsory social security"
" O",2,52,136.363636363636,"Public administration and defence; compulsory social security"
" O",3,62,106.666666666667,"Public administration and defence; compulsory social security"
" O",4,32,28,"Public administration and defence; compulsory social security"
" O",5,51,50,"Public administration and defence; compulsory social security"
" O",6,60,114.285714285714,"Public administration and defence; compulsory social security"
" O",7,44,46.6666666666667,"Public administration and defence; compulsory social security"
" O",8,59,195,"Public administration and defence; compulsory social security"
" O",9,48,45.4545454545455,"Public administration and defence; compulsory social security"
" O",10,33,-8.33333333333334,"Public administration and defence; compulsory social security"
" O",11,41,41.3793103448276,"Public administration and defence; compulsory social security"
" O",12,28,-17.6470588235294,"Public administration and defence; compulsory social security"
" P",1,261,68.3870967741936,"Education"
" P",2,273,53.3707865168539,"Education"
" P",3,318,62.2448979591837,"Education"
" P",4,312,71.4285714285714,"Education"
" P",5,303,58.6387434554974,"Education"
" P",6,304,35.7142857142857,"Education"
" P",7,276,61.4035087719298,"Education"
" P",8,308,48.792270531401,"Education"
" P",9,394,111.827956989247,"Education"
" P",10,317,41.5178571428571,"Education"
" P",11,355,99.438202247191,"Education"
" P",12,357,50.6329113924051,"Education"
" Q",1,543,57.8488372093023,"Human health and social work activities"
" Q",2,714,64.5161290322581,"Human health and social work activities"
" Q",3,777,50,"Human health and social work activities"
" Q",4,751,47.5442043222004,"Human health and social work activities"
" Q",5,703,66.5876777251185,"Human health and social work activities"
" Q",6,813,43.3862433862434,"Human health and social work activities"
" Q",7,651,32.0486815415822,"Human health and social work activities"
" Q",8,734,42.8015564202335,"Human health and social work activities"
" Q",9,746,68.3972911963883,"Human health and social work activities"
" Q",10,702,13.0434782608696,"Human health and social work activities"
" Q",11,696,27.7064220183486,"Human health and social work activities"
" Q",12,687,10.2728731942215,"Human health and social work activities"
" R",1,381,120.231213872832,"Arts, entertainment and recreation"
" R",2,462,46.2025316455696,"Arts, entertainment and recreation"
" R",3,468,31.4606741573034,"Arts, entertainment and recreation"
" R",4,442,26.2857142857143,"Arts, entertainment and recreation"
" R",5,398,22.0858895705522,"Arts, entertainment and recreation"
" R",6,471,34.5714285714286,"Arts, entertainment and recreation"
" R",7,484,40.2898550724638,"Arts, entertainment and recreation"
" R",8,481,46.2006079027356,"Arts, entertainment and recreation"
" R",9,649,84.375,"Arts, entertainment and recreation"
" R",10,470,16.3366336633663,"Arts, entertainment and recreation"
" R",11,482,26.1780104712042,"Arts, entertainment and recreation"
" R",12,523,31.4070351758794,"Arts, entertainment and recreation"
" S",1,707,83.160621761658,"Other service activities"
" S",2,807,57.3099415204678,"Other service activities"
" S",3,698,11.8589743589744,"Other service activities"
" S",4,736,18.1380417335474,"Other service activities"
" S",5,732,33.8208409506399,"Other service activities"
" S",6,775,11.5107913669065,"Other service activities"
" S",7,662,21.4678899082569,"Other service activities"
" S",8,773,36.5724381625442,"Other service activities"
" S",9,914,45.5414012738853,"Other service activities"
" S",10,771,12.0639534883721,"Other service activities"
" S",11,821,31.150159744409,"Other service activities"
" S",12,875,33.1811263318113,"Other service activities"
" T",1,9,80,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",2,4,33.3333333333333,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",3,7,75,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",4,7,40,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",5,10,233.333333333333,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",6,8,166.666666666667,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",7,11,1000,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",8,12,300,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",9,7,250,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",10,11,120,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",11,7,16.6666666666667,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" T",12,10,150,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
" U",1,2,-60,"Activities of extraterritorial organisations and bodies"
" U",2,2,-33.3333333333333,"Activities of extraterritorial organisations and bodies"
" U",3,1,-66.6666666666667,"Activities of extraterritorial organisations and bodies"
" U",5,2,100,"Activities of extraterritorial organisations and bodies"
" U",6,1,-66.6666666666667,"Activities of extraterritorial organisations and bodies"
" U",7,2,100,"Activities of extraterritorial organisations and bodies"
" U",8,1,0,"Activities of extraterritorial organisations and bodies"
" U",9,3,-50,"Activities of extraterritorial organisations and bodies"
