"date","ni","day"
2020-01-01,37,"Wed"
2020-01-02,1523,"Thu"
2020-01-03,1657,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2223,"Mon"
2020-01-07,1893,"Tue"
2020-01-08,1731,"Wed"
2020-01-09,2264,"Thu"
2020-01-10,1824,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,2812,"Mon"
2020-01-14,2309,"Tue"
2020-01-15,2149,"Wed"
2020-01-16,1631,"Thu"
2020-01-17,2615,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,3150,"Mon"
2020-01-21,2266,"Tue"
2020-01-22,1762,"Wed"
2020-01-23,2247,"Thu"
2020-01-24,1885,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,2679,"Mon"
2020-01-28,2431,"Tue"
2020-01-29,1606,"Wed"
2020-01-30,1593,"Thu"
2020-01-31,1655,"Fri"
2020-02-01,6,"Sat"
2020-02-02,0,NA
2020-02-03,3324,"Mon"
2020-02-04,2808,"Tue"
2020-02-05,2723,"Wed"
2020-02-06,2726,"Thu"
2020-02-07,2471,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,3425,"Mon"
2020-02-11,2889,"Tue"
2020-02-12,2617,"Wed"
2020-02-13,2737,"Thu"
2020-02-14,2651,"Fri"
2020-02-15,542,"Sat"
2020-02-16,0,NA
2020-02-17,2475,"Mon"
2020-02-18,2446,"Tue"
2020-02-19,2434,"Wed"
2020-02-20,2451,"Thu"
2020-02-21,2180,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2875,"Mon"
2020-02-25,3044,"Tue"
2020-02-26,3158,"Wed"
2020-02-27,2115,"Thu"
2020-02-28,2329,"Fri"
2020-02-29,0,NA
2020-03-01,18,"Sun"
2020-03-02,2990,"Mon"
2020-03-03,2466,"Tue"
2020-03-04,2923,"Wed"
2020-03-05,2210,"Thu"
2020-03-06,2153,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,3725,"Mon"
2020-03-10,2930,"Tue"
2020-03-11,3135,"Wed"
2020-03-12,2989,"Thu"
2020-03-13,1839,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,2445,"Mon"
2020-03-17,2402,"Tue"
2020-03-18,2994,"Wed"
2020-03-19,2015,"Thu"
2020-03-20,1895,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1904,"Mon"
2020-03-24,1839,"Tue"
2020-03-25,2012,"Wed"
2020-03-26,1441,"Thu"
2020-03-27,1115,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,2223,"Mon"
2020-03-31,1947,"Tue"
2020-04-01,1945,"Wed"
2020-04-02,1766,"Thu"
2020-04-03,1526,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,2224,"Mon"
2020-04-07,1883,"Tue"
2020-04-08,1362,"Wed"
2020-04-09,1574,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,1963,"Tue"
2020-04-15,2223,"Wed"
2020-04-16,2686,"Thu"
2020-04-17,2054,"Fri"
2020-04-18,1,"Sat"
2020-04-19,0,NA
2020-04-20,2387,"Mon"
2020-04-21,2031,"Tue"
2020-04-22,1943,"Wed"
2020-04-23,1455,"Thu"
2020-04-24,1561,"Fri"
2020-04-25,0,NA
2020-04-26,0,NA
2020-04-27,2525,"Mon"
2020-04-28,2179,"Tue"
2020-04-29,2319,"Wed"
