"week","x","ratioTo2019","ratioTo2020"
1,13357,2.36742289968096,1.82124352331606
2,15588,1.81890315052509,1.42486288848263
3,16436,1.81092992507713,1.39146630545208
4,15766,1.66027801179444,1.43275172664486
5,16113,1.85249482639687,1.46588427947598
6,17645,1.68770923003348,1.23963748770549
7,15170,1.62943071965628,1.12637362637363
8,17270,1.79877096135819,1.33009858287123
9,19084,1.92865083375442,1.45946772713368
10,16336,1.50133259810679,1.17171137569933
11,16654,1.58669969512195,1.29977366736908
12,17150,1.58400295557403,1.61078238001315
13,18727,1.55656221427978,2.14316777294575
14,14537,1.34440025894756,1.55575770547945
15,16453,1.40073216414098,3.35844049806083
16,14906,2.2174947932163,1.30961166754525
17,16050,1.62498734433532,1.66097485253027
18,14017,1.75519659403957,1.28738060249816
19,15694,1.49012533232055,1.43520804755373
20,18025,1.66975451597962,1.29369123663246
21,14455,1.63038574328897,1.2125660598943
22,12774,1.32126603227141,0.737656637985794
23,14369,1.45479396577908,0.805437219730942
24,13341,1.30245045396856,0.753984401492031
25,13665,1.43887543434769,0.765589108633537
26,14186,1.49090909090909,0.902417302798982
27,13587,1.26720761052043,0.717522179974652
28,12850,1.32215248482354,0.782010710808179
29,12962,1.38853776111409,0.758721610863966
30,13569,1.44228316326531,0.824562469615946
