"week","AreaCovered","July2021","July2019","change"
1,"Central London",1513,284,432.746478873239
2,"Central London",1570,420,273.809523809524
3,"Central London",1662,429,287.412587412587
4,"Central London",1534,480,219.583333333333
5,"Central London",1641,450,264.666666666667
6,"Central London",1686,479,251.983298538622
7,"Central London",1538,413,272.397094430993
8,"Central London",1636,422,287.677725118483
9,"Central London",1795,428,319.392523364486
10,"Central London",1554,515,201.747572815534
11,"Central London",1529,445,243.595505617978
12,"Central London",1658,480,245.416666666667
13,"Central London",1865,574,224.912891986063
14,"Central London",1335,449,197.327394209354
15,"Central London",1771,680,160.441176470588
16,"Central London",1590,275,478.181818181818
17,"Central London",1866,475,292.842105263158
18,"Central London",1450,421,244.418052256532
19,"Central London",1507,510,195.490196078431
20,"Central London",1863,546,241.208791208791
21,"Central London",1393,416,234.855769230769
22,"Central London",1333,503,165.009940357853
23,"Central London",1428,500,185.6
24,"Central London",1253,509,146.168958742633
25,"Central London",1287,472,172.669491525424
26,"Central London",1395,530,163.207547169811
27,"Central London",1227,625,96.32
28,"Central London",1320,499,164.529058116232
29,"Central London",1345,542,148.154981549815
1,"East London",461,143,222.377622377622
2,"East London",555,286,94.0559440559441
3,"East London",576,280,105.714285714286
4,"East London",568,317,79.179810725552
5,"East London",590,250,136
6,"East London",551,325,69.5384615384615
7,"East London",491,295,66.4406779661017
8,"East London",593,311,90.6752411575563
9,"East London",666,330,101.818181818182
10,"East London",585,313,86.9009584664537
11,"East London",578,328,76.219512195122
12,"East London",608,319,90.5956112852665
13,"East London",680,377,80.3713527851459
14,"East London",576,306,88.2352941176471
15,"East London",641,371,72.7762803234501
16,"East London",626,225,178.222222222222
17,"East London",585,355,64.7887323943662
18,"East London",540,227,137.885462555066
19,"East London",621,318,95.2830188679245
20,"East London",707,374,89.0374331550802
21,"East London",543,301,80.3986710963455
22,"East London",486,328,48.1707317073171
23,"East London",554,318,74.2138364779874
24,"East London",476,332,43.3734939759036
25,"East London",523,296,76.6891891891892
26,"East London",562,286,96.5034965034965
27,"East London",535,347,54.178674351585
28,"East London",450,334,34.7305389221557
29,"East London",425,301,41.1960132890366
1,"North London",585,257,127.626459143969
2,"North London",715,353,102.549575070822
3,"North London",786,372,111.290322580645
4,"North London",777,338,129.881656804734
5,"North London",714,336,112.5
6,"North London",904,414,118.357487922705
7,"North London",711,365,94.7945205479452
8,"North London",796,367,116.893732970027
9,"North London",882,381,131.496062992126
10,"North London",810,424,91.0377358490566
11,"North London",775,395,96.2025316455696
12,"North London",823,409,101.222493887531
13,"North London",802,504,59.1269841269841
14,"North London",654,421,55.3444180522565
15,"North London",803,478,67.9916317991632
16,"North London",672,284,136.619718309859
17,"North London",763,373,104.55764075067
18,"North London",704,358,96.6480446927374
19,"North London",772,465,66.0215053763441
20,"North London",876,438,100
21,"North London",703,356,97.4719101123596
22,"North London",681,369,84.5528455284553
23,"North London",674,379,77.8364116094987
24,"North London",628,435,44.367816091954
25,"North London",737,417,76.7386091127098
26,"North London",754,380,98.4210526315789
27,"North London",698,495,41.010101010101
28,"North London",629,437,43.9359267734554
29,"North London",605,401,50.8728179551122
1,"South East London",307,121,153.719008264463
2,"South East London",315,148,112.837837837838
3,"South East London",341,172,98.2558139534884
4,"South East London",368,153,140.522875816993
5,"South East London",331,152,117.763157894737
6,"South East London",328,212,54.7169811320755
7,"South East London",290,181,60.2209944751381
8,"South East London",380,177,114.689265536723
9,"South East London",372,220,69.0909090909091
10,"South East London",323,184,75.5434782608696
11,"South East London",318,189,68.2539682539683
12,"South East London",353,215,64.1860465116279
13,"South East London",352,237,48.5232067510549
14,"South East London",276,211,30.8056872037915
15,"South East London",320,258,24.031007751938
16,"South East London",353,146,141.780821917808
17,"South East London",357,234,52.5641025641026
18,"South East London",268,135,98.5185185185185
19,"South East London",314,214,46.7289719626168
20,"South East London",383,217,76.4976958525346
21,"South East London",274,167,64.0718562874251
22,"South East London",259,224,15.625
23,"South East London",289,215,34.4186046511628
24,"South East London",265,231,14.7186147186147
25,"South East London",288,175,64.5714285714286
26,"South East London",297,175,69.7142857142857
27,"South East London",274,223,22.8699551569507
28,"South East London",252,184,36.9565217391304
29,"South East London",322,199,61.8090452261306
1,"South West London",327,139,135.251798561151
2,"South West London",367,224,63.8392857142857
3,"South West London",368,223,65.0224215246637
4,"South West London",360,237,51.8987341772152
5,"South West London",397,219,81.2785388127854
6,"South West London",391,236,65.6779661016949
7,"South West London",332,232,43.1034482758621
8,"South West London",403,192,109.895833333333
9,"South West London",436,234,86.3247863247863
10,"South West London",373,209,78.4688995215311
11,"South West London",347,240,44.5833333333333
12,"South West London",345,244,41.3934426229508
13,"South West London",399,279,43.010752688172
14,"South West London",306,225,36
15,"South West London",345,292,18.1506849315068
16,"South West London",344,146,135.616438356164
17,"South West London",377,225,67.5555555555555
18,"South West London",303,169,79.2899408284024
19,"South West London",368,256,43.75
20,"South West London",356,285,24.9122807017544
21,"South West London",375,189,98.4126984126984
22,"South West London",330,223,47.9820627802691
23,"South West London",354,241,46.8879668049793
24,"South West London",331,265,24.9056603773585
25,"South West London",314,215,46.046511627907
26,"South West London",296,226,30.9734513274336
27,"South West London",289,244,18.4426229508197
28,"South West London",312,221,41.1764705882353
29,"South West London",296,222,33.3333333333333
1,"West London",363,161,125.465838509317
2,"West London",484,246,96.7479674796748
3,"West London",496,245,102.448979591837
4,"West London",486,298,63.0872483221477
5,"West London",471,251,87.6494023904383
6,"West London",514,355,44.7887323943662
7,"West London",492,272,80.8823529411765
8,"West London",527,273,93.040293040293
9,"West London",623,306,103.59477124183
10,"West London",529,334,58.3832335329341
11,"West London",500,288,73.6111111111111
12,"West London",508,327,55.3516819571865
13,"West London",586,325,80.3076923076923
14,"West London",443,352,25.8522727272727
15,"West London",508,332,53.0120481927711
16,"West London",544,215,153.023255813953
17,"West London",478,302,58.2781456953642
18,"West London",469,278,68.705035971223
19,"West London",518,359,44.2896935933148
20,"West London",591,330,79.0909090909091
21,"West London",448,282,58.8652482269504
22,"West London",433,317,36.5930599369085
23,"West London",525,295,77.9661016949153
24,"West London",494,306,61.437908496732
25,"West London",485,259,87.2586872586873
