"Section","week","x","x2019","change","Section.name"
" A",1,116,43,169.767441860465,"Agriculture, forestry and fishing"
" A",2,145,57,154.385964912281,"Agriculture, forestry and fishing"
" A",3,105,78,34.6153846153846,"Agriculture, forestry and fishing"
" A",4,122,69,76.8115942028986,"Agriculture, forestry and fishing"
" A",5,146,75,94.6666666666667,"Agriculture, forestry and fishing"
" A",6,146,63,131.746031746032,"Agriculture, forestry and fishing"
" A",7,144,58,148.275862068966,"Agriculture, forestry and fishing"
" A",8,122,60,103.333333333333,"Agriculture, forestry and fishing"
" A",9,158,87,81.6091954022989,"Agriculture, forestry and fishing"
" A",10,148,83,78.3132530120482,"Agriculture, forestry and fishing"
" A",11,122,77,58.4415584415584,"Agriculture, forestry and fishing"
" A",12,157,82,91.4634146341463,"Agriculture, forestry and fishing"
" A",13,166,78,112.820512820513,"Agriculture, forestry and fishing"
" A",14,128,80,60,"Agriculture, forestry and fishing"
" A",15,119,66,80.3030303030303,"Agriculture, forestry and fishing"
" A",16,116,44,163.636363636364,"Agriculture, forestry and fishing"
" A",17,121,64,89.0625,"Agriculture, forestry and fishing"
" A",18,94,46,104.347826086957,"Agriculture, forestry and fishing"
" A",19,113,69,63.768115942029,"Agriculture, forestry and fishing"
" A",20,125,73,71.2328767123288,"Agriculture, forestry and fishing"
" A",21,145,60,141.666666666667,"Agriculture, forestry and fishing"
" A",22,71,62,14.5161290322581,"Agriculture, forestry and fishing"
" A",23,102,57,78.9473684210526,"Agriculture, forestry and fishing"
" A",24,77,60,28.3333333333333,"Agriculture, forestry and fishing"
" A",25,97,68,42.6470588235294,"Agriculture, forestry and fishing"
" A",26,98,66,48.4848484848485,"Agriculture, forestry and fishing"
" A",27,105,63,66.6666666666667,"Agriculture, forestry and fishing"
" A",28,102,65,56.9230769230769,"Agriculture, forestry and fishing"
" A",29,83,56,48.2142857142857,"Agriculture, forestry and fishing"
" A",30,84,64,31.25,"Agriculture, forestry and fishing"
" B",1,18,13,38.4615384615385,"Mining and quarrying"
" B",2,20,20,0,"Mining and quarrying"
" B",3,30,21,42.8571428571429,"Mining and quarrying"
" B",4,21,20,5,"Mining and quarrying"
" B",5,23,13,76.9230769230769,"Mining and quarrying"
" B",6,15,27,-44.4444444444444,"Mining and quarrying"
" B",7,17,19,-10.5263157894737,"Mining and quarrying"
" B",8,26,13,100,"Mining and quarrying"
" B",9,23,23,0,"Mining and quarrying"
" B",10,26,17,52.9411764705882,"Mining and quarrying"
" B",11,23,18,27.7777777777778,"Mining and quarrying"
" B",12,23,29,-20.6896551724138,"Mining and quarrying"
" B",13,26,22,18.1818181818182,"Mining and quarrying"
" B",14,19,21,-9.52380952380952,"Mining and quarrying"
" B",15,12,18,-33.3333333333333,"Mining and quarrying"
" B",16,23,12,91.6666666666667,"Mining and quarrying"
" B",17,28,21,33.3333333333333,"Mining and quarrying"
" B",18,22,20,10,"Mining and quarrying"
" B",19,23,10,130,"Mining and quarrying"
" B",20,27,13,107.692307692308,"Mining and quarrying"
" B",21,17,21,-19.047619047619,"Mining and quarrying"
" B",22,28,26,7.69230769230769,"Mining and quarrying"
" B",23,31,20,55,"Mining and quarrying"
" B",24,19,16,18.75,"Mining and quarrying"
" B",25,25,29,-13.7931034482759,"Mining and quarrying"
" B",26,25,19,31.5789473684211,"Mining and quarrying"
" B",27,17,16,6.25,"Mining and quarrying"
" B",28,13,18,-27.7777777777778,"Mining and quarrying"
" B",29,24,11,118.181818181818,"Mining and quarrying"
" B",30,18,14,28.5714285714286,"Mining and quarrying"
" C",1,949,332,185.843373493976,"Manufacturing"
" C",2,954,439,117.312072892938,"Manufacturing"
" C",3,983,494,98.9878542510122,"Manufacturing"
" C",4,1051,488,115.368852459016,"Manufacturing"
" C",5,1023,450,127.333333333333,"Manufacturing"
" C",6,1094,470,132.765957446809,"Manufacturing"
" C",7,901,520,73.2692307692308,"Manufacturing"
