"week","Country","June2021","June2019","change"
1,"England (excl. Ldn)",8806,4173,111.023244668104
2,"England (excl. Ldn)",10320,6301,63.7835264243771
3,"England (excl. Ldn)",11030,6749,63.4316194991851
4,"England (excl. Ldn)",10403,7098,46.5624119470273
5,"England (excl. Ldn)",10610,6341,67.323765967513
6,"England (excl. Ldn)",11944,7670,55.7235984354628
7,"England (excl. Ldn)",9962,6894,44.5024659123876
8,"England (excl. Ldn)",11557,7160,61.4106145251397
9,"England (excl. Ldn)",13004,7477,73.9200213989568
10,"England (excl. Ldn)",10954,8424,30.0332383665717
11,"England (excl. Ldn)",11342,8109,39.8692810457516
12,"England (excl. Ldn)",11517,8172,40.9324522760646
13,"England (excl. Ldn)",12518,8720,43.5550458715596
14,"England (excl. Ldn)",9789,7854,24.6371275783041
15,"England (excl. Ldn)",10780,8495,26.8981753972925
16,"England (excl. Ldn)",9598,4926,94.8436865611043
17,"England (excl. Ldn)",10445,7062,47.9042764089493
18,"England (excl. Ldn)",9235,5701,61.9891247149623
19,"England (excl. Ldn)",10350,7505,37.9080612924717
20,"England (excl. Ldn)",12074,7845,53.9069471000637
21,"England (excl. Ldn)",9569,6303,51.8165952720927
22,"England (excl. Ldn)",8337,6805,22.5128581925055
23,"England (excl. Ldn)",9381,7078,32.5374399547895
24,"England (excl. Ldn)",8772,7273,20.6104771071085
25,"England (excl. Ldn)",9039,6772,33.476077968104
1,"Northern Ireland",149,92,61.9565217391304
2,"Northern Ireland",196,113,73.4513274336283
3,"Northern Ireland",209,107,95.3271028037383
4,"Northern Ireland",159,108,47.2222222222222
5,"Northern Ireland",224,123,82.1138211382114
6,"Northern Ireland",234,142,64.7887323943662
7,"Northern Ireland",220,147,49.6598639455782
8,"Northern Ireland",237,149,59.0604026845638
9,"Northern Ireland",254,134,89.5522388059701
10,"Northern Ireland",212,165,28.4848484848485
11,"Northern Ireland",191,111,72.0720720720721
12,"Northern Ireland",252,159,58.4905660377359
13,"Northern Ireland",276,164,68.2926829268293
14,"Northern Ireland",161,174,-7.47126436781609
15,"Northern Ireland",283,162,74.6913580246914
16,"Northern Ireland",209,103,102.912621359223
17,"Northern Ireland",180,124,45.1612903225806
18,"Northern Ireland",164,118,38.9830508474576
19,"Northern Ireland",197,159,23.8993710691824
20,"Northern Ireland",195,163,19.6319018404908
21,"Northern Ireland",186,129,44.1860465116279
22,"Northern Ireland",150,157,-4.45859872611465
23,"Northern Ireland",173,140,23.5714285714286
24,"Northern Ireland",176,130,35.3846153846154
25,"Northern Ireland",187,151,23.841059602649
1,"Scotland",496,208,138.461538461538
2,"Scotland",721,483,49.2753623188406
3,"Scotland",660,456,44.7368421052632
4,"Scotland",738,457,61.4879649890591
5,"Scotland",769,484,58.8842975206612
6,"Scotland",780,522,49.4252873563218
7,"Scotland",796,488,63.1147540983606
8,"Scotland",802,695,15.3956834532374
9,"Scotland",790,535,47.6635514018692
10,"Scotland",736,578,27.3356401384083
11,"Scotland",791,606,30.5280528052805
12,"Scotland",765,586,30.5460750853242
13,"Scotland",894,626,42.8115015974441
14,"Scotland",784,599,30.8848080133556
15,"Scotland",773,502,53.9840637450199
16,"Scotland",746,368,102.717391304348
17,"Scotland",743,582,27.6632302405498
18,"Scotland",645,419,53.9379474940334
19,"Scotland",809,600,34.8333333333333
20,"Scotland",684,422,62.085308056872
21,"Scotland",718,563,27.5310834813499
22,"Scotland",586,559,4.83005366726297
23,"Scotland",703,498,41.1646586345382
24,"Scotland",620,525,18.0952380952381
25,"Scotland",613,490,25.1020408163265
1,"Wales",603,263,129.277566539924
2,"Wales",685,437,56.7505720823799
3,"Wales",842,460,83.0434782608696
4,"Wales",728,476,52.9411764705882
5,"Wales",721,395,82.5316455696203
6,"Wales",775,497,55.9356136820925
7,"Wales",707,464,52.3706896551724
8,"Wales",831,441,88.4353741496599
9,"Wales",786,490,60.4081632653061
10,"Wales",676,609,11.0016420361248
11,"Wales",738,498,48.1927710843374
12,"Wales",801,576,39.0625
13,"Wales",826,576,43.4027777777778
14,"Wales",632,533,18.5741088180112
15,"Wales",718,525,36.7619047619048
16,"Wales",624,286,118.181818181818
17,"Wales",669,441,51.7006802721088
18,"Wales",634,382,65.9685863874345
19,"Wales",654,519,26.0115606936416
20,"Wales",761,478,59.2050209205021
21,"Wales",583,504,15.6746031746032
22,"Wales",466,445,4.7191011235955
23,"Wales",635,471,34.8195329087049
24,"Wales",703,447,57.2706935123042
25,"Wales",539,465,15.9139784946237
1,"London",3600,1149,213.31592689295
2,"London",4034,1761,129.074389551391
3,"London",4247,1818,133.608360836084
4,"London",4121,1876,119.669509594883
5,"London",4161,1712,143.049065420561
6,"London",4406,2078,112.030798845043
7,"London",3868,1835,110.790190735695
8,"London",4355,1866,133.386923901393
9,"London",4802,2006,139.38185443669
10,"London",4184,2138,95.6969130028064
11,"London",4071,2050,98.5853658536585
12,"London",4317,2138,101.917680074836
13,"London",4715,2338,101.668092386655
14,"London",3601,2001,79.960019990005
15,"London",4428,2449,80.8084932625561
16,"London",4149,1314,215.753424657534
17,"London",4446,1987,123.754403623553
18,"London",3749,1613,132.424054556727
19,"London",4110,2148,91.340782122905
20,"London",4793,2239,114.068780705672
21,"London",3749,1742,115.212399540758
22,"London",3535,1978,78.7158746208291
23,"London",3840,1965,95.4198473282443
24,"London",3466,2103,64.8121730860675
25,"London",3637,1862,95.327604726101
