"date","ni","day"
2020-01-01,17,"Wed"
2020-01-02,787,"Thu"
2020-01-03,847,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,1190,"Mon"
2020-01-07,991,"Tue"
2020-01-08,869,"Wed"
2020-01-09,1154,"Thu"
2020-01-10,914,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,1446,"Mon"
2020-01-14,1210,"Tue"
2020-01-15,1101,"Wed"
2020-01-16,833,"Thu"
2020-01-17,1353,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,1716,"Mon"
2020-01-21,1177,"Tue"
2020-01-22,914,"Wed"
2020-01-23,1117,"Thu"
2020-01-24,954,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,1431,"Mon"
2020-01-28,1319,"Tue"
2020-01-29,863,"Wed"
2020-01-30,816,"Thu"
2020-01-31,849,"Fri"
2020-02-01,3,"Sat"
2020-02-02,0,NA
2020-02-03,1474,"Mon"
2020-02-04,1262,"Tue"
2020-02-05,1194,"Wed"
2020-02-06,1151,"Thu"
2020-02-07,1055,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,1545,"Mon"
2020-02-11,1280,"Tue"
2020-02-12,1133,"Wed"
2020-02-13,1272,"Thu"
2020-02-14,1198,"Fri"
2020-02-15,261,"Sat"
2020-02-16,0,NA
2020-02-17,1059,"Mon"
2020-02-18,1085,"Tue"
2020-02-19,1145,"Wed"
2020-02-20,1145,"Thu"
2020-02-21,1005,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,1342,"Mon"
2020-02-25,1421,"Tue"
2020-02-26,1423,"Wed"
2020-02-27,981,"Thu"
2020-02-28,1038,"Fri"
2020-02-29,0,NA
2020-03-01,13,"Sun"
2020-03-02,1333,"Mon"
2020-03-03,1092,"Tue"
2020-03-04,1297,"Wed"
2020-03-05,1009,"Thu"
2020-03-06,985,"Fri"
2020-03-07,0,NA
2020-03-08,0,NA
2020-03-09,1657,"Mon"
2020-03-10,1318,"Tue"
2020-03-11,1337,"Wed"
2020-03-12,1274,"Thu"
2020-03-13,831,"Fri"
2020-03-14,0,NA
2020-03-15,2,"Sun"
2020-03-16,1129,"Mon"
2020-03-17,1016,"Tue"
2020-03-18,1279,"Wed"
2020-03-19,870,"Thu"
2020-03-20,816,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,840,"Mon"
2020-03-24,858,"Tue"
2020-03-25,882,"Wed"
2020-03-26,660,"Thu"
2020-03-27,489,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,1013,"Mon"
2020-03-31,884,"Tue"
2020-04-01,820,"Wed"
2020-04-02,793,"Thu"
2020-04-03,693,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,956,"Mon"
2020-04-07,816,"Tue"
2020-04-08,592,"Wed"
2020-04-09,710,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,891,"Tue"
2020-04-15,1062,"Wed"
2020-04-16,1190,"Thu"
2020-04-17,941,"Fri"
2020-04-18,0,NA
2020-04-19,0,NA
2020-04-20,1074,"Mon"
2020-04-21,924,"Tue"
2020-04-22,825,"Wed"
2020-04-23,680,"Thu"
2020-04-24,676,"Fri"
2020-04-25,0,NA
2020-04-26,0,NA
2020-04-27,1142,"Mon"
2020-04-28,982,"Tue"
2020-04-29,980,"Wed"
2020-04-30,811,"Thu"
2020-05-01,851,"Fri"
2020-05-02,0,NA
2020-05-03,0,NA
2020-05-04,1073,"Mon"
2020-05-05,1003,"Tue"
2020-05-06,1105,"Wed"
2020-05-07,1025,"Thu"
2020-05-08,2,"Fri"
2020-05-09,0,NA
2020-05-10,0,NA
2020-05-11,1491,"Mon"
2020-05-12,1153,"Tue"
2020-05-13,1120,"Wed"
2020-05-14,1105,"Thu"
2020-05-15,1219,"Fri"
2020-05-16,0,NA
2020-05-17,0,NA
2020-05-18,1270,"Mon"
2020-05-19,1321,"Tue"
2020-05-20,1312,"Wed"
2020-05-21,1001,"Thu"
2020-05-22,1045,"Fri"
2020-05-23,0,NA
2020-05-24,0,NA
2020-05-25,0,NA
2020-05-26,1820,"Tue"
2020-05-27,1736,"Wed"
2020-05-28,1300,"Thu"
2020-05-29,1206,"Fri"
2020-05-30,1082,"Sat"
2020-05-31,0,NA
2020-06-01,936,"Mon"
2020-06-02,1260,"Tue"
2020-06-03,1434,"Wed"
2020-06-04,1192,"Thu"
2020-06-05,1381,"Fri"
2020-06-06,0,NA
2020-06-07,0,NA
2020-06-08,1953,"Mon"
2020-06-09,1811,"Tue"
2020-06-10,1188,"Wed"
2020-06-11,1585,"Thu"
2020-06-12,1377,"Fri"
2020-06-13,1014,"Sat"
2020-06-14,0,NA
2020-06-15,1388,"Mon"
2020-06-16,1189,"Tue"
2020-06-17,1243,"Wed"
2020-06-18,1186,"Thu"
2020-06-19,1430,"Fri"
2020-06-20,1221,"Sat"
2020-06-21,0,NA
2020-06-22,1490,"Mon"
2020-06-23,1262,"Tue"
2020-06-24,1204,"Wed"
2020-06-25,1117,"Thu"
2020-06-26,964,"Fri"
2020-06-27,0,NA
2020-06-28,0,NA
2020-06-29,1799,"Mon"
2020-06-30,1683,"Tue"
2020-07-01,1593,"Wed"
2020-07-02,1507,"Thu"
2020-07-03,1170,"Fri"
2020-07-04,611,"Sat"
2020-07-05,671,"Sun"
2020-07-06,1482,"Mon"
2020-07-07,1257,"Tue"
2020-07-08,1318,"Wed"
2020-07-09,1216,"Thu"
2020-07-10,1388,"Fri"
2020-07-11,0,NA
2020-07-12,0,NA
2020-07-13,1699,"Mon"
2020-07-14,1624,"Tue"
2020-07-15,1552,"Wed"
2020-07-16,1214,"Thu"
2020-07-17,1166,"Fri"
2020-07-18,0,NA
2020-07-19,1005,"Sun"
2020-07-20,1250,"Mon"
2020-07-21,1279,"Tue"
2020-07-22,1194,"Wed"
2020-07-23,1444,"Thu"
2020-07-24,1220,"Fri"
2020-07-25,0,NA
2020-07-26,0,NA
2020-07-27,1853,"Mon"
2020-07-28,1587,"Tue"
2020-07-29,1577,"Wed"
2020-07-30,1352,"Thu"
2020-07-31,1062,"Fri"
2020-08-01,215,"Sat"
2020-08-02,851,"Sun"
2020-08-03,1017,"Mon"
2020-08-04,1247,"Tue"
2020-08-05,1376,"Wed"
2020-08-06,1208,"Thu"
2020-08-07,1101,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,1408,"Mon"
2020-08-11,1412,"Tue"
2020-08-12,1273,"Wed"
2020-08-13,1205,"Thu"
2020-08-14,1171,"Fri"
2020-08-15,2,"Sat"
2020-08-16,684,"Sun"
2020-08-17,1363,"Mon"
