"week","x","ratioTo2019","ratioTo2020"
1,5758,2.14450651769088,1.50221758413775
2,6838,1.70907273181705,1.22259967816914
3,7015,1.59977194982896,1.13492962303834
4,6902,1.51293292415607,1.20348735832607
5,7015,1.67302647269258,1.33187772925764
6,7660,1.5751593666461,1.23052208835341
7,6583,1.56069227121859,1.09570572569907
8,7549,1.70560325350203,1.24612083195774
9,8189,1.80892423238348,1.39268707482993
10,7039,1.40920920920921,1.12336418767954
11,7231,1.52584933530281,1.29379137591698
12,7662,1.52781655034895,1.64314818786189
13,8203,1.53729385307346,2.08834012219959
14,6317,1.29739166153214,1.54904364884747
15,7076,1.37960616104504,3.2266301869585
16,6346,2.06777451938742,1.22250048160277
17,7078,1.58877665544332,1.64413472706156
18,6067,1.69280133928571,1.28592623993217
19,6715,1.43636363636364,1.40598827470687
20,7816,1.61956071280564,1.29511184755592
21,6138,1.52610641471905,1.18539976825029
