"week","Country","May2021","May2019","change"
1,"England (excl. Ldn)",3703,1927,92.1639854696419
2,"England (excl. Ldn)",4456,2814,58.3511016346837
3,"England (excl. Ldn)",4650,3102,49.9032882011605
4,"England (excl. Ldn)",4547,3323,36.8341859765272
5,"England (excl. Ldn)",4563,2980,53.1208053691275
6,"England (excl. Ldn)",5094,3475,46.589928057554
7,"England (excl. Ldn)",4355,2996,45.3604806408545
8,"England (excl. Ldn)",5005,3143,59.2427616926503
9,"England (excl. Ldn)",5491,3200,71.59375
10,"England (excl. Ldn)",4662,3629,28.4651419123725
11,"England (excl. Ldn)",4870,3437,41.6933372126855
12,"England (excl. Ldn)",5142,3615,42.2406639004149
13,"England (excl. Ldn)",5380,3757,43.1993611924408
14,"England (excl. Ldn)",4179,3464,20.6408775981524
15,"England (excl. Ldn)",4541,3636,24.8899889988999
16,"England (excl. Ldn)",4104,2173,88.8633225954901
17,"England (excl. Ldn)",4603,3091,48.9162083468133
18,"England (excl. Ldn)",3973,2507,58.476266453929
19,"England (excl. Ldn)",4446,3265,36.1715160796325
20,"England (excl. Ldn)",5161,3437,50.1600232761129
1,"Northern Ireland",73,42,73.8095238095238
2,"Northern Ireland",97,59,64.406779661017
3,"Northern Ireland",96,44,118.181818181818
4,"Northern Ireland",68,57,19.2982456140351
5,"Northern Ireland",108,64,68.75
6,"Northern Ireland",99,73,35.6164383561644
7,"Northern Ireland",96,69,39.1304347826087
8,"Northern Ireland",107,76,40.7894736842105
9,"Northern Ireland",111,60,85
10,"Northern Ireland",91,77,18.1818181818182
11,"Northern Ireland",84,49,71.4285714285714
12,"Northern Ireland",116,66,75.7575757575758
13,"Northern Ireland",139,71,95.774647887324
14,"Northern Ireland",74,90,-17.7777777777778
15,"Northern Ireland",117,74,58.1081081081081
16,"Northern Ireland",89,43,106.976744186047
17,"Northern Ireland",77,64,20.3125
18,"Northern Ireland",70,52,34.6153846153846
19,"Northern Ireland",78,69,13.0434782608696
20,"Northern Ireland",82,75,9.33333333333333
1,"Scotland",217,118,83.8983050847458
2,"Scotland",321,228,40.7894736842105
3,"Scotland",301,235,28.0851063829787
4,"Scotland",320,226,41.5929203539823
5,"Scotland",333,227,46.6960352422908
6,"Scotland",337,242,39.2561983471074
7,"Scotland",318,231,37.6623376623377
8,"Scotland",388,281,38.0782918149466
9,"Scotland",363,252,44.047619047619
10,"Scotland",325,255,27.4509803921569
11,"Scotland",337,300,12.3333333333333
12,"Scotland",350,271,29.1512915129151
13,"Scotland",388,305,27.2131147540984
14,"Scotland",353,267,32.2097378277153
15,"Scotland",326,227,43.6123348017621
16,"Scotland",316,165,91.5151515151515
17,"Scotland",355,268,32.4626865671642
18,"Scotland",269,168,60.1190476190476
19,"Scotland",349,274,27.3722627737226
20,"Scotland",301,190,58.421052631579
1,"Wales",299,126,137.301587301587
2,"Wales",309,194,59.2783505154639
3,"Wales",334,219,52.5114155251142
4,"Wales",309,237,30.379746835443
5,"Wales",337,185,82.1621621621622
6,"Wales",342,215,59.0697674418605
7,"Wales",297,213,39.4366197183098
8,"Wales",347,197,76.1421319796954
9,"Wales",316,196,61.2244897959184
10,"Wales",289,261,10.727969348659
11,"Wales",316,218,44.954128440367
12,"Wales",338,240,40.8333333333333
13,"Wales",352,248,41.9354838709678
14,"Wales",266,253,5.13833992094861
15,"Wales",296,222,33.3333333333333
16,"Wales",250,105,138.095238095238
17,"Wales",293,191,53.4031413612565
18,"Wales",279,185,50.8108108108108
19,"Wales",293,223,31.390134529148
20,"Wales",353,256,37.890625
1,"London",1570,511,207.240704500978
2,"London",1790,802,123.192019950125
3,"London",1822,871,109.184845005741
4,"London",1794,857,109.334889148191
5,"London",1842,802,129.675810473815
6,"London",1970,944,108.686440677966
7,"London",1662,800,107.75
8,"London",1904,800,138
9,"London",2111,907,132.745314222712
10,"London",1837,918,100.108932461874
11,"London",1821,830,119.397590361446
12,"London",1902,936,103.205128205128
13,"London",2162,1057,104.541154210028
14,"London",1599,894,78.8590604026845
15,"London",1980,1037,90.9353905496625
16,"London",1723,616,179.707792207792
17,"London",1927,908,112.224669603524
18,"London",1639,753,117.662682602922
19,"London",1731,948,82.5949367088608
20,"London",2130,1002,112.574850299401
