"week","AreaCovered","May2021","May2019","change"
1,"Central London",648,143,353.146853146853
2,"Central London",717,196,265.816326530612
3,"Central London",708,213,232.394366197183
4,"Central London",666,225,196
5,"Central London",710,214,231.775700934579
6,"Central London",751,223,236.771300448431
7,"Central London",632,178,255.056179775281
8,"Central London",737,171,330.994152046784
9,"Central London",823,205,301.463414634146
10,"Central London",679,232,192.672413793103
11,"Central London",661,191,246.073298429319
12,"Central London",753,240,213.75
13,"Central London",887,268,230.970149253731
14,"Central London",598,208,187.5
15,"Central London",798,282,182.978723404255
16,"Central London",668,127,425.984251968504
17,"Central London",791,228,246.929824561404
18,"Central London",610,192,217.708333333333
19,"Central London",639,238,168.487394957983
20,"Central London",823,255,222.745098039216
1,"East London",206,69,198.550724637681
2,"East London",236,141,67.3758865248227
3,"East London",224,137,63.5036496350365
4,"East London",239,148,61.4864864864865
5,"East London",264,126,109.52380952381
6,"East London",226,151,49.6688741721854
7,"East London",219,143,53.1468531468531
8,"East London",243,129,88.3720930232558
9,"East London",274,158,73.4177215189873
10,"East London",255,143,78.3216783216783
11,"East London",245,144,70.1388888888889
12,"East London",250,128,95.3125
13,"East London",284,181,56.9060773480663
14,"East London",232,126,84.1269841269841
15,"East London",273,149,83.2214765100671
16,"East London",258,88,193.181818181818
17,"East London",256,156,64.1025641025641
18,"East London",233,102,128.43137254902
19,"East London",253,138,83.3333333333333
20,"East London",311,167,86.2275449101796
1,"North London",245,112,118.75
2,"North London",303,175,73.1428571428572
3,"North London",359,184,95.1086956521739
4,"North London",353,155,127.741935483871
5,"North London",322,164,96.3414634146341
6,"North London",452,196,130.612244897959
7,"North London",313,168,86.3095238095238
8,"North London",370,189,95.7671957671958
9,"North London",398,197,102.030456852792
10,"North London",353,210,68.0952380952381
11,"North London",349,178,96.0674157303371
12,"North London",349,194,79.8969072164949
13,"North London",363,229,58.5152838427948
14,"North London",309,197,56.8527918781726
15,"North London",378,213,77.4647887323944
16,"North London",284,149,90.6040268456376
17,"North London",347,174,99.4252873563218
18,"North London",327,166,96.9879518072289
19,"North London",334,213,56.8075117370892
20,"North London",380,200,90
1,"South East London",160,58,175.862068965517
2,"South East London",147,60,145
3,"South East London",139,83,67.4698795180723
4,"South East London",158,70,125.714285714286
5,"South East London",148,77,92.2077922077922
6,"South East London",142,102,39.2156862745098
7,"South East London",119,89,33.7078651685393
8,"South East London",165,92,79.3478260869565
9,"South East London",155,105,47.6190476190476
10,"South East London",141,87,62.0689655172414
11,"South East London",148,76,94.7368421052632
12,"South East London",146,105,39.047619047619
13,"South East London",160,109,46.7889908256881
14,"South East London",120,87,37.9310344827586
15,"South East London",139,107,29.9065420560748
16,"South East London",141,85,65.8823529411765
17,"South East London",150,118,27.1186440677966
18,"South East London",109,63,73.015873015873
19,"South East London",130,95,36.8421052631579
20,"South East London",168,100,68
1,"South West London",144,62,132.258064516129
2,"South West London",167,107,56.0747663551402
3,"South West London",170,124,37.0967741935484
4,"South West London",161,116,38.7931034482759
5,"South West London",181,106,70.7547169811321
6,"South West London",147,109,34.8623853211009
7,"South West London",147,113,30.0884955752212
8,"South West London",171,93,83.8709677419355
9,"South West London",181,100,81
10,"South West London",155,90,72.2222222222222
11,"South West London",161,112,43.75
12,"South West London",136,121,12.396694214876
13,"South West London",192,128,50
14,"South West London",143,110,30
15,"South West London",142,132,7.57575757575757
16,"South West London",140,68,105.882352941176
17,"South West London",161,89,80.8988764044944
18,"South West London",126,86,46.5116279069767
19,"South West London",147,95,54.7368421052632
20,"South West London",179,131,36.6412213740458
1,"West London",167,67,149.253731343284
2,"West London",220,123,78.8617886178862
3,"West London",222,130,70.7692307692308
4,"West London",217,143,51.7482517482517
5,"West London",217,115,88.695652173913
6,"West London",252,163,54.601226993865
7,"West London",232,109,112.844036697248
8,"West London",218,126,73.015873015873
9,"West London",280,142,97.1830985915493
10,"West London",254,156,62.8205128205128
11,"West London",257,129,99.2248062015504
12,"West London",268,148,81.0810810810811
13,"West London",276,142,94.3661971830986
14,"West London",197,166,18.6746987951807
15,"West London",250,154,62.3376623376623
16,"West London",232,99,134.343434343434
17,"West London",222,143,55.2447552447553
18,"West London",234,144,62.5
19,"West London",228,169,34.9112426035503
20,"West London",269,149,80.5369127516778
