"date","ni","day","av7"
2019-01-01,19,"Tue",NA
2019-01-02,542,"Wed",NA
2019-01-03,505,"Thu",NA
2019-01-04,746,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,872,"Mon",383.571428571429
2019-01-08,874,"Tue",505.714285714286
2019-01-09,687,"Wed",526.428571428571
2019-01-10,697,"Thu",553.857142857143
2019-01-11,684,"Fri",545
2019-01-12,0,NA,544.857142857143
2019-01-13,1,"Sun",545
2019-01-14,1058,"Mon",571.571428571429
2019-01-15,875,"Tue",571.714285714286
2019-01-16,995,"Wed",615.714285714286
2019-01-17,829,"Thu",634.571428571429
2019-01-18,794,"Fri",650.285714285714
2019-01-19,0,NA,650.285714285714
2019-01-20,0,NA,650.142857142857
2019-01-21,892,"Mon",626.428571428571
2019-01-22,868,"Tue",625.428571428571
2019-01-23,879,"Wed",608.857142857143
2019-01-24,778,"Thu",601.571428571429
2019-01-25,731,"Fri",592.571428571429
2019-01-26,0,NA,592.571428571429
2019-01-27,0,NA,592.571428571429
2019-01-28,1306,"Mon",651.714285714286
2019-01-29,868,"Tue",651.714285714286
2019-01-30,772,"Wed",636.428571428571
2019-01-31,736,"Thu",630.428571428571
2019-02-01,791,"Fri",639
2019-02-02,0,NA,639
2019-02-03,0,NA,639
2019-02-04,1026,"Mon",599
2019-02-05,891,"Tue",602.285714285714
2019-02-06,927,"Wed",624.428571428571
2019-02-07,933,"Thu",652.571428571429
2019-02-08,768,"Fri",649.285714285714
2019-02-09,0,NA,649.285714285714
2019-02-10,0,NA,649.285714285714
2019-02-11,1344,"Mon",694.714285714286
2019-02-12,912,"Tue",697.714285714286
2019-02-13,908,"Wed",695
2019-02-14,711,"Thu",663.285714285714
2019-02-15,856,"Fri",675.857142857143
2019-02-16,0,NA,675.857142857143
2019-02-17,0,NA,675.857142857143
2019-02-18,831,"Mon",602.571428571429
2019-02-19,1001,"Tue",615.285714285714
2019-02-20,855,"Wed",607.714285714286
2019-02-21,722,"Thu",609.285714285714
2019-02-22,786,"Fri",599.285714285714
2019-02-23,35,"Sat",604.285714285714
2019-02-24,0,NA,604.285714285714
2019-02-25,1027,"Mon",632.285714285714
2019-02-26,831,"Tue",608
2019-02-27,735,"Wed",590.857142857143
2019-02-28,840,"Thu",607.714285714286
2019-03-01,855,"Fri",617.571428571429
2019-03-02,0,NA,612.571428571429
2019-03-03,0,NA,612.571428571429
2019-03-04,1266,"Mon",646.714285714286
2019-03-05,1014,"Tue",672.857142857143
2019-03-06,818,"Wed",684.714285714286
2019-03-07,853,"Thu",686.571428571429
2019-03-08,921,"Fri",696
2019-03-09,541,"Sat",773.285714285714
2019-03-10,1,"Sun",773.428571428571
2019-03-11,847,"Mon",713.571428571429
2019-03-12,884,"Tue",695
2019-03-13,961,"Wed",715.428571428571
2019-03-14,761,"Thu",702.285714285714
2019-03-15,963,"Fri",708.285714285714
2019-03-16,0,NA,631
2019-03-17,0,NA,630.857142857143
2019-03-18,1170,"Mon",677
2019-03-19,975,"Tue",690
2019-03-20,870,"Wed",677
2019-03-21,969,"Thu",706.714285714286
2019-03-22,792,"Fri",682.285714285714
2019-03-23,716,"Sat",784.571428571429
2019-03-24,0,NA,784.571428571429
2019-03-25,693,"Mon",716.428571428571
2019-03-26,825,"Tue",695
2019-03-27,1045,"Wed",720
2019-03-28,817,"Thu",698.285714285714
2019-03-29,930,"Fri",718
2019-03-30,767,"Sat",725.285714285714
2019-03-31,1,"Sun",725.428571428571
2019-04-01,951,"Mon",762.285714285714
2019-04-02,890,"Tue",771.571428571429
2019-04-03,1055,"Wed",773
2019-04-04,787,"Thu",768.714285714286
2019-04-05,987,"Fri",776.857142857143
2019-04-06,31,"Sat",671.714285714286
2019-04-07,1,"Sun",671.714285714286
2019-04-08,1118,"Mon",695.571428571429
2019-04-09,967,"Tue",706.571428571429
2019-04-10,912,"Wed",686.142857142857
2019-04-11,897,"Thu",701.857142857143
2019-04-12,986,"Fri",701.714285714286
2019-04-13,451,"Sat",761.714285714286
2019-04-14,0,NA,761.571428571429
2019-04-15,916,"Mon",732.714285714286
2019-04-16,746,"Tue",701.142857142857
2019-04-17,857,"Wed",693.285714285714
2019-04-18,948,"Thu",700.571428571429
2019-04-19,0,NA,559.714285714286
2019-04-20,518,"Sat",569.285714285714
2019-04-21,0,NA,569.285714285714
2019-04-22,0,NA,438.428571428571
2019-04-23,938,"Tue",465.857142857143
2019-04-24,845,"Wed",464.142857142857
2019-04-25,779,"Thu",440
2019-04-26,796,"Fri",553.714285714286
2019-04-27,2,"Sat",480
2019-04-28,0,NA,480
2019-04-29,1095,"Mon",636.428571428571
2019-04-30,754,"Tue",610.142857142857
2019-05-01,1000,"Wed",632.285714285714
2019-05-02,845,"Thu",641.714285714286
2019-05-03,984,"Fri",668.571428571429
2019-05-04,0,NA,668.285714285714
2019-05-05,0,NA,668.285714285714
2019-05-06,1,"Mon",512
2019-05-07,1041,"Tue",553
2019-05-08,1007,"Wed",554
2019-05-09,730,"Thu",537.571428571429
2019-05-10,911,"Fri",527.142857142857
