"date","ni","day","week"
2020-01-01,33,"Wed",1
2020-01-02,1928,"Thu",1
2020-01-03,2075,"Fri",1
2020-01-04,0,NA,1
2020-01-05,1,"Sun",1
2020-01-06,2938,"Mon",1
2020-01-07,2343,"Tue",1
2020-01-08,2100,"Wed",2
2020-01-09,2781,"Thu",2
2020-01-10,2247,"Fri",2
2020-01-11,0,NA,2
2020-01-12,0,NA,2
2020-01-13,3581,"Mon",2
2020-01-14,2853,"Tue",2
2020-01-15,2631,"Wed",3
2020-01-16,1971,"Thu",3
2020-01-17,3193,"Fri",3
2020-01-18,0,NA,3
2020-01-19,1,"Sun",3
2020-01-20,3943,"Mon",3
2020-01-21,2773,"Tue",3
2020-01-22,2154,"Wed",4
2020-01-23,2724,"Thu",4
2020-01-24,2343,"Fri",4
2020-01-25,0,NA,4
2020-01-26,0,NA,4
2020-01-27,3444,"Mon",4
2020-01-28,3108,"Tue",4
2020-01-29,2005,"Wed",5
2020-01-30,2006,"Thu",5
2020-01-31,2035,"Fri",5
2020-02-01,6,"Sat",5
2020-02-02,0,NA,5
2020-02-03,3590,"Mon",5
2020-02-04,3007,"Tue",5
2020-02-05,2826,"Wed",6
2020-02-06,2866,"Thu",6
2020-02-07,2605,"Fri",6
2020-02-08,0,NA,6
2020-02-09,0,NA,6
2020-02-10,3635,"Mon",6
2020-02-11,3031,"Tue",6
2020-02-12,2763,"Wed",7
2020-02-13,2895,"Thu",7
2020-02-14,2796,"Fri",7
2020-02-15,571,"Sat",7
2020-02-16,0,NA,7
2020-02-17,2592,"Mon",7
2020-02-18,2571,"Tue",7
2020-02-19,2539,"Wed",8
2020-02-20,2579,"Thu",8
2020-02-21,2288,"Fri",8
2020-02-22,0,NA,8
2020-02-23,0,NA,8
2020-02-24,3019,"Mon",8
2020-02-25,3197,"Tue",8
2020-02-26,3305,"Wed",9
2020-02-27,2205,"Thu",9
2020-02-28,2423,"Fri",9
2020-02-29,0,NA,9
2020-03-01,17,"Sun",9
2020-03-02,3207,"Mon",9
2020-03-03,2577,"Tue",9
2020-03-04,3040,"Wed",10
2020-03-05,2303,"Thu",10
2020-03-06,2243,"Fri",10
