"week","Country","Feb2021","Feb2019","change"
1,"England (excl. Ldn)",8946,4675,91.3582887700535
2,"England (excl. Ldn)",10452,6905,51.3685734974656
3,"England (excl. Ldn)",11153,7441,49.8857680419299
4,"England (excl. Ldn)",10540,7886,33.6545777326908
5,"England (excl. Ldn)",10657,7149,49.0697999720241
6,"England (excl. Ldn)",11919,8469,40.73680481757
7,"England (excl. Ldn)",10047,7488,34.1746794871795
8,"England (excl. Ldn)",11605,7635,51.9973804846104
1,"Northern Ireland",152,97,56.701030927835
2,"Northern Ireland",199,126,57.9365079365079
3,"Northern Ireland",211,117,80.3418803418803
4,"Northern Ireland",160,115,39.1304347826087
5,"Northern Ireland",225,133,69.1729323308271
6,"Northern Ireland",236,149,58.3892617449664
7,"Northern Ireland",221,159,38.9937106918239
8,"Northern Ireland",239,154,55.1948051948052
1,"Scotland",505,230,119.565217391304
2,"Scotland",727,537,35.3817504655493
3,"Scotland",671,511,31.3111545988258
4,"Scotland",744,510,45.8823529411765
5,"Scotland",777,544,42.8308823529412
6,"Scotland",785,566,38.6925795053004
7,"Scotland",802,530,51.3207547169811
8,"Scotland",807,726,11.1570247933884
1,"Wales",573,315,81.9047619047619
2,"Wales",681,468,45.5128205128205
3,"Wales",811,490,65.5102040816327
4,"Wales",696,528,31.8181818181818
5,"Wales",729,455,60.2197802197802
6,"Wales",849,562,51.067615658363
7,"Wales",693,511,35.6164383561644
8,"Wales",863,480,79.7916666666667
1,"London",3678,1261,191.67327517843
2,"London",4116,1981,107.773851590106
3,"London",4327,2049,111.176183504148
4,"London",4209,2154,95.4038997214485
5,"London",4240,1965,115.776081424936
6,"London",4501,2355,91.1252653927813
7,"London",3915,2024,93.4288537549407
8,"London",4425,2028,118.195266272189
