"week","x","ratioTo2019","ratioTo2020"
1,13491,2.16028823058447,1.48334249587686
2,15760,1.66984530620894,1.19078201737816
3,16632,1.65278743913346,1.1711851278079
4,15962,1.50798299480397,1.18447610566934
5,16279,1.67600123545763,1.31229343006852
6,17845,1.55106475445459,1.21213150387176
7,15350,1.50166307963217,1.09886176533753
8,17474,1.66213259773614,1.30072949233289
9,19263,1.79207368127268,1.42477810650888
10,16457,1.37703957827797,1.14714903108881
11,16768,1.45618758141554,1.27242373653058
12,17254,1.47811188212113,1.56797528171574
13,18774,1.50468862707382,2.07058564023381
14,14603,1.30047199216315,1.51326424870466
15,16515,1.34959548909046,3.26577021949773
16,14961,2.13241163055872,1.27111299915038
17,16059,1.56140009722897,1.61413207357523
