"date","ni","day"
2020-01-01,37,"Wed"
2020-01-02,1492,"Thu"
2020-01-03,1630,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2196,"Mon"
2020-01-07,1875,"Tue"
2020-01-08,1701,"Wed"
2020-01-09,2223,"Thu"
2020-01-10,1792,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,2753,"Mon"
2020-01-14,2270,"Tue"
2020-01-15,2120,"Wed"
2020-01-16,1611,"Thu"
2020-01-17,2586,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,3105,"Mon"
2020-01-21,2234,"Tue"
2020-01-22,1732,"Wed"
2020-01-23,2223,"Thu"
2020-01-24,1846,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,2629,"Mon"
2020-01-28,2393,"Tue"
2020-01-29,1576,"Wed"
2020-01-30,1571,"Thu"
2020-01-31,1624,"Fri"
2020-02-01,5,"Sat"
2020-02-02,0,NA
2020-02-03,2717,"Mon"
2020-02-04,2389,"Tue"
2020-02-05,2285,"Wed"
2020-02-06,2320,"Thu"
2020-02-07,2120,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,2845,"Mon"
2020-02-11,2449,"Tue"
2020-02-12,2219,"Wed"
2020-02-13,2309,"Thu"
2020-02-14,2207,"Fri"
2020-02-15,471,"Sat"
2020-02-16,0,NA
2020-02-17,1979,"Mon"
2020-02-18,2021,"Tue"
2020-02-19,1997,"Wed"
2020-02-20,2075,"Thu"
2020-02-21,1810,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2422,"Mon"
2020-02-25,2534,"Tue"
2020-02-26,2641,"Wed"
2020-02-27,1754,"Thu"
2020-02-28,1903,"Fri"
2020-02-29,0,NA
2020-03-01,19,"Sun"
2020-03-02,2304,"Mon"
2020-03-03,1996,"Tue"
2020-03-04,2334,"Wed"
2020-03-05,1781,"Thu"
2020-03-06,1702,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,2909,"Mon"
2020-03-10,2242,"Tue"
2020-03-11,2450,"Wed"
2020-03-12,2376,"Thu"
2020-03-13,1478,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,1897,"Mon"
2020-03-17,1846,"Tue"
2020-03-18,2359,"Wed"
2020-03-19,1581,"Thu"
2020-03-20,1468,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1398,"Mon"
2020-03-24,1446,"Tue"
2020-03-25,1518,"Wed"
2020-03-26,1116,"Thu"
2020-03-27,853,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,1637,"Mon"
2020-03-31,1481,"Tue"
2020-04-01,1426,"Wed"
2020-04-02,1349,"Thu"
2020-04-03,1156,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,2138,"Mon"
2020-04-07,1480,"Tue"
2020-04-08,1025,"Wed"
2020-04-09,1221,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,1468,"Tue"
2020-04-15,1644,"Wed"
2020-04-16,2096,"Thu"
2020-04-17,1482,"Fri"
2020-04-18,0,NA
2020-04-19,0,NA
2020-04-20,1735,"Mon"
2020-04-21,1505,"Tue"
2020-04-22,1441,"Wed"
2020-04-23,1100,"Thu"
2020-04-24,1228,"Fri"
2020-04-25,0,NA
2020-04-26,0,NA
2020-04-27,1885,"Mon"
2020-04-28,1665,"Tue"
2020-04-29,1763,"Wed"
2020-04-30,1400,"Thu"
2020-05-01,1501,"Fri"
2020-05-02,0,NA
2020-05-03,0,NA
2020-05-04,2331,"Mon"
2020-05-05,2203,"Tue"
2020-05-06,2409,"Wed"
2020-05-07,2261,"Thu"
2020-05-08,3,"Fri"
2020-05-09,0,NA
2020-05-10,0,NA
2020-05-11,3321,"Mon"
2020-05-12,2518,"Tue"
2020-05-13,2538,"Wed"
2020-05-14,2439,"Thu"
2020-05-15,2668,"Fri"
2020-05-16,0,NA
2020-05-17,0,NA
2020-05-18,2830,"Mon"
2020-05-19,2959,"Tue"
2020-05-20,2929,"Wed"
2020-05-21,2232,"Thu"
2020-05-22,2247,"Fri"
2020-05-23,0,NA
2020-05-24,0,NA
2020-05-25,0,NA
2020-05-26,4097,"Tue"
2020-05-27,3834,"Wed"
2020-05-28,2866,"Thu"
2020-05-29,2711,"Fri"
2020-05-30,2460,"Sat"
2020-05-31,1,"Sun"
2020-06-01,2023,"Mon"
2020-06-02,2789,"Tue"
2020-06-03,3292,"Wed"
2020-06-04,2610,"Thu"
2020-06-05,3054,"Fri"
2020-06-06,0,NA
2020-06-07,0,NA
2020-06-08,4470,"Mon"
2020-06-09,3958,"Tue"
2020-06-10,2543,"Wed"
2020-06-11,3567,"Thu"
2020-06-12,3089,"Fri"
2020-06-13,2321,"Sat"
2020-06-14,0,NA
2020-06-15,3140,"Mon"
2020-06-16,2643,"Tue"
2020-06-17,2726,"Wed"
2020-06-18,2710,"Thu"
2020-06-19,3270,"Fri"
2020-06-20,2725,"Sat"
2020-06-21,0,NA
2020-06-22,3346,"Mon"
2020-06-23,2658,"Tue"
2020-06-24,2744,"Wed"
2020-06-25,2544,"Thu"
2020-06-26,2188,"Fri"
2020-06-27,0,NA
2020-06-28,0,NA
2020-06-29,4036,"Mon"
2020-06-30,3914,"Tue"
2020-07-01,3544,"Wed"
2020-07-02,3231,"Thu"
2020-07-03,2585,"Fri"
2020-07-04,1445,"Sat"
2020-07-05,1591,"Sun"
2020-07-06,3445,"Mon"
2020-07-07,2770,"Tue"
2020-07-08,2995,"Wed"
2020-07-09,2761,"Thu"
2020-07-10,3027,"Fri"
2020-07-11,1,"Sat"
2020-07-12,0,NA
2020-07-13,3795,"Mon"
2020-07-14,3619,"Tue"
2020-07-15,3526,"Wed"
2020-07-16,2698,"Thu"
2020-07-17,2619,"Fri"
2020-07-18,0,NA
2020-07-19,2257,"Sun"
2020-07-20,2850,"Mon"
2020-07-21,2923,"Tue"
2020-07-22,2701,"Wed"
2020-07-23,3113,"Thu"
2020-07-24,2788,"Fri"
2020-07-25,1,"Sat"
2020-07-26,0,NA
2020-07-27,4111,"Mon"
2020-07-28,3569,"Tue"
2020-07-29,3650,"Wed"
2020-07-30,3120,"Thu"
2020-07-31,2420,"Fri"
2020-08-01,486,"Sat"
2020-08-02,1973,"Sun"
2020-08-03,2353,"Mon"
2020-08-04,2942,"Tue"
2020-08-05,3264,"Wed"
2020-08-06,2741,"Thu"
2020-08-07,2464,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,3295,"Mon"
2020-08-11,3071,"Tue"
2020-08-12,2743,"Wed"
2020-08-13,2814,"Thu"
2020-08-14,2710,"Fri"
2020-08-15,3,"Sat"
2020-08-16,1597,"Sun"
2020-08-17,3147,"Mon"
2020-08-18,3143,"Tue"
2020-08-19,3049,"Wed"
2020-08-20,2763,"Thu"
2020-08-21,2872,"Fri"
2020-08-22,0,NA
2020-08-23,0,NA
2020-08-24,3668,"Mon"
2020-08-25,3103,"Tue"
2020-08-26,2839,"Wed"
2020-08-27,2795,"Thu"
2020-08-28,2592,"Fri"
2020-08-29,31,"Sat"
2020-08-30,0,NA
2020-08-31,3348,"Mon"
2020-09-01,2735,"Tue"
2020-09-02,2757,"Wed"
2020-09-03,3065,"Thu"
2020-09-04,2958,"Fri"
2020-09-05,0,NA
2020-09-06,1,"Sun"
2020-09-07,3743,"Mon"
2020-09-08,3215,"Tue"
2020-09-09,3212,"Wed"
2020-09-10,2722,"Thu"
2020-09-11,2142,"Fri"
2020-09-12,299,"Sat"
2020-09-13,2823,"Sun"
2020-09-14,1974,"Mon"
2020-09-15,2615,"Tue"
2020-09-16,2966,"Wed"
2020-09-17,2862,"Thu"
2020-09-18,3450,"Fri"
2020-09-19,0,NA
2020-09-20,1,"Sun"
2020-09-21,4302,"Mon"
2020-09-22,3006,"Tue"
2020-09-23,3163,"Wed"
2020-09-24,3121,"Thu"
2020-09-25,3504,"Fri"
2020-09-26,0,NA
2020-09-27,0,NA
2020-09-28,4114,"Mon"
2020-09-29,2801,"Tue"
2020-09-30,3190,"Wed"
2020-10-01,3710,"Thu"
2020-10-02,3873,"Fri"
2020-10-03,1244,"Sat"
2020-10-04,1727,"Sun"
2020-10-05,3384,"Mon"
2020-10-06,3132,"Tue"
2020-10-07,3064,"Wed"
2020-10-08,2829,"Thu"
2020-10-09,2766,"Fri"
2020-10-10,0,NA
2020-10-11,0,NA
2020-10-12,3481,"Mon"
2020-10-13,3476,"Tue"
2020-10-14,3561,"Wed"
2020-10-15,3386,"Thu"
2020-10-16,2663,"Fri"
2020-10-17,0,NA
2020-10-18,0,NA
2020-10-19,3376,"Mon"
2020-10-20,2556,"Tue"
2020-10-21,2947,"Wed"
2020-10-22,3085,"Thu"
2020-10-23,3119,"Fri"
2020-10-24,2,"Sat"
2020-10-25,0,NA
2020-10-26,3399,"Mon"
2020-10-27,3585,"Tue"
2020-10-28,2944,"Wed"
2020-10-29,2952,"Thu"
2020-10-30,2740,"Fri"
2020-10-31,1,"Sat"
2020-11-01,21,"Sun"
2020-11-02,4217,"Mon"
2020-11-03,3033,"Tue"
2020-11-04,3469,"Wed"
2020-11-05,2962,"Thu"
2020-11-06,2438,"Fri"
2020-11-07,1,"Sat"
2020-11-08,0,NA
2020-11-09,3380,"Mon"
2020-11-10,2898,"Tue"
2020-11-11,3452,"Wed"
2020-11-12,2798,"Thu"
2020-11-13,3294,"Fri"
2020-11-14,0,NA
2020-11-15,3740,"Sun"
2020-11-16,2678,"Mon"
2020-11-17,2666,"Tue"
2020-11-18,2957,"Wed"
2020-11-19,3067,"Thu"
2020-11-20,3021,"Fri"
2020-11-21,0,NA
2020-11-22,0,NA
2020-11-23,3142,"Mon"
2020-11-24,3034,"Tue"
2020-11-25,2545,"Wed"
2020-11-26,2557,"Thu"
2020-11-27,2914,"Fri"
2020-11-28,6,"Sat"
2020-11-29,0,NA
2020-11-30,3247,"Mon"
2020-12-01,3230,"Tue"
2020-12-02,3170,"Wed"
2020-12-03,2601,"Thu"
2020-12-04,2595,"Fri"
2020-12-05,0,NA
2020-12-06,2949,"Sun"
2020-12-07,2676,"Mon"
2020-12-08,2404,"Tue"
2020-12-09,3108,"Wed"
2020-12-10,2065,"Thu"
2020-12-11,2503,"Fri"
2020-12-12,0,NA
2020-12-13,0,NA
2020-12-14,2895,"Mon"
2020-12-15,2409,"Tue"
2020-12-16,2668,"Wed"
2020-12-17,2757,"Thu"
2020-12-18,2511,"Fri"
2020-12-19,270,"Sat"
