"week","x","ratioTo2019","ratioTo2020"
1,13247,2.39201877934272,1.83197344765593
2,15467,1.83584569732938,1.44026445665332
3,16299,1.82193158953722,1.39821566440765
4,15656,1.6764107506157,1.44654901598448
5,15993,1.87931844888367,1.6183970856102
6,17528,1.73647711511789,1.45835760046593
7,15088,1.68336494477296,1.34642155987864
8,17148,1.85363744460058,1.58221073998893
9,18977,1.98649638856904,1.78741640764811
10,16288,1.55035217970683,1.48491202479716
11,16616,1.64384645825089,1.65333333333333
12,17092,1.6632931101596,2.07125545322346
13,18634,1.70002736976553,2.82119606358819
14,14503,1.44740518962076,1.92118161345874
15,16412,1.5140221402214,4.41895530425417
16,14910,2.42399609819542,1.76199480028362
17,16018,1.78632764581242,2.18855034840825
18,13981,1.89495798319328,1.52000434877147
19,15623,1.61980300673924,1.48620624048706
20,17947,1.82129084635681,1.33593866309364
21,14434,1.70594492376788,1.25458496305954
22,12758,1.36303418803419,0.764684727883002
23,14353,1.49666319082377,0.825644270593649
24,13348,1.33895074731668,0.771426920187251
25,13713,1.48264677262407,0.786521365070261
26,14228,1.53055077452668,0.922338908336575
27,13625,1.32101997285243,0.732093922948794
28,12918,1.42112211221122,0.797505864921595
29,13036,1.49289967934036,0.772595270550584
30,13593,1.55188948510104,0.834797027574771
31,13104,1.5046503616948,0.773371104815864
32,13884,1.52739273927393,0.935831760582367
33,12917,1.49070975187536,0.799467722968373
34,13935,1.89077340569878,0.901649951472016
35,12513,1.43728463128877,0.872594142259414
36,13700,1.43425460636516,0.870449202617701
37,15497,1.52095396996761,0.981630455438019
38,14029,1.37417964541091,0.845782841984687
39,15483,1.57267648552565,0.926959228881039
