"week","Country","Sept2021","Sept2019","change"
1,"England (excl. Ldn)",8738,3943,121.607912756784
2,"England (excl. Ldn)",10215,5968,71.1628686327078
3,"England (excl. Ldn)",10908,6434,69.5368355610817
4,"England (excl. Ldn)",10341,6769,52.7699807947998
5,"England (excl. Ldn)",10575,6063,74.4186046511628
6,"England (excl. Ldn)",11881,7245,63.9889579020014
7,"England (excl. Ldn)",9873,6435,53.4265734265734
8,"England (excl. Ldn)",11463,6568,74.5280146163216
9,"England (excl. Ldn)",12986,6845,89.7151205259313
10,"England (excl. Ldn)",10904,7649,42.5545822983397
11,"England (excl. Ldn)",11300,7374,53.2411174396528
12,"England (excl. Ldn)",11465,7457,53.7481560949443
13,"England (excl. Ldn)",12468,7841,59.0103303150108
14,"England (excl. Ldn)",9734,7160,35.9497206703911
15,"England (excl. Ldn)",10768,7742,39.0855076207698
16,"England (excl. Ldn)",9576,4425,116.406779661017
17,"England (excl. Ldn)",10423,6326,64.7644641163452
18,"England (excl. Ldn)",9172,5242,74.9713849675696
19,"England (excl. Ldn)",10284,6769,51.9279066331807
20,"England (excl. Ldn)",12015,7114,68.8923249929716
21,"England (excl. Ldn)",9561,5973,60.0703164239076
22,"England (excl. Ldn)",8321,6494,28.1336618417
23,"England (excl. Ldn)",9433,6817,38.3746516062784
24,"England (excl. Ldn)",8837,7030,25.7041251778094
25,"England (excl. Ldn)",9040,6576,37.4695863746959
26,"England (excl. Ldn)",9313,6555,42.0747520976354
27,"England (excl. Ldn)",8942,7370,21.3297150610583
28,"England (excl. Ldn)",8473,6523,29.8942204507129
29,"England (excl. Ldn)",8534,6063,40.7554016163615
30,"England (excl. Ldn)",9068,6312,43.6628643852979
31,"England (excl. Ldn)",8665,6029,43.7220102836291
32,"England (excl. Ldn)",9260,6464,43.2549504950495
33,"England (excl. Ldn)",8345,6188,34.857789269554
34,"England (excl. Ldn)",9443,5200,81.5961538461538
35,"England (excl. Ldn)",8030,5804,38.3528600964852
36,"England (excl. Ldn)",9233,6821,35.361383961296
37,"England (excl. Ldn)",10494,7322,43.3214968587817
38,"England (excl. Ldn)",9233,7275,26.914089347079
39,"England (excl. Ldn)",10315,6885,49.8184458968773
1,"Northern Ireland",147,91,61.5384615384615
2,"Northern Ireland",192,106,81.1320754716981
3,"Northern Ireland",205,104,97.1153846153846
4,"Northern Ireland",157,102,53.921568627451
5,"Northern Ireland",223,122,82.7868852459016
6,"Northern Ireland",231,138,67.3913043478261
7,"Northern Ireland",215,136,58.0882352941176
8,"Northern Ireland",233,137,70.0729927007299
9,"Northern Ireland",250,123,103.252032520325
10,"Northern Ireland",211,153,37.9084967320261
11,"Northern Ireland",190,102,86.2745098039216
12,"Northern Ireland",251,143,75.5244755244755
13,"Northern Ireland",272,151,80.1324503311258
14,"Northern Ireland",160,154,3.89610389610389
15,"Northern Ireland",280,148,89.1891891891892
