"week","AreaCovered","Sept2021","Sept2019","change"
1,"Central London",1499,274,447.080291970803
2,"Central London",1554,416,273.557692307692
3,"Central London",1638,420,290
4,"Central London",1514,469,222.814498933902
5,"Central London",1633,430,279.767441860465
6,"Central London",1677,466,259.871244635193
7,"Central London",1512,409,269.682151589242
8,"Central London",1621,395,310.379746835443
9,"Central London",1761,415,324.33734939759
10,"Central London",1538,501,206.986027944112
11,"Central London",1517,424,257.783018867925
12,"Central London",1636,454,260.352422907489
13,"Central London",1844,534,245.318352059925
14,"Central London",1321,411,221.411192214112
15,"Central London",1756,620,183.225806451613
16,"Central London",1580,255,519.607843137255
17,"Central London",1837,428,329.205607476636
18,"Central London",1430,378,278.306878306878
19,"Central London",1492,449,232.293986636971
20,"Central London",1829,486,276.337448559671
21,"Central London",1361,393,246.310432569975
22,"Central London",1328,478,177.824267782427
23,"Central London",1414,474,198.31223628692
24,"Central London",1241,484,156.404958677686
25,"Central London",1278,446,186.547085201794
26,"Central London",1389,495,180.606060606061
27,"Central London",1223,583,109.777015437393
28,"Central London",1332,458,190.829694323144
29,"Central London",1338,483,177.018633540373
30,"Central London",1355,460,194.565217391304
31,"Central London",1236,476,159.663865546218
32,"Central London",1344,500,168.8
33,"Central London",1365,449,204.008908685969
34,"Central London",1255,380,230.263157894737
35,"Central London",1357,541,150.83179297597
36,"Central London",1263,475,165.894736842105
37,"Central London",1389,567,144.973544973545
38,"Central London",1374,569,141.476274165202
39,"Central London",1485,489,203.680981595092
1,"East London",448,143,213.286713286713
2,"East London",536,288,86.1111111111111
3,"East London",551,274,101.094890510949
4,"East London",539,303,77.8877887788779
5,"East London",549,243,125.925925925926
6,"East London",527,304,73.3552631578947
7,"East London",491,282,74.1134751773049
8,"East London",576,291,97.9381443298969
9,"East London",584,315,85.3968253968254
10,"East London",542,302,79.4701986754967
11,"East London",540,308,75.3246753246753
12,"East London",548,298,83.8926174496644
13,"East London",619,339,82.5958702064897
14,"East London",519,276,88.0434782608696
15,"East London",546,338,61.5384615384615
16,"East London",538,192,180.208333333333
17,"East London",516,318,62.2641509433962
18,"East London",510,200,155
19,"East London",571,288,98.2638888888889
20,"East London",641,337,90.2077151335312
21,"East London",492,280,75.7142857142857
22,"East London",442,316,39.873417721519
23,"East London",510,309,65.0485436893204
24,"East London",451,321,40.4984423676012
25,"East London",481,281,71.1743772241993
26,"East London",531,278,91.0071942446043
27,"East London",488,330,47.8787878787879
28,"East London",434,311,39.5498392282958
29,"East London",420,276,52.1739130434783
30,"East London",475,257,84.8249027237354
31,"East London",403,322,25.1552795031056
32,"East London",426,277,53.7906137184116
33,"East London",390,268,45.5223880597015
34,"East London",441,252,75
35,"East London",405,264,53.4090909090909
36,"East London",455,282,61.3475177304964
37,"East London",468,315,48.5714285714286
38,"East London",449,301,49.1694352159468
39,"East London",509,370,37.5675675675676
1,"North London",581,256,126.953125
2,"North London",715,347,106.051873198847
3,"North London",778,367,111.989100817439
4,"North London",764,327,133.639143730887
5,"North London",703,329,113.677811550152
6,"North London",890,400,122.5
7,"North London",696,328,112.19512195122
8,"North London",784,357,119.607843137255
9,"North London",882,356,147.752808988764
10,"North London",796,407,95.5773955773956
11,"North London",761,369,106.233062330623
12,"North London",809,379,113.456464379947
13,"North London",797,463,72.1382289416847
14,"North London",648,383,69.1906005221932
15,"North London",796,410,94.1463414634146
16,"North London",668,249,168.273092369478
17,"North London",753,329,128.87537993921
18,"North London",693,319,117.241379310345
19,"North London",758,418,81.3397129186603
20,"North London",864,394,119.289340101523
21,"North London",686,328,109.146341463415
22,"North London",668,362,84.5303867403315
23,"North London",665,368,80.7065217391304
24,"North London",615,430,43.0232558139535
25,"North London",734,401,83.0423940149626
