"Section","week","x","x2019","change","Section.name"
" A",1,113,43,162.790697674419,"Agriculture, forestry and fishing"
" A",2,144,56,157.142857142857,"Agriculture, forestry and fishing"
" A",3,104,78,33.3333333333333,"Agriculture, forestry and fishing"
" A",4,122,67,82.089552238806,"Agriculture, forestry and fishing"
" A",5,143,75,90.6666666666667,"Agriculture, forestry and fishing"
" A",6,146,62,135.483870967742,"Agriculture, forestry and fishing"
" A",7,143,58,146.551724137931,"Agriculture, forestry and fishing"
" A",8,118,60,96.6666666666667,"Agriculture, forestry and fishing"
" A",9,156,85,83.5294117647059,"Agriculture, forestry and fishing"
" A",10,146,82,78.0487804878049,"Agriculture, forestry and fishing"
" A",11,119,76,56.5789473684211,"Agriculture, forestry and fishing"
" A",12,153,80,91.25,"Agriculture, forestry and fishing"
" A",13,165,74,122.972972972973,"Agriculture, forestry and fishing"
" A",14,128,75,70.6666666666667,"Agriculture, forestry and fishing"
" A",15,117,62,88.7096774193548,"Agriculture, forestry and fishing"
" A",16,115,42,173.809523809524,"Agriculture, forestry and fishing"
" A",17,117,60,95,"Agriculture, forestry and fishing"
" A",18,94,43,118.604651162791,"Agriculture, forestry and fishing"
" A",19,112,61,83.6065573770492,"Agriculture, forestry and fishing"
" A",20,125,71,76.056338028169,"Agriculture, forestry and fishing"
" A",21,145,54,168.518518518519,"Agriculture, forestry and fishing"
" A",22,71,58,22.4137931034483,"Agriculture, forestry and fishing"
" A",23,103,56,83.9285714285714,"Agriculture, forestry and fishing"
" A",24,75,59,27.1186440677966,"Agriculture, forestry and fishing"
" A",25,98,67,46.2686567164179,"Agriculture, forestry and fishing"
" A",26,98,61,60.655737704918,"Agriculture, forestry and fishing"
" A",27,104,59,76.271186440678,"Agriculture, forestry and fishing"
" A",28,102,60,70,"Agriculture, forestry and fishing"
" A",29,83,49,69.3877551020408,"Agriculture, forestry and fishing"
" A",30,84,60,40,"Agriculture, forestry and fishing"
" A",31,89,47,89.3617021276596,"Agriculture, forestry and fishing"
" A",32,99,67,47.7611940298507,"Agriculture, forestry and fishing"
" A",33,72,59,22.0338983050848,"Agriculture, forestry and fishing"
" A",34,120,42,185.714285714286,"Agriculture, forestry and fishing"
