"date","ni","day","av7"
2019-01-01,57,"Tue",NA
2019-01-02,1057,"Wed",NA
2019-01-03,1052,"Thu",NA
2019-01-04,1515,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,1856,"Mon",791.142857142857
2019-01-08,1803,"Tue",1040.57142857143
2019-01-09,1478,"Wed",1100.71428571429
2019-01-10,1522,"Thu",1167.85714285714
2019-01-11,1439,"Fri",1157
2019-01-12,0,NA,1156.85714285714
2019-01-13,1,"Sun",1157
2019-01-14,2182,"Mon",1203.57142857143
2019-01-15,1788,"Tue",1201.42857142857
2019-01-16,2030,"Wed",1280.28571428571
2019-01-17,1678,"Thu",1302.57142857143
2019-01-18,1581,"Fri",1322.85714285714
2019-01-19,0,NA,1322.85714285714
2019-01-20,0,NA,1322.71428571429
2019-01-21,1869,"Mon",1278
2019-01-22,1715,"Tue",1267.57142857143
2019-01-23,1756,"Wed",1228.42857142857
2019-01-24,1667,"Thu",1226.85714285714
2019-01-25,1558,"Fri",1223.57142857143
2019-01-26,0,NA,1223.57142857143
2019-01-27,0,NA,1223.57142857143
2019-01-28,2643,"Mon",1334.14285714286
2019-01-29,1773,"Tue",1342.42857142857
2019-01-30,1575,"Wed",1316.57142857143
2019-01-31,1480,"Thu",1289.85714285714
2019-02-01,1604,"Fri",1296.42857142857
2019-02-02,1,"Sat",1296.57142857143
2019-02-03,0,NA,1296.57142857143
2019-02-04,2077,"Mon",1215.71428571429
2019-02-05,1848,"Tue",1226.42857142857
2019-02-06,1872,"Wed",1268.85714285714
2019-02-07,1920,"Thu",1331.71428571429
2019-02-08,1662,"Fri",1340
2019-02-09,0,NA,1339.85714285714
2019-02-10,1,"Sun",1340
2019-02-11,2791,"Mon",1442
2019-02-12,1910,"Tue",1450.85714285714
2019-02-13,1848,"Wed",1447.42857142857
2019-02-14,1479,"Thu",1384.42857142857
2019-02-15,1876,"Fri",1415
2019-02-16,0,NA,1415
2019-02-17,0,NA,1414.85714285714
2019-02-18,1850,"Mon",1280.42857142857
2019-02-19,2054,"Tue",1301
2019-02-20,1832,"Wed",1298.71428571429
2019-02-21,1497,"Thu",1301.28571428571
2019-02-22,1590,"Fri",1260.42857142857
2019-02-23,59,"Sat",1268.85714285714
2019-02-24,0,NA,1268.85714285714
2019-02-25,2219,"Mon",1321.57142857143
2019-02-26,1733,"Tue",1275.71428571429
2019-02-27,1639,"Wed",1248.14285714286
2019-02-28,1723,"Thu",1280.42857142857
2019-03-01,1832,"Fri",1315
2019-03-02,1,"Sat",1306.71428571429
2019-03-03,0,NA,1306.71428571429
2019-03-04,2625,"Mon",1364.71428571429
2019-03-05,2044,"Tue",1409.14285714286
2019-03-06,1739,"Wed",1423.42857142857
2019-03-07,1874,"Thu",1445
2019-03-08,2009,"Fri",1470.28571428571
2019-03-09,1124,"Sat",1630.71428571429
2019-03-10,2,"Sun",1631
2019-03-11,1714,"Mon",1500.85714285714
2019-03-12,1936,"Tue",1485.42857142857
2019-03-13,2136,"Wed",1542.14285714286
2019-03-14,1643,"Thu",1509.14285714286
2019-03-15,1983,"Fri",1505.42857142857
2019-03-16,1,"Sat",1345
2019-03-17,0,NA,1344.71428571429
2019-03-18,2409,"Mon",1444
2019-03-19,1984,"Tue",1450.85714285714
2019-03-20,1799,"Wed",1402.71428571429
2019-03-21,2033,"Thu",1458.42857142857
2019-03-22,1642,"Fri",1409.71428571429
2019-03-23,1502,"Sat",1624.14285714286
2019-03-24,0,NA,1624.14285714286
2019-03-25,1316,"Mon",1468
2019-03-26,1769,"Tue",1437.28571428571
2019-03-27,2045,"Wed",1472.42857142857
2019-03-28,1750,"Thu",1432
2019-03-29,1885,"Fri",1466.71428571429
2019-03-30,1523,"Sat",1469.71428571429
2019-03-31,2,"Sun",1470
2019-04-01,1987,"Mon",1565.85714285714
2019-04-02,1818,"Tue",1572.85714285714
2019-04-03,2095,"Wed",1580
2019-04-04,1636,"Thu",1563.71428571429
2019-04-05,2161,"Fri",1603.14285714286
2019-04-06,56,"Sat",1393.57142857143
2019-04-07,1,"Sun",1393.42857142857
2019-04-08,2253,"Mon",1431.42857142857
2019-04-09,2090,"Tue",1470.28571428571
2019-04-10,1980,"Wed",1453.85714285714
2019-04-11,1891,"Thu",1490.28571428571
2019-04-12,2036,"Fri",1472.42857142857
2019-04-13,898,"Sat",1592.71428571429
2019-04-14,0,NA,1592.57142857143
2019-04-15,1945,"Mon",1548.57142857143
2019-04-16,1512,"Tue",1466
2019-04-17,1737,"Wed",1431.28571428571
2019-04-18,1882,"Thu",1430
2019-04-19,0,NA,1139.14285714286
2019-04-20,1020,"Sat",1156.57142857143
2019-04-21,0,NA,1156.57142857143
2019-04-22,0,NA,878.714285714286
2019-04-23,1876,"Tue",930.714285714286
2019-04-24,1686,"Wed",923.428571428571
2019-04-25,1599,"Thu",883
2019-04-26,1603,"Fri",1112
2019-04-27,4,"Sat",966.857142857143
2019-04-28,0,NA,966.857142857143
2019-04-29,2199,"Mon",1281
2019-04-30,1575,"Tue",1238
2019-05-01,2158,"Wed",1305.42857142857
2019-05-02,1640,"Thu",1311.28571428571
2019-05-03,2004,"Fri",1368.57142857143
2019-05-04,0,NA,1368
2019-05-05,0,NA,1368
2019-05-06,1,"Mon",1054
2019-05-07,2255,"Tue",1151.14285714286
2019-05-08,1983,"Wed",1126.14285714286
2019-05-09,1585,"Thu",1118.28571428571
2019-05-10,1843,"Fri",1095.28571428571
2019-05-11,0,NA,1095.28571428571
2019-05-12,0,NA,1095.28571428571
2019-05-13,1979,"Mon",1377.85714285714
2019-05-14,1788,"Tue",1311.14285714286
2019-05-15,1900,"Wed",1299.28571428571
2019-05-16,1880,"Thu",1341.42857142857
2019-05-17,1918,"Fri",1352.14285714286
2019-05-18,4,"Sat",1352.71428571429
2019-05-19,0,NA,1352.71428571429
2019-05-20,2364,"Mon",1407.71428571429
2019-05-21,2081,"Tue",1449.57142857143
2019-05-22,2242,"Wed",1498.42857142857
2019-05-23,1933,"Thu",1506
2019-05-24,1709,"Fri",1476.14285714286
2019-05-25,495,"Sat",1546.28571428571
2019-05-26,1,"Sun",1546.42857142857
2019-05-27,0,NA,1208.71428571429
2019-05-28,1704,"Tue",1154.85714285714
2019-05-29,2017,"Wed",1122.71428571429
2019-05-30,1666,"Thu",1084.57142857143
2019-05-31,1626,"Fri",1072.71428571429
2019-06-01,7,"Sat",1003
2019-06-02,0,NA,1002.85714285714
2019-06-03,2340,"Mon",1337.14285714286
2019-06-04,1694,"Tue",1335.71428571429
2019-06-05,2205,"Wed",1362.57142857143
2019-06-06,1691,"Thu",1366.14285714286
2019-06-07,1676,"Fri",1373.28571428571
2019-06-08,0,NA,1372.28571428571
2019-06-09,0,NA,1372.28571428571
2019-06-10,2324,"Mon",1370
2019-06-11,2128,"Tue",1432
2019-06-12,1985,"Wed",1400.57142857143
2019-06-13,1843,"Thu",1422.28571428571
2019-06-14,1805,"Fri",1440.71428571429
2019-06-15,78,"Sat",1451.85714285714
2019-06-16,0,NA,1451.85714285714
2019-06-17,2130,"Mon",1424.14285714286
2019-06-18,1910,"Tue",1393
2019-06-19,2127,"Wed",1413.28571428571
2019-06-20,1460,"Thu",1358.57142857143
2019-06-21,1775,"Fri",1354.28571428571
2019-06-22,0,NA,1343.14285714286
2019-06-23,0,NA,1343.14285714286
2019-06-24,1977,"Mon",1321.28571428571
2019-06-25,1995,"Tue",1333.42857142857
2019-06-26,1818,"Wed",1289.28571428571
2019-06-27,1663,"Thu",1318.28571428571
2019-06-28,1588,"Fri",1291.57142857143
2019-06-29,0,NA,1291.57142857143
2019-06-30,0,NA,1291.57142857143
2019-07-01,2232,"Mon",1328
2019-07-02,2005,"Tue",1329.42857142857
2019-07-03,2182,"Wed",1381.42857142857
2019-07-04,1651,"Thu",1379.71428571429
2019-07-05,1637,"Fri",1386.71428571429
2019-07-06,1082,"Sat",1541.28571428571
2019-07-07,38,"Sun",1546.71428571429
2019-07-08,1719,"Mon",1473.42857142857
2019-07-09,1318,"Tue",1375.28571428571
2019-07-10,1769,"Wed",1316.28571428571
2019-07-11,1765,"Thu",1332.57142857143
2019-07-12,1919,"Fri",1372.85714285714
2019-07-13,225,"Sat",1250.42857142857
2019-07-14,66,"Sun",1254.42857142857
2019-07-15,2028,"Mon",1298.57142857143
2019-07-16,1497,"Tue",1324.14285714286
2019-07-17,2109,"Wed",1372.71428571429
2019-07-18,1504,"Thu",1335.42857142857
2019-07-19,1873,"Fri",1328.85714285714
2019-07-20,208,"Sat",1326.42857142857
2019-07-21,0,NA,1317
2019-07-22,1541,"Mon",1247.42857142857
2019-07-23,1659,"Tue",1270.57142857143
