"date","ni","day"
2020-01-01,36,"Wed"
2020-01-02,1515,"Thu"
2020-01-03,1650,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2216,"Mon"
2020-01-07,1885,"Tue"
2020-01-08,1724,"Wed"
2020-01-09,2253,"Thu"
2020-01-10,1810,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,2799,"Mon"
2020-01-14,2302,"Tue"
2020-01-15,2142,"Wed"
2020-01-16,1624,"Thu"
2020-01-17,2612,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,3130,"Mon"
2020-01-21,2257,"Tue"
2020-01-22,1746,"Wed"
2020-01-23,2237,"Thu"
2020-01-24,1867,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,2657,"Mon"
2020-01-28,2419,"Tue"
2020-01-29,1592,"Wed"
2020-01-30,1587,"Thu"
2020-01-31,1644,"Fri"
2020-02-01,6,"Sat"
2020-02-02,0,NA
2020-02-03,2743,"Mon"
2020-02-04,2417,"Tue"
2020-02-05,2307,"Wed"
2020-02-06,2335,"Thu"
2020-02-07,2140,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,2867,"Mon"
2020-02-11,2467,"Tue"
2020-02-12,2241,"Wed"
2020-02-13,2334,"Thu"
2020-02-14,2231,"Fri"
2020-02-15,480,"Sat"
2020-02-16,0,NA
2020-02-17,2001,"Mon"
2020-02-18,2038,"Tue"
2020-02-19,2014,"Wed"
2020-02-20,2101,"Thu"
2020-02-21,2128,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2826,"Mon"
2020-02-25,2997,"Tue"
2020-02-26,3118,"Wed"
2020-02-27,2077,"Thu"
2020-02-28,2284,"Fri"
2020-02-29,0,NA
2020-03-01,19,"Sun"
2020-03-02,2921,"Mon"
2020-03-03,2423,"Tue"
2020-03-04,2858,"Wed"
2020-03-05,2192,"Thu"
2020-03-06,2129,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,3670,"Mon"
2020-03-10,2885,"Tue"
2020-03-11,3109,"Wed"
2020-03-12,2959,"Thu"
2020-03-13,1821,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,2405,"Mon"
2020-03-17,2373,"Tue"
2020-03-18,2972,"Wed"
2020-03-19,1995,"Thu"
2020-03-20,1872,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1883,"Mon"
2020-03-24,1823,"Tue"
2020-03-25,1980,"Wed"
2020-03-26,1424,"Thu"
2020-03-27,1100,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,2195,"Mon"
2020-03-31,1935,"Tue"
2020-04-01,1930,"Wed"
2020-04-02,1750,"Thu"
2020-04-03,1507,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,2208,"Mon"
2020-04-07,1860,"Tue"
2020-04-08,1344,"Wed"
2020-04-09,1557,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,1930,"Tue"
2020-04-15,2188,"Wed"
2020-04-16,2653,"Thu"
2020-04-17,2028,"Fri"
2020-04-18,1,"Sat"
2020-04-19,0,NA
2020-04-20,2350,"Mon"
2020-04-21,1996,"Tue"
2020-04-22,1918,"Wed"
2020-04-23,1431,"Thu"
2020-04-24,1548,"Fri"
2020-04-25,0,NA
2020-04-26,0,NA
2020-04-27,2494,"Mon"
2020-04-28,2153,"Tue"
2020-04-29,2291,"Wed"
2020-04-30,1846,"Thu"
2020-05-01,1911,"Fri"
2020-05-02,0,NA
2020-05-03,0,NA
2020-05-04,2434,"Mon"
2020-05-05,2287,"Tue"
2020-05-06,2497,"Wed"
2020-05-07,2319,"Thu"
2020-05-08,3,"Fri"
2020-05-09,0,NA
2020-05-10,0,NA
2020-05-11,3414,"Mon"
2020-05-12,2590,"Tue"
2020-05-13,2614,"Wed"
2020-05-14,2508,"Thu"
2020-05-15,2736,"Fri"
2020-05-16,0,NA
2020-05-17,0,NA
2020-05-18,2919,"Mon"
2020-05-19,3033,"Tue"
2020-05-20,3002,"Wed"
2020-05-21,2285,"Thu"
2020-05-22,2319,"Fri"
2020-05-23,0,NA
2020-05-24,0,NA
2020-05-25,0,NA
2020-05-26,4219,"Tue"
2020-05-27,3951,"Wed"
2020-05-28,2940,"Thu"
