"week","x","ratioTo2019","ratioTo2020"
1,13316,2.3757359500446,1.82336026290566
2,15549,1.82478582326018,1.42808596620132
3,16393,1.81539313399779,1.39325174230835
4,15727,1.66705533177867,1.43941058026725
5,16068,1.86685256186825,1.60856942636901
6,17601,1.72541907656112,1.45270716408055
7,15153,1.67399469730446,1.33801324503311
8,17237,1.82692103868574,1.42855958892757
9,19060,1.94291539245668,1.48419249338109
10,16360,1.51257396449704,1.19111758281762
11,16677,1.60232513451191,1.3162588792423
12,17165,1.61995092487731,1.62778568041726
13,18709,1.62446817747677,2.16689830901089
14,14551,1.35736940298507,1.57223122636413
15,16463,1.4177574922494,3.40778306768785
16,14957,2.26278366111952,1.33354136947218
17,16075,1.64500613999181,1.68430427493713
18,14036,1.77873526802687,1.30337078651685
19,15710,1.50898088560177,1.45153839046475
20,18045,1.68802619270346,1.30666183924692
21,14491,1.64951622083096,1.22545454545455
22,12822,1.33492972410203,0.747028664646935
23,14429,1.46830161799125,0.812626717729218
24,13407,1.31738233271102,0.76068085106383
25,13749,1.45599915281161,0.773676214056609
26,14253,1.50618197189052,0.910037032307496
27,13646,1.28143487651423,0.723196777783666
28,12918,1.34212987012987,0.789078248121679
29,13034,1.41152263374486,0.765714957114323
30,13589,1.46071159840912,0.82824404217712
31,13097,1.40903711672942,0.767252489748096
32,13881,1.42486142475878,0.929863344051447
33,12915,1.39909002274943,0.794475885826772
34,13935,1.8261040492727,0.895853423336548
