"week","Country","Aug2021","Aug2019","change"
1,"England (excl. Ldn)",8771,4001,119.220194951262
2,"England (excl. Ldn)",10270,6046,69.8643731392656
3,"England (excl. Ldn)",10985,6502,68.9480159950784
4,"England (excl. Ldn)",10389,6834,52.0193151887621
5,"England (excl. Ldn)",10598,6138,72.6621049201694
6,"England (excl. Ldn)",11924,7325,62.7849829351536
7,"England (excl. Ldn)",9910,6506,52.3209345219797
8,"England (excl. Ldn)",11515,6694,72.0197191514789
9,"England (excl. Ldn)",13030,7024,85.5068337129841
10,"England (excl. Ldn)",10948,7872,39.0752032520325
11,"England (excl. Ldn)",11335,7573,49.6764822395352
12,"England (excl. Ldn)",11499,7691,49.5124171109089
13,"England (excl. Ldn)",12505,8289,50.8625889733381
14,"England (excl. Ldn)",9768,7672,27.3201251303441
15,"England (excl. Ldn)",10797,8258,30.7459433276823
16,"England (excl. Ldn)",9610,4742,102.657106706031
17,"England (excl. Ldn)",10465,6878,52.1517883105554
18,"England (excl. Ldn)",9213,5587,64.9006622516556
19,"England (excl. Ldn)",10342,7302,41.6324294713777
20,"England (excl. Ldn)",12086,7681,57.3493034761099
21,"England (excl. Ldn)",9598,6198,54.8564052920297
22,"England (excl. Ldn)",8378,6687,25.2878719904292
23,"England (excl. Ldn)",9438,7001,34.8093129552921
24,"England (excl. Ldn)",8835,7179,23.0672795653991
25,"England (excl. Ldn)",9081,6705,35.4362416107383
26,"England (excl. Ldn)",9373,6665,40.6301575393848
27,"England (excl. Ldn)",8954,7598,17.8468017899447
28,"England (excl. Ldn)",8504,6908,23.1036479444123
29,"England (excl. Ldn)",8538,6390,33.6150234741784
30,"England (excl. Ldn)",9069,6669,35.987404408457
31,"England (excl. Ldn)",8635,6432,34.2506218905473
32,"England (excl. Ldn)",9180,6886,33.3139703746733
33,"England (excl. Ldn)",8228,6576,25.1216545012166
34,"England (excl. Ldn)",9304,5365,73.4203168685927
1,"Northern Ireland",148,91,62.6373626373626
2,"Northern Ireland",193,109,77.0642201834862
3,"Northern Ireland",205,105,95.2380952380952
4,"Northern Ireland",157,103,52.4271844660194
5,"Northern Ireland",223,122,82.7868852459016
6,"Northern Ireland",231,140,65
7,"Northern Ireland",216,138,56.5217391304348
8,"Northern Ireland",234,138,69.5652173913043
9,"Northern Ireland",251,125,100.8
10,"Northern Ireland",211,156,35.2564102564103
11,"Northern Ireland",190,103,84.4660194174757
12,"Northern Ireland",251,146,71.9178082191781
13,"Northern Ireland",275,155,77.4193548387097
14,"Northern Ireland",160,157,1.91082802547771
15,"Northern Ireland",280,149,87.9194630872483
16,"Northern Ireland",208,93,123.655913978495
17,"Northern Ireland",180,120,50
18,"Northern Ireland",164,114,43.859649122807
19,"Northern Ireland",197,153,28.7581699346405
20,"Northern Ireland",195,155,25.8064516129032
21,"Northern Ireland",185,124,49.1935483870968
22,"Northern Ireland",150,146,2.73972602739727
23,"Northern Ireland",173,139,24.4604316546763
24,"Northern Ireland",176,126,39.6825396825397
25,"Northern Ireland",187,148,26.3513513513514
26,"Northern Ireland",149,122,22.1311475409836
27,"Northern Ireland",258,108,138.888888888889
28,"Northern Ireland",134,82,63.4146341463415
29,"Northern Ireland",165,172,-4.06976744186046
30,"Northern Ireland",155,145,6.89655172413792
31,"Northern Ireland",168,112,50
32,"Northern Ireland",187,103,81.5533980582524
33,"Northern Ireland",190,107,77.5700934579439
34,"Northern Ireland",190,84,126.190476190476
1,"Scotland",489,200,144.5
2,"Scotland",718,466,54.0772532188841
3,"Scotland",659,447,47.427293064877
4,"Scotland",730,445,64.0449438202247
5,"Scotland",763,464,64.4396551724138
6,"Scotland",776,498,55.8232931726908
7,"Scotland",792,467,69.593147751606
8,"Scotland",798,640,24.6875
9,"Scotland",783,496,57.8629032258064
10,"Scotland",734,538,36.4312267657993
11,"Scotland",782,577,35.5285961871751
12,"Scotland",764,542,40.9594095940959
13,"Scotland",890,577,54.2461005199307
14,"Scotland",776,556,39.568345323741
15,"Scotland",768,458,67.6855895196506
16,"Scotland",745,333,123.723723723724
17,"Scotland",740,560,32.1428571428571
18,"Scotland",643,407,57.985257985258
19,"Scotland",808,584,38.3561643835616
20,"Scotland",679,406,67.2413793103448
21,"Scotland",717,552,29.8913043478261
22,"Scotland",585,551,6.17059891107079
23,"Scotland",703,488,44.0573770491803
24,"Scotland",621,517,20.1160541586074
25,"Scotland",613,483,26.9151138716356
26,"Scotland",652,510,27.843137254902
27,"Scotland",598,441,35.6009070294785
28,"Scotland",518,442,17.1945701357466
29,"Scotland",550,455,20.8791208791209
30,"Scotland",550,406,35.4679802955665
31,"Scotland",653,525,24.3809523809524
32,"Scotland",631,451,39.9113082039911
33,"Scotland",681,485,40.4123711340206
34,"Scotland",662,397,66.7506297229219
1,"Wales",594,246,141.463414634146
2,"Wales",687,410,67.5609756097561
3,"Wales",843,435,93.7931034482759
4,"Wales",734,449,63.4743875278396
5,"Wales",730,388,88.1443298969072
6,"Wales",779,484,60.9504132231405
7,"Wales",703,435,61.6091954022989
8,"Wales",836,407,105.405405405405
9,"Wales",793,464,70.9051724137931
10,"Wales",689,560,23.0357142857143
11,"Wales",752,462,62.7705627705628
12,"Wales",822,543,51.3812154696133
13,"Wales",828,547,51.3711151736746
14,"Wales",645,521,23.8003838771593
15,"Wales",740,520,42.3076923076923
16,"Wales",647,276,134.420289855072
17,"Wales",696,433,60.7390300230947
18,"Wales",652,360,81.1111111111111
19,"Wales",668,501,33.3333333333333
20,"Wales",803,474,69.409282700422
21,"Wales",615,501,22.7544910179641
22,"Wales",488,442,10.4072398190045
23,"Wales",645,470,37.2340425531915
24,"Wales",657,441,48.9795918367347
25,"Wales",546,455,20
26,"Wales",625,476,31.3025210084034
27,"Wales",667,492,35.5691056910569
28,"Wales",596,418,42.5837320574163
29,"Wales",686,388,76.8041237113402
30,"Wales",563,455,23.7362637362637
31,"Wales",639,440,45.2272727272727
32,"Wales",675,487,38.6036960985626
33,"Wales",637,427,49.1803278688525
34,"Wales",717,347,106.628242074928
1,"London",3544,1088,225.735294117647
2,"London",3992,1666,139.615846338535
3,"London",4194,1710,145.263157894737
4,"London",4043,1807,123.741007194245
5,"London",4085,1632,150.30637254902
6,"London",4334,1963,120.784513499745
7,"London",3835,1678,128.545887961859
8,"London",4316,1693,154.932073242764
9,"London",4681,1895,147.018469656992
10,"London",4115,1976,108.248987854251
11,"London",3993,1864,114.216738197425
12,"London",4221,1938,117.801857585139
13,"London",4620,2174,112.511499540018
14,"London",3531,1946,81.4491264131552
15,"London",4285,2372,80.6492411467116
16,"London",4033,1275,216.313725490196
17,"London",4325,1941,122.823286965482
18,"London",3686,1559,136.433611289288
19,"London",4039,2090,93.2535885167464
20,"London",4691,2166,116.57433056325
21,"London",3676,1692,117.25768321513
22,"London",3468,1941,78.6707882534776
23,"London",3770,1932,95.1345755693582
24,"London",3426,2057,66.5532328633933
25,"London",3589,1814,97.8500551267916
26,"London",3759,1860,102.096774193548
27,"London",3442,2242,53.5236396074933
28,"London",3419,1953,75.0640040962622
29,"London",3375,1966,71.6683621566633
30,"London",3539,1817,94.7716015410017
31,"London",3308,1937,70.7795560144553
32,"London",3505,2012,74.2047713717694
33,"London",3457,1822,89.7365532381998
34,"London",3368,1565,115.207667731629
