"week","AreaCovered","Aug2021","Aug2019","change"
1,"Central London",1512,277,445.848375451264
2,"Central London",1563,417,274.820143884892
3,"Central London",1652,423,290.543735224586
4,"Central London",1519,477,218.448637316562
5,"Central London",1642,438,274.885844748858
6,"Central London",1683,471,257.324840764331
7,"Central London",1524,410,271.707317073171
8,"Central London",1629,406,301.231527093596
9,"Central London",1779,430,313.720930232558
10,"Central London",1548,513,201.754385964912
11,"Central London",1520,437,247.826086956522
12,"Central London",1651,464,255.818965517241
13,"Central London",1858,551,237.205081669691
14,"Central London",1328,445,198.426966292135
15,"Central London",1760,670,162.686567164179
16,"Central London",1584,270,486.666666666667
17,"Central London",1846,475,288.631578947368
18,"Central London",1436,411,249.391727493917
19,"Central London",1505,497,202.816901408451
20,"Central London",1839,539,241.187384044527
21,"Central London",1374,405,239.259259259259
22,"Central London",1329,486,173.456790123457
23,"Central London",1426,478,198.326359832636
24,"Central London",1252,495,152.929292929293
25,"Central London",1282,457,180.525164113786
26,"Central London",1396,524,166.412213740458
27,"Central London",1226,619,98.0613893376413
28,"Central London",1318,499,164.128256513026
29,"Central London",1336,528,153.030303030303
30,"Central London",1362,504,170.238095238095
31,"Central London",1238,505,145.148514851485
32,"Central London",1336,549,143.351548269581
33,"Central London",1369,491,178.818737270876
34,"Central London",1257,398,215.829145728643
1,"East London",453,143,216.783216783217
2,"East London",544,288,88.8888888888889
3,"East London",553,276,100.36231884058
4,"East London",539,311,73.3118971061093
5,"East London",554,246,125.20325203252
6,"East London",529,313,69.0095846645367
7,"East London",490,287,70.7317073170732
8,"East London",580,302,92.0529801324503
9,"East London",592,325,82.1538461538462
10,"East London",544,313,73.8019169329073
11,"East London",542,324,67.283950617284
12,"East London",557,309,80.2588996763754
13,"East London",620,356,74.1573033707865
14,"East London",524,302,73.5099337748344
15,"East London",556,366,51.9125683060109
16,"East London",539,223,141.704035874439
17,"East London",518,348,48.8505747126437
18,"East London",510,223,128.699551569507
19,"East London",580,315,84.1269841269841
20,"East London",652,367,77.6566757493188
21,"East London",497,295,68.4745762711865
22,"East London",444,328,35.3658536585366
23,"East London",509,314,62.1019108280255
24,"East London",453,328,38.109756097561
25,"East London",488,291,67.6975945017182
26,"East London",533,283,88.339222614841
27,"East London",493,338,45.8579881656805
28,"East London",435,331,31.4199395770393
29,"East London",423,296,42.9054054054054
30,"East London",472,285,65.6140350877193
31,"East London",399,348,14.6551724137931
32,"East London",426,305,39.672131147541
33,"East London",387,283,36.7491166077738
34,"East London",450,274,64.2335766423358
1,"North London",581,255,127.843137254902
2,"North London",716,351,103.988603988604
3,"North London",783,370,111.621621621622
4,"North London",771,337,128.783382789317
5,"North London",705,332,112.349397590361
6,"North London",900,402,123.880597014925
7,"North London",708,337,110.089020771513
8,"North London",792,363,118.181818181818
9,"North London",883,375,135.466666666667
10,"North London",804,423,90.0709219858156
11,"North London",767,390,96.6666666666667
12,"North London",815,394,106.852791878173
13,"North London",805,482,67.0124481327801
14,"North London",652,417,56.3549160671463
15,"North London",801,462,73.3766233766234
16,"North London",669,279,139.784946236559
