"Section","week","x","x2019","change","Section.name"
" A",1,115,43,167.441860465116,"Agriculture, forestry and fishing"
" A",2,145,56,158.928571428571,"Agriculture, forestry and fishing"
" A",3,105,78,34.6153846153846,"Agriculture, forestry and fishing"
" A",4,122,68,79.4117647058824,"Agriculture, forestry and fishing"
" A",5,146,75,94.6666666666667,"Agriculture, forestry and fishing"
" A",6,146,63,131.746031746032,"Agriculture, forestry and fishing"
" A",7,143,58,146.551724137931,"Agriculture, forestry and fishing"
" A",8,122,60,103.333333333333,"Agriculture, forestry and fishing"
" A",9,158,87,81.6091954022989,"Agriculture, forestry and fishing"
" A",10,147,83,77.1084337349398,"Agriculture, forestry and fishing"
" A",11,119,77,54.5454545454545,"Agriculture, forestry and fishing"
" A",12,157,82,91.4634146341463,"Agriculture, forestry and fishing"
" A",13,166,76,118.421052631579,"Agriculture, forestry and fishing"
" A",14,128,78,64.1025641025641,"Agriculture, forestry and fishing"
" A",15,118,67,76.1194029850746,"Agriculture, forestry and fishing"
" A",16,116,44,163.636363636364,"Agriculture, forestry and fishing"
" A",17,120,64,87.5,"Agriculture, forestry and fishing"
" A",18,94,47,100,"Agriculture, forestry and fishing"
" A",19,112,69,62.3188405797102,"Agriculture, forestry and fishing"
" A",20,125,73,71.2328767123288,"Agriculture, forestry and fishing"
" A",21,145,60,141.666666666667,"Agriculture, forestry and fishing"
" A",22,71,61,16.3934426229508,"Agriculture, forestry and fishing"
" A",23,103,57,80.7017543859649,"Agriculture, forestry and fishing"
" A",24,77,59,30.5084745762712,"Agriculture, forestry and fishing"
" A",25,98,68,44.1176470588235,"Agriculture, forestry and fishing"
" A",26,98,66,48.4848484848485,"Agriculture, forestry and fishing"
" A",27,105,63,66.6666666666667,"Agriculture, forestry and fishing"
" A",28,102,64,59.375,"Agriculture, forestry and fishing"
" A",29,83,56,48.2142857142857,"Agriculture, forestry and fishing"
" A",30,84,62,35.4838709677419,"Agriculture, forestry and fishing"
" A",31,89,49,81.6326530612245,"Agriculture, forestry and fishing"
" A",32,99,69,43.4782608695652,"Agriculture, forestry and fishing"
" A",33,72,69,4.34782608695652,"Agriculture, forestry and fishing"
" A",34,120,45,166.666666666667,"Agriculture, forestry and fishing"
" B",1,18,13,38.4615384615385,"Mining and quarrying"
" B",2,20,20,0,"Mining and quarrying"
" B",3,30,21,42.8571428571429,"Mining and quarrying"
" B",4,21,19,10.5263157894737,"Mining and quarrying"
" B",5,23,12,91.6666666666667,"Mining and quarrying"
" B",6,15,25,-40,"Mining and quarrying"
" B",7,17,18,-5.55555555555556,"Mining and quarrying"
" B",8,26,13,100,"Mining and quarrying"
" B",9,23,22,4.54545454545454,"Mining and quarrying"
" B",10,26,16,62.5,"Mining and quarrying"
" B",11,23,18,27.7777777777778,"Mining and quarrying"
" B",12,23,29,-20.6896551724138,"Mining and quarrying"
" B",13,26,21,23.8095238095238,"Mining and quarrying"
" B",14,19,21,-9.52380952380952,"Mining and quarrying"
" B",15,12,18,-33.3333333333333,"Mining and quarrying"
" B",16,23,12,91.6666666666667,"Mining and quarrying"
" B",17,28,21,33.3333333333333,"Mining and quarrying"
" B",18,21,19,10.5263157894737,"Mining and quarrying"
" B",19,23,10,130,"Mining and quarrying"
" B",20,27,12,125,"Mining and quarrying"
" B",21,17,21,-19.047619047619,"Mining and quarrying"
" B",22,28,26,7.69230769230769,"Mining and quarrying"
" B",23,31,21,47.6190476190476,"Mining and quarrying"
" B",24,19,16,18.75,"Mining and quarrying"
" B",25,25,29,-13.7931034482759,"Mining and quarrying"
" B",26,25,18,38.8888888888889,"Mining and quarrying"
" B",27,17,16,6.25,"Mining and quarrying"
