"date","ni","day","av7"
2019-01-01,57,"Tue",NA
2019-01-02,1074,"Wed",NA
2019-01-03,1060,"Thu",NA
2019-01-04,1535,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,1878,"Mon",800.714285714286
2019-01-08,1820,"Tue",1052.57142857143
2019-01-09,1491,"Wed",1112.14285714286
2019-01-10,1548,"Thu",1181.85714285714
2019-01-11,1460,"Fri",1171.14285714286
2019-01-12,0,NA,1171
2019-01-13,1,"Sun",1171.14285714286
2019-01-14,2201,"Mon",1217.28571428571
2019-01-15,1800,"Tue",1214.42857142857
2019-01-16,2046,"Wed",1293.71428571429
2019-01-17,1705,"Thu",1316.14285714286
2019-01-18,1591,"Fri",1334.85714285714
2019-01-19,0,NA,1334.85714285714
2019-01-20,0,NA,1334.71428571429
2019-01-21,1888,"Mon",1290
2019-01-22,1735,"Tue",1280.71428571429
2019-01-23,1771,"Wed",1241.42857142857
2019-01-24,1687,"Thu",1238.85714285714
2019-01-25,1569,"Fri",1235.71428571429
2019-01-26,0,NA,1235.71428571429
2019-01-27,0,NA,1235.71428571429
2019-01-28,2672,"Mon",1347.71428571429
2019-01-29,1799,"Tue",1356.85714285714
2019-01-30,1595,"Wed",1331.71428571429
2019-01-31,1496,"Thu",1304.42857142857
2019-02-01,1617,"Fri",1311.28571428571
2019-02-02,1,"Sat",1311.42857142857
2019-02-03,0,NA,1311.42857142857
2019-02-04,2099,"Mon",1229.57142857143
2019-02-05,1866,"Tue",1239.14285714286
2019-02-06,1900,"Wed",1282.71428571429
2019-02-07,1936,"Thu",1345.57142857143
2019-02-08,1680,"Fri",1354.57142857143
2019-02-09,0,NA,1354.42857142857
2019-02-10,1,"Sun",1354.57142857143
2019-02-11,2818,"Mon",1457.28571428571
2019-02-12,1932,"Tue",1466.71428571429
2019-02-13,1867,"Wed",1462
2019-02-14,1498,"Thu",1399.42857142857
2019-02-15,1887,"Fri",1429
2019-02-16,0,NA,1429
2019-02-17,0,NA,1428.85714285714
2019-02-18,1868,"Mon",1293.14285714286
2019-02-19,2082,"Tue",1314.57142857143
2019-02-20,1854,"Wed",1312.71428571429
2019-02-21,1529,"Thu",1317.14285714286
2019-02-22,1633,"Fri",1280.85714285714
2019-02-23,59,"Sat",1289.28571428571
2019-02-24,0,NA,1289.28571428571
2019-02-25,2278,"Mon",1347.85714285714
2019-02-26,1784,"Tue",1305.28571428571
2019-02-27,1681,"Wed",1280.57142857143
