"date","n"
2020-01-01,37
2020-01-02,1316
2020-01-03,1434
2020-01-04,0
2020-01-05,1
2020-01-06,1946
2020-01-07,1699
2020-01-08,1540
2020-01-09,2006
2020-01-10,1577
2020-01-11,0
2020-01-12,0
2020-01-13,2456
2020-01-14,2025
2020-01-15,1918
2020-01-16,1445
2020-01-17,2344
2020-01-18,0
2020-01-19,1
2020-01-20,2717
2020-01-21,2042
2020-01-22,1572
2020-01-23,2005
2020-01-24,1655
2020-01-25,0
2020-01-26,0
2020-01-27,2321
2020-01-28,2192
2020-01-29,1436
2020-01-30,1430
2020-01-31,1489
2020-02-01,5
2020-02-02,0
2020-02-03,2454
2020-02-04,2122
2020-02-05,2115
2020-02-06,2137
2020-02-07,1955
2020-02-08,0
2020-02-09,0
2020-02-10,2593
2020-02-11,2242
2020-02-12,2045
2020-02-13,2122
2020-02-14,2031
2020-02-15,422
2020-02-16,0
2020-02-17,1808
2020-02-18,1828
2020-02-19,1841
2020-02-20,1899
2020-02-21,1644
2020-02-22,0
2020-02-23,0
2020-02-24,2288
2020-02-25,2381
2020-02-26,2531
2020-02-27,1662
2020-02-28,1821
2020-02-29,0
2020-03-01,20
2020-03-02,2183
2020-03-03,1876
2020-03-04,2205
2020-03-05,1685
2020-03-06,1614
2020-03-07,0
2020-03-08,1
2020-03-09,2734
2020-03-10,2147
2020-03-11,2337
2020-03-12,2248
2020-03-13,1394
2020-03-14,1
2020-03-15,2
2020-03-16,1788
2020-03-17,1758
2020-03-18,2247
2020-03-19,1504
2020-03-20,1384
2020-03-21,0
2020-03-22,0
2020-03-23,1324
2020-03-24,1359
2020-03-25,1432
2020-03-26,1038
2020-03-27,791
2020-03-28,0
2020-03-29,0
2020-03-30,1524
2020-03-31,1387
2020-04-01,1354
2020-04-02,1277
2020-04-03,1092
2020-04-04,0
2020-04-05,0
2020-04-06,1455
2020-04-07,1339
2020-04-08,930
2020-04-09,1106
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,1383
2020-04-15,1537
2020-04-16,1966
2020-04-17,1413
2020-04-18,0
2020-04-19,0
2020-04-20,1637
2020-04-21,1392
2020-04-22,1374
2020-04-23,1032
2020-04-24,1128
2020-04-25,0
2020-04-26,0
2020-04-27,1742
2020-04-28,1555
2020-04-29,1672
2020-04-30,1311
2020-05-01,1408
2020-05-02,0
2020-05-03,0
2020-05-04,1663
2020-05-05,1590
2020-05-06,1798
2020-05-07,1721
2020-05-08,3
2020-05-09,0
2020-05-10,0
2020-05-11,2301
2020-05-12,1831
2020-05-13,1745
2020-05-14,1722
2020-05-15,1939
2020-05-16,0
2020-05-17,0
2020-05-18,1944
2020-05-19,2057
2020-05-20,2068
2020-05-21,1624
2020-05-22,1640
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,2867
2020-05-27,2675
2020-05-28,2051
2020-05-29,1987
2020-05-30,1768
2020-05-31,1
2020-06-01,1413
2020-06-02,2049
2020-06-03,2445
2020-06-04,1924
2020-06-05,2209
2020-06-06,0
2020-06-07,0
2020-06-08,3122
2020-06-09,2892
2020-06-10,1808
2020-06-11,2524
2020-06-12,2207
2020-06-13,1687
2020-06-14,0
2020-06-15,2126
2020-06-16,1902
2020-06-17,1936
2020-06-18,1973
2020-06-19,2360
2020-06-20,1934
2020-06-21,0
2020-06-22,2284
2020-06-23,1928
2020-06-24,1969
2020-06-25,1887
2020-06-26,1538
2020-06-27,0
2020-06-28,0
2020-06-29,2709
2020-06-30,2872
2020-07-01,2552
2020-07-02,2365
2020-07-03,1877
2020-07-04,1034
2020-07-05,1115
2020-07-06,2355
2020-07-07,1997
2020-07-08,2146
2020-07-09,1992
2020-07-10,2180
2020-07-11,1
2020-07-12,0
2020-07-13,2628
2020-07-14,2570
2020-07-15,2548
2020-07-16,1945
2020-07-17,1924
2020-07-18,0
2020-07-19,1634
2020-07-20,1890
2020-07-21,2124
2020-07-22,1971
2020-07-23,2224
2020-07-24,1949
2020-07-25,1
2020-07-26,0
2020-07-27,2846
2020-07-28,2500
2020-07-29,2638
2020-07-30,2300
2020-07-31,1755
2020-08-01,369
2020-08-02,1315
2020-08-03,1663
2020-08-04,2110
2020-08-05,2368
2020-08-06,1993
2020-08-07,1800
2020-08-08,0
2020-08-09,1
2020-08-10,2208
2020-08-11,2141
2020-08-12,2002
2020-08-13,2043
2020-08-14,1980
2020-08-15,2
2020-08-16,1153
2020-08-17,2154
2020-08-18,2279
2020-08-19,2216
2020-08-20,1818
2020-08-21,2075
2020-08-22,0
2020-08-23,0
2020-08-24,2544
2020-08-25,2207
2020-08-26,2066
2020-08-27,2056
2020-08-28,1911
2020-08-29,27
2020-08-30,0
2020-08-31,2308
2020-09-01,1850
2020-09-02,1994
2020-09-03,2205
2020-09-04,2162
2020-09-05,0
2020-09-06,1
2020-09-07,2646
2020-09-08,2302
2020-09-09,2316
2020-09-10,1968
2020-09-11,1563
2020-09-12,219
2020-09-13,2038
2020-09-14,1451
2020-09-15,1844
2020-09-16,2128
2020-09-17,2149
2020-09-18,2479
2020-09-19,0
2020-09-20,2
2020-09-21,2970
2020-09-22,2190
2020-09-23,2307
2020-09-24,2271
2020-09-25,2587
2020-09-26,0
2020-09-27,0
2020-09-28,2865
2020-09-29,2007
2020-09-30,2333
2020-10-01,2643
2020-10-02,2768
2020-10-03,969
2020-10-04,1194
2020-10-05,2365
2020-10-06,2247
2020-10-07,2260
2020-10-08,2035
2020-10-09,2052
2020-10-10,0
2020-10-11,0
2020-10-12,2338
2020-10-13,2571
2020-10-14,2696
2020-10-15,2485
2020-10-16,1957
2020-10-17,0
2020-10-18,0
2020-10-19,2337
2020-10-20,1944
2020-10-21,2208
2020-10-22,2282
2020-10-23,2276
2020-10-24,1
2020-10-25,0
2020-10-26,2482
2020-10-27,2537
2020-10-28,2188
2020-10-29,2192
2020-10-30,1982
2020-10-31,1
2020-11-01,22
2020-11-02,3043
2020-11-03,2814
2020-11-04,3222
2020-11-05,2796
2020-11-06,2311
2020-11-07,1
2020-11-08,0
2020-11-09,3160
2020-11-10,2733
2020-11-11,3237
2020-11-12,2648
2020-11-13,3121
2020-11-14,0
2020-11-15,3517
2020-11-16,2548
2020-11-17,2530
2020-11-18,2799
2020-11-19,2878
2020-11-20,2878
2020-11-21,0
2020-11-22,0
2020-11-23,2936
2020-11-24,2858
2020-11-25,2405
2020-11-26,2409
2020-11-27,2768
2020-11-28,6
2020-11-29,0
2020-11-30,3073
2020-12-01,3077
2020-12-02,3024
2020-12-03,2463
2020-12-04,2487
2020-12-05,0
2020-12-06,2833
2020-12-07,2549
2020-12-08,2287
2020-12-09,2948
2020-12-10,1983
2020-12-11,2422
2020-12-12,0
2020-12-13,0
2020-12-14,2765
2020-12-15,2327
2020-12-16,2569
2020-12-17,2654
2020-12-18,2406
2020-12-19,260
2020-12-20,0
2020-12-21,2806
2020-12-22,2199
2020-12-23,2214
2020-12-24,1509
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,2445
2020-12-30,3043
2020-12-31,2267
2021-01-01,68
2021-01-02,103
2021-01-03,0
2021-01-04,3564
2021-01-05,3170
2021-01-06,3516
2021-01-07,2282
2021-01-08,2767
2021-01-09,0
2021-01-10,0
2021-01-11,3507
2021-01-12,2929
2021-01-13,3055
2021-01-14,2740
2021-01-15,2596
2021-01-16,0
2021-01-17,1
2021-01-18,4223
2021-01-19,2972
2021-01-20,3302
2021-01-21,2729
2021-01-22,2183
2021-01-23,0
2021-01-24,52
2021-01-25,4225
2021-01-26,2943
2021-01-27,3221
2021-01-28,2611
2021-01-29,2609
2021-01-30,101
2021-01-31,0
2021-02-01,3549
2021-02-02,3166
2021-02-03,3297
2021-02-04,2851
2021-02-05,2664
2021-02-06,97
2021-02-07,0
2021-02-08,3876
2021-02-09,3623
2021-02-10,3556
2021-02-11,3267
2021-02-12,2092
2021-02-13,0
2021-02-14,0
2021-02-15,2861
2021-02-16,3492
2021-02-17,3202
2021-02-18,3115
2021-02-19,2903
2021-02-20,0
2021-02-21,0
2021-02-22,3131
2021-02-23,2958
2021-02-24,3845
2021-02-25,3908
2021-02-26,2880
2021-02-27,2857
2021-02-28,0
2021-03-01,3378
2021-03-02,3445
2021-03-03,3187
2021-03-04,2797
2021-03-05,3183
2021-03-06,0
2021-03-07,0
2021-03-08,3701
2021-03-09,2833
2021-03-10,2824
2021-03-11,3387
2021-03-12,3583
2021-03-13,52
2021-03-14,1
2021-03-15,4184
2021-03-16,3315
2021-03-17,2491
2021-03-18,2658
2021-03-19,3101
2021-03-20,2
2021-03-21,1826
2021-03-22,3419
2021-03-23,2706
2021-03-24,3150
2021-03-25,2534
2021-03-26,3198
2021-03-27,0
2021-03-28,1978
2021-03-29,4030
2021-03-30,2917
2021-03-31,3051
2021-04-01,3094
2021-04-02,0
2021-04-03,3184
2021-04-04,0
2021-04-05,2
2021-04-06,3458
2021-04-07,3548
2021-04-08,4017
2021-04-09,3463
2021-04-10,0
2021-04-11,0
2021-04-12,3174
2021-04-13,2570
2021-04-14,3527
2021-04-15,3368
2021-04-16,3031
2021-04-17,0
2021-04-18,0
2021-04-19,3926
2021-04-20,2420
2021-04-21,2747
2021-04-22,2493
2021-04-23,2664
2021-04-24,0
2021-04-25,0
2021-04-26,3573
2021-04-27,3401
2021-04-28,3122
2021-04-29,2916
2021-04-30,2439
2021-05-01,16
2021-05-02,0
2021-05-03,2260
2021-05-04,3742
2021-05-05,2841
2021-05-06,2436
2021-05-07,2439
2021-05-08,0
2021-05-09,0
2021-05-10,2991
2021-05-11,3773
2021-05-12,2946
2021-05-13,3155
2021-05-14,4369
2021-05-15,301
2021-05-16,1913
2021-05-17,3172
2021-05-18,2585
2021-05-19,2349
2021-05-20,2935
2021-05-21,2330
2021-05-22,0
2021-05-23,0
2021-05-24,3348
2021-05-25,2615
2021-05-26,3034
2021-05-27,2827
2021-05-28,2708
2021-05-29,0
2021-05-30,0
2021-05-31,1531
2021-06-01,3285
2021-06-02,2537
2021-06-03,2476
2021-06-04,2321
2021-06-05,0
2021-06-06,0
2021-06-07,3670
2021-06-08,2807
2021-06-09,2446
2021-06-10,2825
2021-06-11,2166
2021-06-12,0
2021-06-13,0
2021-06-14,2948
2021-06-15,2975
2021-06-16,2414
2021-06-17,2581
2021-06-18,2733
2021-06-19,224
2021-06-20,264
2021-06-21,3386
2021-06-22,2321
2021-06-23,2197
2021-06-24,2306
2021-06-25,2695
2021-06-26,214
2021-06-27,262
2021-06-28,2874
2021-06-29,2586
2021-06-30,2480
2021-07-01,2873
2021-07-02,2007
2021-07-03,387
2021-07-04,395
