"week","Country","2022","2019","pct_change"
1,"England (excl. London)",8029,3700,117
1,"London",3142,951,230.389064143007
1,"Northern Ireland",147,88,67.0454545454545
1,"Scotland",493,176,180.113636363636
1,"Wales",524,232,125.862068965517
2,"England (excl. London)",10884,5614,93.8724617028856
2,"London",3899,1524,155.839895013123
2,"Northern Ireland",199,102,95.0980392156863
2,"Scotland",744,435,71.0344827586207
2,"Wales",740,388,90.7216494845361
3,"England (excl. London)",10636,6028,76.4432647644326
3,"London",3830,1559,145.670301475305
3,"Northern Ireland",191,101,89.1089108910891
3,"Scotland",761,413,84.2615012106537
3,"Wales",778,403,93.0521091811414
4,"England (excl. London)",10647,6384,66.7763157894737
4,"London",3885,1618,140.111248454883
4,"Northern Ireland",163,97,68.0412371134021
4,"Scotland",734,415,76.8674698795181
4,"Wales",849,434,95.6221198156682
5,"England (excl. London)",11464,5719,100.454624934429
5,"London",4073,1504,170.811170212766
5,"Northern Ireland",173,118,46.6101694915254
5,"Scotland",804,438,83.5616438356164
5,"Wales",841,373,125.469168900804
6,"England (excl. London)",11485,6936,65.5853517877739
6,"London",4149,1806,129.734219269103
6,"Northern Ireland",237,133,78.1954887218045
6,"Scotland",862,472,82.6271186440678
6,"Wales",771,458,68.3406113537118
7,"England (excl. London)",11181,6188,80.688429217841
7,"London",4006,1543,159.624108878808
7,"Northern Ireland",180,134,34.3283582089552
7,"Scotland",724,443,63.431151241535
7,"Wales",770,417,84.652278177458
8,"England (excl. London)",11130,6260,77.7955271565495
8,"London",4042,1534,163.494132985658
8,"Northern Ireland",220,136,61.7647058823529
8,"Scotland",847,609,39.0804597701149
8,"Wales",750,401,87.0324189526185
9,"England (excl. London)",10247,6589,55.5167703748672
9,"London",3833,1710,124.152046783626
9,"Northern Ireland",190,120,58.3333333333333
9,"Scotland",746,458,62.882096069869
9,"Wales",654,456,43.4210526315789
10,"England (excl. London)",11573,7389,56.6247124103397
10,"London",4067,1783,128.09871003926
10,"Northern Ireland",184,145,26.8965517241379
10,"Scotland",830,492,68.6991869918699
10,"Wales",791,527,50.0948766603416
11,"England (excl. London)",11623,7093,63.8657831665022
11,"London",4165,1665,150.15015015015
11,"Northern Ireland",168,96,75
11,"Scotland",809,540,49.8148148148148
11,"Wales",770,418,84.2105263157895
12,"England (excl. London)",11560,7161,61.4299678815808
12,"London",4038,1724,134.222737819026
12,"Northern Ireland",223,142,57.0422535211268
12,"Scotland",846,504,67.8571428571429
12,"Wales",791,499,58.5170340681363
