"week","Area.covered","2022","2019","pct_change"
1,"Central London",1290,239,439.748953974895
1,"East London",463,128,261.71875
1,"North London",586,219,167.579908675799
1,"South East London",237,106,123.584905660377
1,"South West London",260,113,130.088495575221
1,"West London",306,146,109.58904109589
2,"Central London",1461,381,283.464566929134
2,"East London",550,241,128.215767634855
2,"North London",725,331,119.033232628399
2,"South East London",276,135,104.444444444444
2,"South West London",369,199,85.4271356783919
2,"West London",518,237,118.565400843882
3,"Central London",1420,380,273.684210526316
3,"East London",527,238,121.428571428571
3,"North London",688,335,105.373134328358
3,"South East London",325,168,93.4523809523809
3,"South West London",332,198,67.6767676767677
3,"West London",538,240,124.166666666667
4,"Central London",1418,425,233.647058823529
4,"East London",527,270,95.1851851851852
4,"North London",697,286,143.706293706294
4,"South East London",361,142,154.225352112676
4,"South West London",315,213,47.887323943662
4,"West London",567,282,101.063829787234
5,"Central London",1613,399,304.260651629073
5,"East London",505,223,126.457399103139
5,"North London",708,305,132.131147540984
5,"South East London",327,137,138.686131386861
5,"South West London",343,198,73.2323232323232
5,"West London",577,242,138.429752066116
6,"Central London",1562,442,253.393665158371
6,"East London",577,293,96.9283276450512
6,"North London",775,366,111.748633879781
6,"South East London",341,184,85.3260869565217
6,"South West London",385,208,85.0961538461539
6,"West London",509,313,62.6198083067093
7,"Central London",1523,374,307.219251336898
7,"East London",568,257,121.011673151751
7,"North London",714,308,131.818181818182
7,"South East London",313,160,95.625
7,"South West London",361,197,83.248730964467
7,"West London",527,247,113.36032388664
8,"Central London",1573,385,308.571428571429
8,"East London",544,262,107.63358778626
8,"North London",710,317,123.97476340694
8,"South East London",350,154,127.272727272727
8,"South West London",318,176,80.6818181818182
8,"West London",547,240,127.916666666667
9,"Central London",1464,408,258.823529411765
9,"East London",577,272,112.132352941176
9,"North London",660,326,102.453987730061
9,"South East London",330,197,67.5126903553299
9,"South West London",324,230,40.8695652173913
9,"West London",478,277,72.5631768953069
10,"Central London",1450,474,205.907172995781
10,"East London",629,266,136.466165413534
10,"North London",747,381,96.0629921259843
10,"South East London",327,168,94.6428571428571
10,"South West London",341,181,88.3977900552486
10,"West London",573,313,83.0670926517572
11,"Central London",1577,404,290.346534653465
11,"East London",580,261,122.222222222222
11,"North London",725,341,112.609970674487
11,"South East London",375,172,118.023255813953
11,"South West London",330,211,56.3981042654028
11,"West London",578,276,109.420289855072
12,"Central London",1583,419,277.804295942721
12,"East London",605,247,144.939271255061
12,"North London",662,351,88.6039886039886
12,"South East London",312,188,65.9574468085106
12,"South West London",341,209,63.1578947368421
12,"West London",535,310,72.5806451612903
