"week","Section","2022","Section.name","2019","pct_change22_19"
1," A",89,"Agriculture, forestry and fishing",40,122.5
1," B",14,"Mining and quarrying",13,7.69230769230769
1," C",703,"Manufacturing",301,133.554817275748
1," D",31,"Electricity, gas, steam and air conditioning supply",16,93.75
1," E",52,"Water supply; sewerage, waste management and remediation activities",12,333.333333333333
1," F",2238,"Construction",911,145.664105378705
1," G",3122,"Wholesale and retail trade; repair of motor vehicles and motorcycles",849,267.726737338045
1," H",569,"Transportation and storage",274,107.664233576642
1," I",2127,"Accommodation and food service activities",937,127.001067235859
1," K",2486,"Financial and insurance activities",832,198.798076923077
1," L",2039,"Real estate activities",878,132.232346241458
1," M",3293,"Professional, scientific and technical activities",2058,60.0097181729835
1," N",1357,"Administrative and support service activities",494,174.696356275304
1," O",44,"Public administration and defence; compulsory social security",15,193.333333333333
1," P",230,"Education",118,94.9152542372881
1," Q",715,"Human health and social work activities",259,176.061776061776
1," R",275,"Arts, entertainment and recreation",134,105.223880597015
1," S",552,"Other service activities",289,91.0034602076124
1," T",3,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use",1,200
1,"J",1620,"Information and communication",808,100.495049504951
2," A",123,"Agriculture, forestry and fishing",55,123.636363636364
2," B",29,"Mining and quarrying",18,61.1111111111111
2," C",870,"Manufacturing",403,115.880893300248
2," D",54,"Electricity, gas, steam and air conditioning supply",30,80
2," E",56,"Water supply; sewerage, waste management and remediation activities",17,229.411764705882
2," F",2835,"Construction",1493,89.8861352980576
2," G",3916,"Wholesale and retail trade; repair of motor vehicles and motorcycles",1265,209.565217391304
2," H",824,"Transportation and storage",429,92.0745920745921
2," I",3174,"Accommodation and food service activities",1764,79.9319727891157
2," K",3345,"Financial and insurance activities",1418,135.89562764457
2," L",3202,"Real estate activities",1435,123.135888501742
2," M",4437,"Professional, scientific and technical activities",3155,40.6339144215531
2," N",2035,"Administrative and support service activities",857,137.456242707118
2," O",68,"Public administration and defence; compulsory social security",15,353.333333333333
2," P",317,"Education",138,129.710144927536
2," Q",840,"Human health and social work activities",364,130.769230769231
2," R",450,"Arts, entertainment and recreation",264,70.4545454545455
2," S",770,"Other service activities",408,88.7254901960784
2," T",5,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use",4,25
2," U",3,"Activities of extraterritorial organisations and bodies",3,0
2,"J",1885,"Information and communication",1171,60.9735269000854
3," A",121,"Agriculture, forestry and fishing",72,68.0555555555556
3," B",20,"Mining and quarrying",21,-4.76190476190477
3," C",806,"Manufacturing",439,83.5990888382688
