"date","n","av7"
2019-01-01,58,NA
2019-01-02,982,NA
2019-01-03,976,NA
2019-01-04,1419,NA
2019-01-05,1,NA
2019-01-06,0,NA
2019-01-07,1697,733.285714285714
2019-01-08,1700,967.857142857143
2019-01-09,1378,1024.42857142857
2019-01-10,1444,1091.28571428571
2019-01-11,1348,1081.14285714286
2019-01-12,0,1081
2019-01-13,1,1081.14285714286
2019-01-14,2033,1129.14285714286
2019-01-15,1673,1125.28571428571
2019-01-16,1887,1198
2019-01-17,1566,1215.42857142857
2019-01-18,1468,1232.57142857143
2019-01-19,0,1232.57142857143
2019-01-20,0,1232.42857142857
2019-01-21,1760,1193.42857142857
2019-01-22,1611,1184.57142857143
2019-01-23,1648,1150.42857142857
2019-01-24,1579,1152.28571428571
2019-01-25,1463,1151.57142857143
2019-01-26,0,1151.57142857143
2019-01-27,0,1151.57142857143
2019-01-28,2456,1251
2019-01-29,1654,1257.14285714286
2019-01-30,1479,1233
2019-01-31,1391,1206.14285714286
2019-02-01,1513,1213.28571428571
2019-02-02,1,1213.42857142857
2019-02-03,0,1213.42857142857
2019-02-04,1986,1146.28571428571
2019-02-05,1747,1159.57142857143
2019-02-06,1803,1205.85714285714
2019-02-07,1843,1270.42857142857
2019-02-08,1573,1279
2019-02-09,0,1278.85714285714
2019-02-10,1,1279
2019-02-11,2655,1374.57142857143
2019-02-12,1828,1386.14285714286
2019-02-13,1778,1382.57142857143
2019-02-14,1421,1322.28571428571
2019-02-15,1789,1353.14285714286
2019-02-16,0,1353.14285714286
2019-02-17,0,1353
2019-02-18,1757,1224.71428571429
2019-02-19,1969,1244.85714285714
2019-02-20,1748,1240.57142857143
2019-02-21,1428,1241.57142857143
2019-02-22,1495,1199.57142857143
2019-02-23,53,1207.14285714286
2019-02-24,0,1207.14285714286
2019-02-25,2110,1257.57142857143
2019-02-26,1642,1210.85714285714
2019-02-27,1565,1184.71428571429
2019-02-28,1662,1218.14285714286
2019-03-01,1785,1259.57142857143
2019-03-02,1,1252.14285714286
2019-03-03,0,1252.14285714286
2019-03-04,2503,1308.28571428571
2019-03-05,1949,1352.14285714286
2019-03-06,1676,1368
2019-03-07,1791,1386.42857142857
2019-03-08,1928,1406.85714285714
2019-03-09,1088,1562.14285714286
2019-03-10,2,1562.42857142857
2019-03-11,1642,1439.42857142857
2019-03-12,1846,1424.71428571429
2019-03-13,2037,1476.28571428571
2019-03-14,1580,1446.14285714286
2019-03-15,1908,1443.28571428571
2019-03-16,1,1288
2019-03-17,0,1287.71428571429
2019-03-18,2293,1380.71428571429
2019-03-19,1879,1385.42857142857
2019-03-20,1710,1338.71428571429
2019-03-21,1954,1392.14285714286
2019-03-22,1553,1341.42857142857
2019-03-23,1442,1547.28571428571
2019-03-24,0,1547.28571428571
2019-03-25,1260,1399.71428571429
2019-03-26,1715,1376.28571428571
2019-03-27,1970,1413.42857142857
2019-03-28,1688,1375.42857142857
2019-03-29,1827,1414.57142857143
2019-03-30,1465,1417.85714285714
2019-03-31,3,1418.28571428571
2019-04-01,1894,1508.85714285714
2019-04-02,1758,1515
2019-04-03,2017,1521.71428571429
2019-04-04,1564,1504
2019-04-05,2049,1535.71428571429
2019-04-06,54,1334.14285714286
2019-04-07,1,1333.85714285714
2019-04-08,2152,1370.71428571429
2019-04-09,1982,1402.71428571429
2019-04-10,1886,1384
2019-04-11,1824,1421.14285714286
2019-04-12,1972,1410.14285714286
2019-04-13,871,1526.85714285714
2019-04-14,0,1526.71428571429
2019-04-15,1857,1484.57142857143
2019-04-16,1457,1409.57142857143
2019-04-17,1682,1380.42857142857
2019-04-18,1795,1376.28571428571
2019-04-19,0,1094.57142857143
2019-04-20,966,1108.14285714286
2019-04-21,0,1108.14285714286
2019-04-22,0,842.857142857143
2019-04-23,1799,891.714285714286
2019-04-24,1613,881.857142857143
2019-04-25,1534,844.571428571429
2019-04-26,1543,1065
2019-04-27,4,927.571428571429
2019-04-28,0,927.571428571429
2019-04-29,2093,1226.57142857143
2019-04-30,1498,1183.57142857143
2019-05-01,2061,1247.57142857143
2019-05-02,1520,1245.57142857143
2019-05-03,1881,1293.85714285714
2019-05-04,0,1293.28571428571
2019-05-05,0,1293.28571428571
2019-05-06,1,994.428571428571
2019-05-07,2116,1082.71428571429
2019-05-08,1807,1046.42857142857
2019-05-09,1451,1036.57142857143
2019-05-10,1740,1016.42857142857
2019-05-11,0,1016.42857142857
2019-05-12,0,1016.42857142857
2019-05-13,1872,1283.71428571429
2019-05-14,1686,1222.28571428571
2019-05-15,1787,1219.42857142857
2019-05-16,1758,1263.28571428571
2019-05-17,1779,1268.85714285714
2019-05-18,3,1269.28571428571
2019-05-19,0,1269.28571428571
2019-05-20,2204,1316.71428571429
2019-05-21,1948,1354.14285714286
2019-05-22,2005,1385.28571428571
2019-05-23,1740,1382.71428571429
2019-05-24,1517,1345.28571428571
2019-05-25,430,1406.28571428571
2019-05-26,1,1406.42857142857
2019-05-27,0,1091.57142857143
2019-05-28,1460,1021.85714285714
2019-05-29,1817,995
2019-05-30,1496,960.142857142857
2019-05-31,1486,955.714285714286
2019-06-01,7,895.285714285714
2019-06-02,0,895.142857142857
2019-06-03,2071,1191
2019-06-04,1528,1200.71428571429
2019-06-05,1970,1222.57142857143
2019-06-06,1506,1224
2019-06-07,1463,1220.71428571429
2019-06-08,0,1219.71428571429
2019-06-09,0,1219.71428571429
2019-06-10,2025,1213.14285714286
2019-06-11,1887,1264.42857142857
2019-06-12,1779,1237.14285714286
2019-06-13,1625,1254.14285714286
2019-06-14,1580,1270.85714285714
2019-06-15,73,1281.28571428571
2019-06-16,0,1281.28571428571
2019-06-17,1908,1264.57142857143
2019-06-18,1718,1240.42857142857
2019-06-19,1904,1258.28571428571
2019-06-20,1306,1212.71428571429
2019-06-21,1568,1211
2019-06-22,0,1200.57142857143
2019-06-23,0,1200.57142857143
2019-06-24,1751,1178.14285714286
2019-06-25,1789,1188.28571428571
2019-06-26,1605,1145.57142857143
2019-06-27,1491,1172
2019-06-28,1432,1152.57142857143
2019-06-29,0,1152.57142857143
2019-06-30,0,1152.57142857143
2019-07-01,2058,1196.42857142857
2019-07-02,1784,1195.71428571429
2019-07-03,1916,1240.14285714286
2019-07-04,1484,1239.14285714286
2019-07-05,1423,1237.85714285714
2019-07-06,1018,1383.28571428571
2019-07-07,37,1388.57142857143
2019-07-08,1591,1321.85714285714
2019-07-09,1240,1244.14285714286
2019-07-10,1655,1206.85714285714
2019-07-11,1638,1228.85714285714
2019-07-12,1783,1280.28571428571
2019-07-13,210,1164.85714285714
2019-07-14,57,1167.71428571429
2019-07-15,1849,1204.57142857143
2019-07-16,1389,1225.85714285714
2019-07-17,1973,1271.28571428571
2019-07-18,1412,1239
2019-07-19,1740,1232.85714285714
2019-07-20,196,1230.85714285714
2019-07-21,0,1222.71428571429
2019-07-22,1414,1160.57142857143
2019-07-23,1554,1184.14285714286
2019-07-24,2045,1194.42857142857
2019-07-25,1273,1174.57142857143
2019-07-26,1518,1142.85714285714
2019-07-27,211,1145
2019-07-28,0,1145
2019-07-29,1556,1165.28571428571
2019-07-30,1426,1147
2019-07-31,1611,1085
2019-08-01,1582,1129.14285714286
2019-08-02,1707,1156.14285714286
2019-08-03,0,1126
2019-08-04,0,1126
2019-08-05,1739,1152.14285714286
2019-08-06,1560,1171.28571428571
2019-08-07,1787,1196.42857142857
2019-08-08,1456,1178.42857142857
2019-08-09,1632,1167.71428571429
2019-08-10,1,1167.85714285714
2019-08-11,0,1167.85714285714
2019-08-12,1963,1199.85714285714
2019-08-13,1521,1194.28571428571
2019-08-14,1476,1149.85714285714
2019-08-15,1303,1128
2019-08-16,1394,1094
2019-08-17,0,1093.85714285714
2019-08-18,0,1093.85714285714
2019-08-19,2309,1143.28571428571
2019-08-20,1316,1114
2019-08-21,1624,1135.14285714286
2019-08-22,1396,1148.42857142857
2019-08-23,1332,1139.57142857143
2019-08-24,0,1139.57142857143
2019-08-25,0,1139.57142857143
2019-08-26,956,946.285714285714
2019-08-27,1486,970.571428571429
2019-08-28,1554,960.571428571429
2019-08-29,1329,951
2019-08-30,1459,969.142857142857
2019-08-31,1,969.285714285714
2019-09-01,12,971
2019-09-02,1782,1089
2019-09-03,1625,1108.85714285714
2019-09-04,1486,1099.14285714286
2019-09-05,1557,1131.71428571429
2019-09-06,1865,1189.71428571429
2019-09-07,0,1189.57142857143
2019-09-08,0,1187.85714285714
2019-09-09,1843,1196.57142857143
2019-09-10,1658,1201.28571428571
2019-09-11,1726,1235.57142857143
2019-09-12,1700,1256
2019-09-13,1923,1264.28571428571
2019-09-14,2,1264.57142857143
2019-09-15,65,1273.85714285714
2019-09-16,1900,1282
2019-09-17,1654,1281.42857142857
2019-09-18,1508,1250.28571428571
2019-09-19,1040,1156
2019-09-20,1950,1159.85714285714
2019-09-21,1228,1335
2019-09-22,1,1325.85714285714
2019-09-23,1494,1267.85714285714
2019-09-24,1592,1259
2019-09-25,1690,1285
2019-09-26,1723,1382.57142857143
2019-09-27,1497,1317.85714285714
2019-09-28,0,1142.42857142857
2019-09-29,0,1142.28571428571
2019-09-30,2078,1225.71428571429
2019-10-01,1992,1282.85714285714
2019-10-02,1817,1301
