"date","ni","day"
2020-01-01,39,"Wed"
2020-01-02,1480,"Thu"
2020-01-03,1610,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2174,"Mon"
2020-01-07,1861,"Tue"
2020-01-08,1674,"Wed"
2020-01-09,2203,"Thu"
2020-01-10,1779,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,2733,"Mon"
2020-01-14,2243,"Tue"
2020-01-15,2105,"Wed"
2020-01-16,1601,"Thu"
2020-01-17,2570,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,3080,"Mon"
2020-01-21,2218,"Tue"
2020-01-22,1717,"Wed"
2020-01-23,2198,"Thu"
2020-01-24,1831,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,2596,"Mon"
2020-01-28,2372,"Tue"
2020-01-29,1567,"Wed"
2020-01-30,1552,"Thu"
2020-01-31,1610,"Fri"
2020-02-01,5,"Sat"
2020-02-02,0,NA
2020-02-03,2691,"Mon"
2020-02-04,2346,"Tue"
2020-02-05,2261,"Wed"
2020-02-06,2292,"Thu"
2020-02-07,2098,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,2823,"Mon"
2020-02-11,2420,"Tue"
2020-02-12,2200,"Wed"
2020-02-13,2287,"Thu"
2020-02-14,2192,"Fri"
2020-02-15,466,"Sat"
2020-02-16,0,NA
2020-02-17,1959,"Mon"
2020-02-18,1993,"Tue"
2020-02-19,1982,"Wed"
2020-02-20,2053,"Thu"
2020-02-21,1792,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2385,"Mon"
2020-02-25,2493,"Tue"
2020-02-26,2620,"Wed"
2020-02-27,1743,"Thu"
2020-02-28,1893,"Fri"
2020-02-29,0,NA
2020-03-01,19,"Sun"
2020-03-02,2281,"Mon"
2020-03-03,1957,"Tue"
2020-03-04,2292,"Wed"
2020-03-05,1752,"Thu"
2020-03-06,1680,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,2856,"Mon"
2020-03-10,2217,"Tue"
2020-03-11,2413,"Wed"
2020-03-12,2339,"Thu"
2020-03-13,1446,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,1868,"Mon"
2020-03-17,1812,"Tue"
2020-03-18,2320,"Wed"
2020-03-19,1560,"Thu"
2020-03-20,1437,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1378,"Mon"
