"week","x","ratioTo2019","ratioTo2020"
1,13152,2.40570696908725,1.83558967201675
2,15368,1.84534101825168,1.44544770504138
3,16201,1.83289964928159,1.39965442764579
4,15568,1.68557817236899,1.45305208138884
5,15896,1.89283162657776,1.62685497901955
6,17431,1.74957342166014,1.46552883806961
7,15002,1.69361029577783,1.35189690907452
8,17059,1.8690697929221,1.59355441382532
9,18880,1.99724955040728,1.79587177779892
10,16209,1.56246385193754,1.50111131691054
11,16516,1.65209562868861,1.67149073980366
12,17002,1.6768912121511,2.09590729783037
13,18547,1.70987369779663,2.8701640359022
14,14433,1.46647022962812,2.13253546099291
15,16316,1.52800149840794,4.63522727272727
16,14821,2.43806547129462,1.80942497863509
17,15922,1.79584931197834,2.24064171122995
18,13915,1.93344449076004,1.75938803894298
19,15536,1.67684835402051,1.95593604431575
20,17877,1.87685039370079,1.8352325223283
21,14365,1.82505399568035,1.69199057714959
22,12711,1.47974388824214,1.01793865620245
23,14278,1.62897889332573,1.08594463036203
24,13278,1.45432639649507,1.00896656534954
25,13647,1.59969522916422,0.987910815115101
26,14148,1.6375,1.12267893985082
27,13553,1.3778975193168,0.755083848682378
28,12838,1.44425694678817,0.821526844563896
29,12971,1.51601215521272,0.795669243037664
30,13505,1.57272621404449,0.853828159575141
31,13041,1.52758580297528,0.787404902789518
32,13820,1.54655326768129,0.95192175230748
33,12866,1.51027115858669,0.812452639555443
34,13909,1.97514910536779,0.916331774161671
35,12501,1.53669330055317,0.885967399007796
36,13701,1.52810617889806,0.883251676121712
37,15501,1.62518347661984,0.993590154477277
38,14036,1.49081253319172,0.855436372501219
39,15515,1.6829374118668,0.937405594828107
40,14141,1.42492946392584,0.703917566827617
41,14144,1.38341158059468,0.914344818669597
42,16543,1.82654300541018,1.07303625867549
43,14785,1.50468145735803,0.926378446115288
44,14772,1.62705143738297,0.937964315194616
45,15719,1.67205616423785,1.0457025013305
46,15496,1.66605741318138,0.837938679500352
47,13786,1.41991966216912,0.912919674193762
