"week","Country","Nov2021","Nov2019","change"
1,"England (excl. Ldn) (excl. Ldn)",8684,3906,122.324628776242
2,"England (excl. Ldn) (excl. Ldn)",10160,5904,72.0867208672087
3,"England (excl. Ldn) (excl. Ldn)",10871,6357,71.008337266006
4,"England (excl. Ldn) (excl. Ldn)",10307,6695,53.9507094846901
5,"England (excl. Ldn) (excl. Ldn)",10530,5988,75.8517034068136
6,"England (excl. Ldn) (excl. Ldn)",11830,7153,65.3851530826227
7,"England (excl. Ldn) (excl. Ldn)",9825,6365,54.3597800471328
8,"England (excl. Ldn) (excl. Ldn)",11422,6471,76.5105856900015
9,"England (excl. Ldn) (excl. Ldn)",12942,6765,91.3082039911308
10,"England (excl. Ldn) (excl. Ldn)",10850,7559,43.5375049609737
11,"England (excl. Ldn) (excl. Ldn)",11251,7300,54.1232876712329
12,"England (excl. Ldn) (excl. Ldn)",11407,7375,54.671186440678
13,"England (excl. Ldn) (excl. Ldn)",12413,7781,59.529623441717
14,"England (excl. Ldn) (excl. Ldn)",9704,7038,37.8800795680591
15,"England (excl. Ldn) (excl. Ldn)",10735,7626,40.7684238132704
16,"England (excl. Ldn) (excl. Ldn)",9508,4365,117.823596792669
17,"England (excl. Ldn) (excl. Ldn)",10355,6245,65.8126501200961
18,"England (excl. Ldn) (excl. Ldn)",9136,5102,79.0670325362603
19,"England (excl. Ldn) (excl. Ldn)",10233,6508,57.2372464658881
20,"England (excl. Ldn) (excl. Ldn)",11993,6882,74.2662016855565
21,"England (excl. Ldn) (excl. Ldn)",9525,5568,71.0668103448276
22,"England (excl. Ldn) (excl. Ldn)",8286,5993,38.2613048556649
23,"England (excl. Ldn) (excl. Ldn)",9375,6263,49.688647612965
24,"England (excl. Ldn) (excl. Ldn)",8801,6450,36.4496124031008
25,"England (excl. Ldn) (excl. Ldn)",8993,6103,47.3537604456824
26,"England (excl. Ldn) (excl. Ldn)",9233,6097,51.435132032147
27,"England (excl. Ldn) (excl. Ldn)",8891,7050,26.113475177305
28,"England (excl. Ldn) (excl. Ldn)",8431,6395,31.8373729476153
29,"England (excl. Ldn) (excl. Ldn)",8481,5942,42.7297206327836
30,"England (excl. Ldn) (excl. Ldn)",8980,6189,45.0961383099047
31,"England (excl. Ldn) (excl. Ldn)",8601,5929,45.0666216899983
32,"England (excl. Ldn) (excl. Ldn)",9181,6374,44.0382805145905
33,"England (excl. Ldn) (excl. Ldn)",8306,6095,36.2756357670222
34,"England (excl. Ldn) (excl. Ldn)",9478,4963,90.9732016925247
35,"England (excl. Ldn) (excl. Ldn)",8048,5446,47.7781858244583
36,"England (excl. Ldn) (excl. Ldn)",9276,6436,44.1267868241143
37,"England (excl. Ldn) (excl. Ldn)",10553,6849,54.0808877208352
38,"England (excl. Ldn) (excl. Ldn)",9275,6694,38.5569166417687
39,"England (excl. Ldn) (excl. Ldn)",10365,6502,59.4124884650877
40,"England (excl. Ldn) (excl. Ldn)",9313,7099,31.1874911959431
41,"England (excl. Ldn) (excl. Ldn)",9240,7296,26.6447368421053
42,"England (excl. Ldn) (excl. Ldn)",10402,6537,59.1249808780786
43,"England (excl. Ldn) (excl. Ldn)",9348,7005,33.4475374732334
44,"England (excl. Ldn) (excl. Ldn)",9511,6245,52.2978382706165
45,"England (excl. Ldn) (excl. Ldn)",10026,6491,54.4600215683254
46,"England (excl. Ldn) (excl. Ldn)",9719,6466,50.3093102381689
47,"England (excl. Ldn) (excl. Ldn)",8784,6670,31.6941529235382
1,"Northern Ireland",144,91,58.2417582417582
2,"Northern Ireland",189,105,80
3,"Northern Ireland",202,104,94.2307692307692
