"week","AreaCovered","Nov2021","Nov2019","change"
1,"Central London",1478,267,453.558052434457
2,"Central London",1537,409,275.794621026895
3,"Central London",1613,414,289.613526570048
4,"Central London",1494,461,224.078091106291
5,"Central London",1611,424,279.952830188679
6,"Central London",1653,475,248
7,"Central London",1492,402,271.144278606965
8,"Central London",1591,390,307.948717948718
9,"Central London",1743,415,320
10,"Central London",1521,497,206.036217303823
11,"Central London",1502,422,255.924170616114
12,"Central London",1632,444,267.567567567568
13,"Central London",1826,523,249.139579349904
14,"Central London",1312,407,222.358722358722
15,"Central London",1738,613,183.523654159869
16,"Central London",1589,253,528.063241106719
17,"Central London",1852,429,331.701631701632
18,"Central London",1428,373,282.8418230563
19,"Central London",1483,427,247.306791569087
20,"Central London",1807,465,288.602150537634
21,"Central London",1360,360,277.777777777778
22,"Central London",1342,441,204.308390022676
23,"Central London",1413,426,231.69014084507
24,"Central London",1221,433,181.986143187067
25,"Central London",1262,406,210.837438423645
26,"Central London",1386,464,198.706896551724
27,"Central London",1223,555,120.36036036036
28,"Central London",1315,436,201.605504587156
29,"Central London",1324,469,182.302771855011
30,"Central London",1344,448,200
31,"Central London",1225,464,164.008620689655
32,"Central London",1339,486,175.514403292181
33,"Central London",1351,437,209.153318077803
34,"Central London",1247,357,249.299719887955
35,"Central London",1353,473,186.046511627907
36,"Central London",1260,430,193.023255813953
37,"Central London",1423,511,178.473581213307
38,"Central London",1366,521,162.188099808061
39,"Central London",1480,434,241.013824884793
40,"Central London",1249,497,151.307847082495
41,"Central London",1358,528,157.19696969697
42,"Central London",1536,475,223.368421052632
43,"Central London",1409,509,176.817288801572
44,"Central London",1360,547,148.628884826325
45,"Central London",1445,540,167.592592592593
46,"Central London",1512,525,188
47,"Central London",1297,570,127.543859649123
1,"East London",443,140,216.428571428571
2,"East London",534,283,88.6925795053004
3,"East London",542,274,97.8102189781022
4,"East London",537,303,77.2277227722772
5,"East London",543,236,130.084745762712
6,"East London",521,306,70.2614379084967
7,"East London",490,279,75.6272401433692
8,"East London",571,294,94.2176870748299
9,"East London",578,308,87.6623376623377
10,"East London",539,295,82.7118644067797
11,"East London",526,297,77.1043771043771
12,"East London",546,289,88.9273356401384
13,"East London",615,338,81.9526627218935
14,"East London",508,274,85.4014598540146
15,"East London",537,329,63.2218844984803
16,"East London",534,191,179.581151832461
17,"East London",509,310,64.1935483870968
18,"East London",509,196,159.69387755102
19,"East London",562,278,102.158273381295
20,"East London",626,324,93.2098765432099
21,"East London",494,254,94.488188976378
22,"East London",439,273,60.8058608058608
23,"East London",508,280,81.4285714285714
24,"East London",445,283,57.243816254417
25,"East London",471,252,86.9047619047619
26,"East London",532,251,111.95219123506
27,"East London",485,309,56.957928802589
28,"East London",425,303,40.2640264026403
29,"East London",418,264,58.3333333333333
30,"East London",467,253,84.5849802371542
31,"East London",396,311,27.3311897106109
32,"East London",421,264,59.469696969697
33,"East London",388,261,48.6590038314176
34,"East London",434,240,80.8333333333333
35,"East London",406,240,69.1666666666667
36,"East London",452,261,73.1800766283525
37,"East London",467,297,57.2390572390572
38,"East London",442,276,60.1449275362319
39,"East London",516,344,50
40,"East London",426,305,39.672131147541
41,"East London",653,307,112.703583061889
42,"East London",759,245,209.795918367347
43,"East London",770,351,119.373219373219
44,"East London",733,294,149.319727891156
45,"East London",759,278,173.021582733813
46,"East London",664,293,126.621160409556
47,"East London",584,324,80.2469135802469
1,"North London",573,246,132.926829268293
2,"North London",701,341,105.571847507331
3,"North London",772,359,115.041782729805
4,"North London",741,321,130.841121495327
5,"North London",701,322,117.701863354037
6,"North London",874,387,125.839793281654
7,"North London",689,323,113.312693498452
8,"North London",778,347,124.207492795389
9,"North London",866,355,143.943661971831
10,"North London",794,400,98.5
