"date","ni","day","av7"
2019-01-01,57,"Tue",NA
2019-01-02,1049,"Wed",NA
2019-01-03,1042,"Thu",NA
2019-01-04,1496,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,1822,"Mon",781
2019-01-08,1783,"Tue",1027.57142857143
2019-01-09,1461,"Wed",1086.42857142857
2019-01-10,1509,"Thu",1153.14285714286
2019-01-11,1425,"Fri",1143
2019-01-12,0,NA,1142.85714285714
2019-01-13,1,"Sun",1143
2019-01-14,2149,"Mon",1189.71428571429
2019-01-15,1774,"Tue",1188.42857142857
2019-01-16,2003,"Wed",1265.85714285714
2019-01-17,1660,"Thu",1287.42857142857
2019-01-18,1556,"Fri",1306.14285714286
2019-01-19,0,NA,1306.14285714286
2019-01-20,0,NA,1306
2019-01-21,1846,"Mon",1262.71428571429
2019-01-22,1696,"Tue",1251.57142857143
2019-01-23,1740,"Wed",1214
2019-01-24,1648,"Thu",1212.28571428571
2019-01-25,1539,"Fri",1209.85714285714
2019-01-26,0,NA,1209.85714285714
2019-01-27,0,NA,1209.85714285714
2019-01-28,2613,"Mon",1319.42857142857
2019-01-29,1747,"Tue",1326.71428571429
2019-01-30,1557,"Wed",1300.57142857143
2019-01-31,1457,"Thu",1273.28571428571
2019-02-01,1581,"Fri",1279.28571428571
2019-02-02,1,"Sat",1279.42857142857
2019-02-03,0,NA,1279.42857142857
2019-02-04,2055,"Mon",1199.71428571429
2019-02-05,1815,"Tue",1209.42857142857
2019-02-06,1850,"Wed",1251.28571428571
2019-02-07,1904,"Thu",1315.14285714286
2019-02-08,1638,"Fri",1323.28571428571
2019-02-09,0,NA,1323.14285714286
2019-02-10,1,"Sun",1323.28571428571
2019-02-11,2755,"Mon",1423.28571428571
2019-02-12,1883,"Tue",1433
2019-02-13,1828,"Wed",1429.85714285714
2019-02-14,1459,"Thu",1366.28571428571
2019-02-15,1858,"Fri",1397.71428571429
2019-02-16,0,NA,1397.71428571429
2019-02-17,0,NA,1397.57142857143
2019-02-18,1830,"Mon",1265.42857142857
2019-02-19,2026,"Tue",1285.85714285714
2019-02-20,1807,"Wed",1282.85714285714
2019-02-21,1476,"Thu",1285.28571428571
2019-02-22,1567,"Fri",1243.71428571429
2019-02-23,58,"Sat",1252
2019-02-24,0,NA,1252
2019-02-25,2193,"Mon",1303.85714285714
2019-02-26,1709,"Tue",1258.57142857143
2019-02-27,1621,"Wed",1232
2019-02-28,1709,"Thu",1265.28571428571
2019-03-01,1823,"Fri",1301.85714285714
2019-03-02,1,"Sat",1293.71428571429
2019-03-03,0,NA,1293.71428571429
2019-03-04,2590,"Mon",1350.42857142857
2019-03-05,2020,"Tue",1394.85714285714
2019-03-06,1712,"Wed",1407.85714285714
2019-03-07,1858,"Thu",1429.14285714286
2019-03-08,1979,"Fri",1451.42857142857
2019-03-09,1111,"Sat",1610
2019-03-10,2,"Sun",1610.28571428571
2019-03-11,1692,"Mon",1482
2019-03-12,1914,"Tue",1466.85714285714
2019-03-13,2110,"Wed",1523.71428571429
2019-03-14,1629,"Thu",1491
2019-03-15,1967,"Fri",1489.28571428571
2019-03-16,1,"Sat",1330.71428571429
