"date","n"
2020-01-01,37
2020-01-02,1420
2020-01-03,1545
2020-01-04,0
2020-01-05,1
2020-01-06,2084
2020-01-07,1801
2020-01-08,1618
2020-01-09,2125
2020-01-10,1695
2020-01-11,0
2020-01-12,0
2020-01-13,2604
2020-01-14,2170
2020-01-15,2025
2020-01-16,1511
2020-01-17,2465
2020-01-18,0
2020-01-19,1
2020-01-20,2902
2020-01-21,2155
2020-01-22,1660
2020-01-23,2130
2020-01-24,1776
2020-01-25,0
2020-01-26,0
2020-01-27,2518
2020-01-28,2308
2020-01-29,1531
2020-01-30,1512
2020-01-31,1556
2020-02-01,5
2020-02-02,0
2020-02-03,2631
2020-02-04,2292
2020-02-05,2224
2020-02-06,2261
2020-02-07,2069
2020-02-08,0
2020-02-09,0
2020-02-10,2762
2020-02-11,2380
2020-02-12,2178
2020-02-13,2250
2020-02-14,2149
2020-02-15,460
2020-02-16,0
2020-02-17,1926
2020-02-18,1956
2020-02-19,1952
2020-02-20,2025
2020-02-21,1764
2020-02-22,0
2020-02-23,0
2020-02-24,2338
2020-02-25,2456
2020-02-26,2582
2020-02-27,1715
2020-02-28,1871
2020-02-29,0
2020-03-01,19
2020-03-02,2240
2020-03-03,1923
2020-03-04,2265
2020-03-05,1723
2020-03-06,1658
2020-03-07,0
2020-03-08,1
2020-03-09,2815
2020-03-10,2186
2020-03-11,2378
2020-03-12,2305
2020-03-13,1432
2020-03-14,1
2020-03-15,2
2020-03-16,1840
2020-03-17,1795
2020-03-18,2297
2020-03-19,1540
2020-03-20,1416
2020-03-21,0
2020-03-22,0
2020-03-23,1359
2020-03-24,1402
2020-03-25,1474
2020-03-26,1075
2020-03-27,813
2020-03-28,0
2020-03-29,0
2020-03-30,1563
2020-03-31,1418
2020-04-01,1387
2020-04-02,1300
2020-04-03,1124
2020-04-04,0
2020-04-05,0
2020-04-06,1482
2020-04-07,1370
2020-04-08,941
2020-04-09,1128
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,1410
2020-04-15,1562
2020-04-16,2000
2020-04-17,1425
2020-04-18,0
2020-04-19,0
2020-04-20,1663
2020-04-21,1414
2020-04-22,1401
2020-04-23,1049
2020-04-24,1154
2020-04-25,0
2020-04-26,0
2020-04-27,1774
2020-04-28,1584
2020-04-29,1698
2020-04-30,1329
2020-05-01,1439
2020-05-02,0
2020-05-03,0
2020-05-04,1688
2020-05-05,1618
2020-05-06,1828
2020-05-07,1747
2020-05-08,3
2020-05-09,0
2020-05-10,0
2020-05-11,2343
2020-05-12,1858
2020-05-13,1760
2020-05-14,1752
2020-05-15,1954
2020-05-16,0
2020-05-17,0
2020-05-18,1981
2020-05-19,2077
2020-05-20,2091
2020-05-21,1647
2020-05-22,1660
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,2905
2020-05-27,2709
2020-05-28,2084
2020-05-29,2010
2020-05-30,1797
2020-05-31,1
2020-06-01,1435
2020-06-02,2078
2020-06-03,2472
2020-06-04,1947
2020-06-05,2247
2020-06-06,0
2020-06-07,0
2020-06-08,3165
2020-06-09,2923
2020-06-10,1826
2020-06-11,2551
2020-06-12,2231
2020-06-13,1700
2020-06-14,0
2020-06-15,2154
2020-06-16,1934
2020-06-17,1963
2020-06-18,1994
2020-06-19,2376
2020-06-20,1959
2020-06-21,0
2020-06-22,2314
2020-06-23,1948
2020-06-24,1991
2020-06-25,1918
2020-06-26,1551
2020-06-27,0
2020-06-28,0
2020-06-29,2747
2020-06-30,2921
2020-07-01,2579
2020-07-02,2381
2020-07-03,1901
2020-07-04,1048
2020-07-05,1134
2020-07-06,2393
2020-07-07,2016
2020-07-08,2183
2020-07-09,2022
2020-07-10,2214
2020-07-11,1
2020-07-12,0
2020-07-13,2671
2020-07-14,2608
2020-07-15,2583
2020-07-16,1967
2020-07-17,1958
2020-07-18,0
2020-07-19,1666
2020-07-20,1926
2020-07-21,2145
2020-07-22,1999
2020-07-23,2275
2020-07-24,1984
2020-07-25,1
2020-07-26,0
2020-07-27,2890
2020-07-28,2552
2020-07-29,2707
2020-07-30,2340
2020-07-31,1781
2020-08-01,376
2020-08-02,1340
2020-08-03,1694
2020-08-04,2153
2020-08-05,2406
2020-08-06,2018
2020-08-07,1819
2020-08-08,0
2020-08-09,1
2020-08-10,2251
2020-08-11,2180
2020-08-12,2025
2020-08-13,2080
2020-08-14,2001
2020-08-15,2
2020-08-16,1167
2020-08-17,2190
2020-08-18,2309
2020-08-19,2256
2020-08-20,1948
2020-08-21,2103
2020-08-22,0
2020-08-23,0
2020-08-24,2633
2020-08-25,2250
2020-08-26,2126
2020-08-27,2108
2020-08-28,1976
2020-08-29,28
2020-08-30,0
2020-08-31,2381
2020-09-01,2524
2020-09-02,2562
2020-09-03,2867
2020-09-04,2819
2020-09-05,0
2020-09-06,1
2020-09-07,3517
2020-09-08,3068
2020-09-09,3064
2020-09-10,2591
2020-09-11,2056
2020-09-12,286
2020-09-13,2681
2020-09-14,1865
2020-09-15,2483
2020-09-16,2819
2020-09-17,2736
2020-09-18,3283
2020-09-19,0
2020-09-20,2
2020-09-21,4080
2020-09-22,2869
2020-09-23,3026
2020-09-24,3000
2020-09-25,3378
2020-09-26,0
2020-09-27,0
2020-09-28,3928
2020-09-29,2673
2020-09-30,3080
2020-10-01,3560
2020-10-02,3734
2020-10-03,1215
2020-10-04,1647
2020-10-05,3265
2020-10-06,3025
2020-10-07,2966
2020-10-08,2725
2020-10-09,2681
2020-10-10,0
2020-10-11,0
2020-10-12,3352
2020-10-13,3369
2020-10-14,3460
2020-10-15,3284
2020-10-16,2598
2020-10-17,0
2020-10-18,0
2020-10-19,3279
2020-10-20,2478
2020-10-21,2845
2020-10-22,2981
2020-10-23,3012
2020-10-24,2
2020-10-25,0
2020-10-26,3281
2020-10-27,3464
2020-10-28,2854
2020-10-29,2850
2020-10-30,2675
2020-10-31,1
2020-11-01,22
2020-11-02,4102
2020-11-03,2954
2020-11-04,3384
2020-11-05,2885
2020-11-06,2381
2020-11-07,1
2020-11-08,0
2020-11-09,3287
2020-11-10,2823
2020-11-11,3370
2020-11-12,2744
2020-11-13,3227
2020-11-14,0
2020-11-15,3660
2020-11-16,2629
2020-11-17,2616
2020-11-18,2898
2020-11-19,2995
2020-11-20,2961
2020-11-21,0
2020-11-22,0
2020-11-23,3058
2020-11-24,2964
2020-11-25,2483
2020-11-26,2487
2020-11-27,2845
2020-11-28,6
2020-11-29,0
2020-11-30,3181
2020-12-01,3176
2020-12-02,3099
2020-12-03,2549
2020-12-04,2553
2020-12-05,0
2020-12-06,2891
2020-12-07,2629
2020-12-08,2351
2020-12-09,3044
2020-12-10,2032
2020-12-11,2465
2020-12-12,0
2020-12-13,0
2020-12-14,2840
2020-12-15,2375
2020-12-16,2616
2020-12-17,2700
2020-12-18,2458
2020-12-19,267
2020-12-20,0
2020-12-21,2890
2020-12-22,2252
2020-12-23,2263
2020-12-24,1534
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,2515
2020-12-30,3129
2020-12-31,2327
2021-01-01,68
2021-01-02,106
2021-01-03,0
2021-01-04,3650
2021-01-05,3251
2021-01-06,3569
2021-01-07,2325
2021-01-08,2806
2021-01-09,0
2021-01-10,0
2021-01-11,3569
2021-01-12,2961
2021-01-13,3103
2021-01-14,2778
2021-01-15,2625
2021-01-16,0
2021-01-17,1
2021-01-18,4291
2021-01-19,3004
2021-01-20,3347
2021-01-21,2755
2021-01-22,2210
2021-01-23,0
2021-01-24,53
2021-01-25,4275
2021-01-26,2972
2021-01-27,3238
2021-01-28,2641
2021-01-29,2636
2021-01-30,104
2021-01-31,0
2021-02-01,3584
2021-02-02,3196
2021-02-03,3331
2021-02-04,2878
2021-02-05,2695
2021-02-06,98
2021-02-07,0
2021-02-08,3916
2021-02-09,3662
2021-02-10,3585
2021-02-11,3290
2021-02-12,2108
2021-02-13,0
2021-02-14,0
2021-02-15,2879
2021-02-16,3519
2021-02-17,3227
2021-02-18,3132
2021-02-19,2924
2021-02-20,0
2021-02-21,0
2021-02-22,3160
2021-02-23,2978
2021-02-24,3876
2021-02-25,3940
2021-02-26,2907
2021-02-27,2874
2021-02-28,0
2021-03-01,3405
2021-03-02,3471
2021-03-03,3202
2021-03-04,2826
2021-03-05,3217
2021-03-06,0
2021-03-07,0
2021-03-08,3737
2021-03-09,2861
2021-03-10,2847
2021-03-11,3411
2021-03-12,3600
2021-03-13,52
2021-03-14,1
2021-03-15,4222
2021-03-16,3348
2021-03-17,2505
2021-03-18,2676
2021-03-19,3122
2021-03-20,2
2021-03-21,1848
2021-03-22,3453
2021-03-23,2717
2021-03-24,3178
2021-03-25,2554
2021-03-26,3223
2021-03-27,0
2021-03-28,1997
2021-03-29,4060
2021-03-30,2931
2021-03-31,3078
2021-04-01,3116
2021-04-02,0
2021-04-03,3206
2021-04-04,0
2021-04-05,1
2021-04-06,3485
2021-04-07,3579
2021-04-08,4051
2021-04-09,3485
2021-04-10,0
2021-04-11,0
2021-04-12,3184
2021-04-13,2590
2021-04-14,3549
2021-04-15,3389
2021-04-16,3047
2021-04-17,0
2021-04-18,0
2021-04-19,3948
2021-04-20,2433
2021-04-21,2767
2021-04-22,2504
2021-04-23,2687
2021-04-24,0
2021-04-25,0
2021-04-26,3604
2021-04-27,3420
2021-04-28,3140
2021-04-29,2940
2021-04-30,2455
2021-05-01,16
2021-05-02,0
2021-05-03,2271
2021-05-04,3766
2021-05-05,2848
2021-05-06,2450
2021-05-07,2450
2021-05-08,0
2021-05-09,0
2021-05-10,3011
2021-05-11,3806
2021-05-12,2966
2021-05-13,3174
2021-05-14,4402
2021-05-15,302
2021-05-16,1928
2021-05-17,3193
2021-05-18,2602
2021-05-19,2362
2021-05-20,2947
2021-05-21,2346
2021-05-22,0
2021-05-23,0
2021-05-24,3374
2021-05-25,2627
2021-05-26,3053
2021-05-27,2848
2021-05-28,2726
2021-05-29,0
2021-05-30,0
2021-05-31,1539
2021-06-01,3305
2021-06-02,2552
2021-06-03,2486
2021-06-04,2333
2021-06-05,0
2021-06-06,0
2021-06-07,3697
2021-06-08,2829
2021-06-09,2453
2021-06-10,2839
2021-06-11,2185
2021-06-12,0
2021-06-13,0
2021-06-14,2962
2021-06-15,2990
2021-06-16,2432
2021-06-17,2600
2021-06-18,2751
2021-06-19,225
2021-06-20,265
2021-06-21,3419
2021-06-22,2335
2021-06-23,2213
2021-06-24,2319
2021-06-25,2710
2021-06-26,216
2021-06-27,262
2021-06-28,2887
2021-06-29,2604
2021-06-30,2493
2021-07-01,2892
2021-07-02,2013
2021-07-03,389
2021-07-04,396
2021-07-05,3298
2021-07-06,2473
2021-07-07,2337
2021-07-08,2546
2021-07-09,2845
2021-07-10,63
2021-07-11,0
2021-07-12,2286
2021-07-13,2533
2021-07-14,2186
2021-07-15,2830
2021-07-16,2230
2021-07-17,197
2021-07-18,223
2021-07-19,2988
2021-07-20,2480
2021-07-21,2055
2021-07-22,2719
2021-07-23,2665
2021-07-24,264
2021-07-25,255
2021-07-26,2498
2021-07-27,2589
2021-07-28,2550
2021-07-29,2575
2021-07-30,2503
2021-07-31,273
2021-08-01,324
2021-08-02,2611
2021-08-03,1597
2021-08-04,2947
2021-08-05,2686
2021-08-06,2819
2021-08-07,281
2021-08-08,305
2021-08-09,3070
2021-08-10,2087
2021-08-11,2404
2021-08-12,2762
2021-08-13,2414
2021-08-14,204
2021-08-15,253
2021-08-16,2746
2021-08-17,2558
2021-08-18,2450
2021-08-19,2149
2021-08-20,2055
2021-08-21,0
2021-08-22,0
2021-08-23,3427
2021-08-24,3118
2021-08-25,2829
2021-08-26,2374
2021-08-27,2208
2021-08-28,207
2021-08-29,224
2021-08-30,1702
2021-08-31,2830
2021-09-01,2979
2021-09-02,2268
2021-09-03,2332
2021-09-04,244
2021-09-05,304
2021-09-06,2951
2021-09-07,2663
2021-09-08,2869
2021-09-09,2220
2021-09-10,2935
2021-09-11,291
2021-09-12,273
2021-09-13,2755
2021-09-14,3403
2021-09-15,2858
2021-09-16,2867
2021-09-17,2485
2021-09-18,248
2021-09-19,301
2021-09-20,2597
2021-09-21,3084
2021-09-22,2609
2021-09-23,2629
2021-09-24,2679
2021-09-25,256
2021-09-26,291
2021-09-27,2809
2021-09-28,3179
2021-09-29,2842
2021-09-30,3373
2021-10-01,2548
2021-10-02,245
2021-10-03,295
2021-10-04,3112
2021-10-05,2875
2021-10-06,2804
2021-10-07,2203
2021-10-08,2245
2021-10-09,259
2021-10-10,259
2021-10-11,2345
2021-10-12,2996
2021-10-13,2684
2021-10-14,3290
2021-10-15,2567
2021-10-16,250
2021-10-17,274
2021-10-18,2956
2021-10-19,3473
2021-10-20,3386
2021-10-21,3599
2021-10-22,2931
2021-10-23,278
2021-10-24,267
2021-10-25,3479
2021-10-26,2545
2021-10-27,2640
2021-10-28,2612
2021-10-29,2733
2021-10-30,249
2021-10-31,324
2021-11-01,3664
2021-11-02,3225
2021-11-03,2837
2021-11-04,1733
2021-11-05,2912
2021-11-06,261
2021-11-07,215
2021-11-08,3248
2021-11-09,3384
2021-11-10,3048
2021-11-11,2656
2021-11-12,2769
2021-11-13,0
2021-11-14,558
2021-11-15,3140
2021-11-16,2626
2021-11-17,3112
2021-11-18,3297
2021-11-19,2503
2021-11-20,247
2021-11-21,315
2021-11-22,3113
2021-11-23,2683
2021-11-24,2665
2021-11-25,2275
2021-11-26,2752
2021-11-27,267
2021-11-28,276
2021-11-29,3198
2021-11-30,2649
2021-12-01,2365
2021-12-02,2114
2021-12-03,3379
2021-12-04,327
2021-12-05,269
2021-12-06,3086
2021-12-07,2669
2021-12-08,2797
2021-12-09,2286
2021-12-10,2698
2021-12-11,270
2021-12-12,270
2021-12-13,3139
2021-12-14,3010
2021-12-15,2458
2021-12-16,1830
2021-12-17,2231
2021-12-18,246
2021-12-19,245
2021-12-20,2454
2021-12-21,2513
2021-12-22,2641
2021-12-23,1979
2021-12-24,1224
2021-12-25,118
2021-12-26,152
2021-12-27,359
2021-12-28,463
2021-12-29,2510
2021-12-30,1779
2021-12-31,1262
2022-01-01,331
2022-01-02,310
2022-01-03,608
2022-01-04,3051
2022-01-05,3182
2022-01-06,2197
2022-01-07,2431
2022-01-08,392
2022-01-09,444
2022-01-10,3552
2022-01-11,3324
2022-01-12,3002
2022-01-13,2746
2022-01-14,2701
2022-01-15,412
2022-01-16,344
2022-01-17,3366
2022-01-18,3125
