"date","ni","day"
2020-01-01,39,"Wed"
2020-01-02,1451,"Thu"
2020-01-03,1575,"Fri"
2020-01-04,0,NA
2020-01-05,1,"Sun"
2020-01-06,2122,"Mon"
2020-01-07,1826,"Tue"
2020-01-08,1635,"Wed"
2020-01-09,2159,"Thu"
2020-01-10,1728,"Fri"
2020-01-11,0,NA
2020-01-12,0,NA
2020-01-13,2655,"Mon"
2020-01-14,2196,"Tue"
2020-01-15,2049,"Wed"
2020-01-16,1540,"Thu"
2020-01-17,2493,"Fri"
2020-01-18,0,NA
2020-01-19,1,"Sun"
2020-01-20,2964,"Mon"
2020-01-21,2183,"Tue"
2020-01-22,1692,"Wed"
2020-01-23,2156,"Thu"
2020-01-24,1794,"Fri"
2020-01-25,0,NA
2020-01-26,0,NA
2020-01-27,2546,"Mon"
2020-01-28,2339,"Tue"
2020-01-29,1540,"Wed"
2020-01-30,1531,"Thu"
2020-01-31,1581,"Fri"
2020-02-01,5,"Sat"
2020-02-02,0,NA
2020-02-03,2655,"Mon"
2020-02-04,2320,"Tue"
2020-02-05,2250,"Wed"
2020-02-06,2276,"Thu"
2020-02-07,2086,"Fri"
2020-02-08,0,NA
2020-02-09,0,NA
2020-02-10,2799,"Mon"
2020-02-11,2400,"Tue"
2020-02-12,2192,"Wed"
2020-02-13,2270,"Thu"
2020-02-14,2174,"Fri"
2020-02-15,465,"Sat"
2020-02-16,0,NA
2020-02-17,1942,"Mon"
2020-02-18,1977,"Tue"
2020-02-19,1965,"Wed"
2020-02-20,2042,"Thu"
2020-02-21,1780,"Fri"
2020-02-22,0,NA
2020-02-23,0,NA
2020-02-24,2360,"Mon"
2020-02-25,2470,"Tue"
2020-02-26,2596,"Wed"
2020-02-27,1731,"Thu"
2020-02-28,1881,"Fri"
2020-02-29,0,NA
2020-03-01,19,"Sun"
2020-03-02,2262,"Mon"
2020-03-03,1942,"Tue"
2020-03-04,2270,"Wed"
2020-03-05,1737,"Thu"
2020-03-06,1668,"Fri"
2020-03-07,0,NA
2020-03-08,1,"Sun"
2020-03-09,2840,"Mon"
2020-03-10,2203,"Tue"
2020-03-11,2403,"Wed"
2020-03-12,2319,"Thu"
2020-03-13,1436,"Fri"
2020-03-14,1,"Sat"
2020-03-15,2,"Sun"
2020-03-16,1856,"Mon"
2020-03-17,1804,"Tue"
2020-03-18,2312,"Wed"
2020-03-19,1553,"Thu"
2020-03-20,1426,"Fri"
2020-03-21,0,NA
2020-03-22,0,NA
2020-03-23,1369,"Mon"
2020-03-24,1406,"Tue"
2020-03-25,1483,"Wed"
2020-03-26,1084,"Thu"
2020-03-27,817,"Fri"
2020-03-28,0,NA
2020-03-29,0,NA
2020-03-30,1580,"Mon"
2020-03-31,1425,"Tue"
2020-04-01,1398,"Wed"
2020-04-02,1309,"Thu"
2020-04-03,1125,"Fri"
2020-04-04,0,NA
2020-04-05,0,NA
2020-04-06,1489,"Mon"
2020-04-07,1377,"Tue"
2020-04-08,947,"Wed"
2020-04-09,1134,"Thu"
2020-04-10,0,NA
2020-04-11,0,NA
2020-04-12,0,NA
2020-04-13,0,NA
2020-04-14,1422,"Tue"
2020-04-15,1569,"Wed"
2020-04-16,2008,"Thu"
2020-04-17,1429,"Fri"
2020-04-18,0,NA
2020-04-19,0,NA
2020-04-20,1673,"Mon"
2020-04-21,1424,"Tue"
2020-04-22,1407,"Wed"
2020-04-23,1061,"Thu"
2020-04-24,1162,"Fri"
2020-04-25,0,NA
2020-04-26,0,NA
2020-04-27,1792,"Mon"
2020-04-28,1597,"Tue"
2020-04-29,1705,"Wed"
2020-04-30,1335,"Thu"
2020-05-01,1449,"Fri"
2020-05-02,0,NA
2020-05-03,0,NA
2020-05-04,1697,"Mon"
2020-05-05,1632,"Tue"
2020-05-06,1841,"Wed"
2020-05-07,1760,"Thu"
2020-05-08,3,"Fri"
2020-05-09,0,NA
2020-05-10,0,NA
2020-05-11,2354,"Mon"
2020-05-12,1875,"Tue"
2020-05-13,1770,"Wed"
2020-05-14,1759,"Thu"
2020-05-15,1965,"Fri"
2020-05-16,0,NA
2020-05-17,0,NA
2020-05-18,1997,"Mon"
2020-05-19,2091,"Tue"
2020-05-20,2104,"Wed"
2020-05-21,1655,"Thu"
2020-05-22,1675,"Fri"
2020-05-23,0,NA
2020-05-24,0,NA
2020-05-25,0,NA
2020-05-26,2921,"Tue"
2020-05-27,2724,"Wed"
2020-05-28,2105,"Thu"
2020-05-29,2028,"Fri"
2020-05-30,1809,"Sat"
2020-05-31,1,"Sun"
2020-06-01,1438,"Mon"
2020-06-02,2092,"Tue"
2020-06-03,2489,"Wed"
2020-06-04,1961,"Thu"
2020-06-05,2270,"Fri"
2020-06-06,0,NA
2020-06-07,0,NA
2020-06-08,3196,"Mon"
2020-06-09,2953,"Tue"
2020-06-10,1853,"Wed"
2020-06-11,2575,"Thu"
2020-06-12,2269,"Fri"
2020-06-13,1716,"Sat"
2020-06-14,0,NA
2020-06-15,2174,"Mon"
2020-06-16,1969,"Tue"
2020-06-17,1983,"Wed"
2020-06-18,2008,"Thu"
2020-06-19,2394,"Fri"
2020-06-20,1973,"Sat"
2020-06-21,0,NA
2020-06-22,2335,"Mon"
2020-06-23,1963,"Tue"
2020-06-24,2015,"Wed"
2020-06-25,1935,"Thu"
2020-06-26,1568,"Fri"
2020-06-27,0,NA
2020-06-28,0,NA
2020-06-29,2772,"Mon"
2020-06-30,2977,"Tue"
2020-07-01,2627,"Wed"
2020-07-02,2418,"Thu"
2020-07-03,1925,"Fri"
2020-07-04,1064,"Sat"
2020-07-05,1152,"Sun"
2020-07-06,2439,"Mon"
2020-07-07,2058,"Tue"
2020-07-08,2223,"Wed"
2020-07-09,2058,"Thu"
2020-07-10,2252,"Fri"
2020-07-11,1,"Sat"
2020-07-12,0,NA
2020-07-13,2727,"Mon"
2020-07-14,2652,"Tue"
2020-07-15,2652,"Wed"
2020-07-16,1992,"Thu"
2020-07-17,1998,"Fri"
2020-07-18,0,NA
2020-07-19,1704,"Sun"
2020-07-20,1973,"Mon"
2020-07-21,2362,"Tue"
2020-07-22,2072,"Wed"
2020-07-23,2320,"Thu"
2020-07-24,2033,"Fri"
2020-07-25,1,"Sat"
2020-07-26,0,NA
2020-07-27,2961,"Mon"
2020-07-28,2578,"Tue"
2020-07-29,2759,"Wed"
2020-07-30,2385,"Thu"
2020-07-31,1808,"Fri"
2020-08-01,467,"Sat"
2020-08-02,1891,"Sun"
2020-08-03,2224,"Mon"
2020-08-04,2818,"Tue"
2020-08-05,3078,"Wed"
2020-08-06,2632,"Thu"
2020-08-07,2353,"Fri"
2020-08-08,0,NA
2020-08-09,1,"Sun"
2020-08-10,3104,"Mon"
2020-08-11,2947,"Tue"
2020-08-12,2644,"Wed"
2020-08-13,2679,"Thu"
2020-08-14,2600,"Fri"
2020-08-15,3,"Sat"
2020-08-16,1532,"Sun"
2020-08-17,3021,"Mon"
2020-08-18,3019,"Tue"
2020-08-19,2953,"Wed"
2020-08-20,2641,"Thu"
2020-08-21,2775,"Fri"
2020-08-22,0,NA
2020-08-23,0,NA
2020-08-24,3502,"Mon"
2020-08-25,2991,"Tue"
2020-08-26,2724,"Wed"
2020-08-27,2690,"Thu"
2020-08-28,2498,"Fri"
2020-08-29,30,"Sat"
2020-08-30,0,NA
2020-08-31,3207,"Mon"
2020-09-01,2622,"Tue"
2020-09-02,2649,"Wed"
2020-09-03,2927,"Thu"
2020-09-04,2871,"Fri"
2020-09-05,0,NA
2020-09-06,1,"Sun"
2020-09-07,3598,"Mon"
2020-09-08,3134,"Tue"
2020-09-09,3131,"Wed"
2020-09-10,2654,"Thu"
2020-09-11,2094,"Fri"
2020-09-12,290,"Sat"
2020-09-13,2735,"Sun"
2020-09-14,1912,"Mon"
2020-09-15,2551,"Tue"
2020-09-16,2879,"Wed"
2020-09-17,2787,"Thu"
2020-09-18,3357,"Fri"
2020-09-19,0,NA
2020-09-20,2,"Sun"
2020-09-21,4196,"Mon"
2020-09-22,2917,"Tue"
2020-09-23,3083,"Wed"
2020-09-24,3053,"Thu"
2020-09-25,3433,"Fri"
2020-09-26,0,NA
2020-09-27,0,NA
2020-09-28,4018,"Mon"
2020-09-29,2730,"Tue"
