"week","x","ratioTo2019","ratioTo2020"
1,13060,2.43021957573502,1.86199030510408
2,15290,1.85941870363614,1.47401908801697
3,16109,1.85651722945719,1.43446126447017
4,15462,1.70117724722192,1.46879452835566
5,15807,1.90998066698888,1.64109219269103
6,17330,1.75796307567458,1.46727626788587
7,14932,1.70204035107717,1.35499092558984
8,16967,1.88375707782836,1.59809739097674
9,18776,2.00791359212918,1.8000191736171
10,16153,1.57222114074362,1.50695027521224
11,16458,1.66950699939136,1.67579676204053
12,16933,1.68857199840447,2.09930572774609
13,18485,1.71777715825667,2.89325403036469
14,14370,1.47128084365721,2.14541654225142
15,16259,1.53647703647704,4.64145018555524
16,14761,2.44670976297033,1.82167098605455
17,15858,1.80553341682796,2.25929619603932
18,13852,1.94332210998878,1.77180864671271
19,15464,1.68269858541893,1.97421166858164
20,17798,1.89119115928169,1.85744103527447
21,14306,1.83527902501604,1.71226810293238
22,12656,1.48824082784572,1.03763220464049
23,14221,1.63704385863935,1.10505866811718
24,13232,1.46290768380321,1.05383880216629
25,13586,1.61181634832127,1.07348293299621
26,14102,1.64877820647726,1.25161977456288
27,13500,1.42225031605563,0.986625739969305
28,12788,1.48387096774194,1.07344917317216
29,12940,1.56261321096486,1.02042425676208
30,13450,1.61892152142513,1.12411199331383
31,12984,1.55459770114943,0.904682274247492
32,13769,1.56626094869753,0.975487070492384
33,12814,1.52638475282906,0.826816363401729
34,13839,1.99236970918514,0.931166733952362
35,12442,1.55486128467883,0.903492847287779
36,13626,1.53896543934945,0.897628458498024
37,15432,1.63856445105118,1.00422984317043
38,13998,1.50419084461638,0.867393729086628
39,15483,1.71082872928177,0.948887663173377
40,14123,1.45134107491522,0.712742871561948
41,14142,1.39550029603316,0.925584135087375
42,16546,1.87766681797549,1.08327877438785
43,14788,1.61458674527787,0.934884309015046
44,14774,1.74612929913722,0.945596518177163
45,15724,1.79661791590494,1.05501878690284
46,15498,1.78015161957271,0.844025705260865
47,13801,1.48381894419955,0.920128008533902
48,13614,1.43728885135135,0.954029432375613
49,14809,1.71202312138728,0.915775153051759
50,13669,1.69801242236025,1.06555971312753
51,12298,1.40757697150052,0.927800829875519
52,6605,2.2306653157717,1.04081311062086
