"week","AreaCovered","Dec2021","Dec2019","change"
1,"Central London",1450,261,455.555555555556
2,"Central London",1513,403,275.434243176179
3,"Central London",1593,398,300.251256281407
4,"Central London",1480,448,230.357142857143
5,"Central London",1599,423,278.014184397163
6,"Central London",1636,472,246.610169491525
7,"Central London",1480,397,272.7959697733
8,"Central London",1573,392,301.275510204082
9,"Central London",1730,413,318.886198547215
10,"Central London",1511,493,206.490872210953
11,"Central London",1496,419,257.040572792363
12,"Central London",1622,444,265.315315315315
13,"Central London",1818,516,252.325581395349
14,"Central London",1307,409,219.559902200489
15,"Central London",1728,607,184.678747940692
16,"Central London",1579,251,529.083665338645
17,"Central London",1841,426,332.159624413145
18,"Central London",1419,370,283.513513513514
19,"Central London",1466,426,244.131455399061
20,"Central London",1788,461,287.852494577006
21,"Central London",1357,359,277.994428969359
22,"Central London",1337,435,207.35632183908
23,"Central London",1414,425,232.705882352941
24,"Central London",1216,428,184.11214953271
25,"Central London",1260,398,216.582914572864
26,"Central London",1380,459,200.653594771242
27,"Central London",1214,530,129.056603773585
28,"Central London",1304,427,205.386416861827
29,"Central London",1320,457,188.840262582057
30,"Central London",1347,429,213.986013986014
31,"Central London",1217,456,166.885964912281
32,"Central London",1332,478,178.661087866109
33,"Central London",1338,432,209.722222222222
34,"Central London",1238,353,250.70821529745
35,"Central London",1344,467,187.79443254818
36,"Central London",1249,423,195.271867612293
37,"Central London",1420,506,180.632411067194
38,"Central London",1357,508,167.125984251969
39,"Central London",1483,427,247.306791569087
40,"Central London",1242,481,158.212058212058
41,"Central London",1349,521,158.925143953935
42,"Central London",1533,451,239.911308203991
43,"Central London",1400,459,205.010893246187
44,"Central London",1362,510,167.058823529412
45,"Central London",1436,488,194.262295081967
46,"Central London",1499,473,216.913319238901
47,"Central London",1285,552,132.789855072464
48,"Central London",1181,553,113.562386980109
49,"Central London",1484,581,155.421686746988
50,"Central London",1348,488,176.229508196721
51,"Central London",1291,571,126.094570928196
52,"Central London",795,212,275
53,"Central London",171,52,228.846153846154
1,"East London",442,136,225
2,"East London",527,273,93.040293040293
3,"East London",535,265,101.88679245283
4,"East London",531,294,80.6122448979592
5,"East London",543,231,135.064935064935
6,"East London",518,301,72.0930232558139
7,"East London",488,280,74.2857142857143
8,"East London",571,294,94.2176870748299
9,"East London",571,302,89.0728476821192
10,"East London",534,287,86.0627177700349
11,"East London",526,291,80.7560137457045
12,"East London",545,279,95.3405017921147
13,"East London",610,334,82.6347305389222
14,"East London",504,265,90.188679245283
15,"East London",536,326,64.4171779141104
16,"East London",532,185,187.567567567568
17,"East London",513,305,68.1967213114754
18,"East London",507,193,162.694300518135
19,"East London",560,276,102.898550724638
20,"East London",626,322,94.4099378881988
21,"East London",489,250,95.6
22,"East London",442,268,64.9253731343284
