"date","ni","day","av7"
2019-01-01,57,"Tue",NA
2019-01-02,1030,"Wed",NA
2019-01-03,1023,"Thu",NA
2019-01-04,1476,"Fri",NA
2019-01-05,1,"Sat",NA
2019-01-06,0,NA,NA
2019-01-07,1787,"Mon",767.714285714286
2019-01-08,1767,"Tue",1012
2019-01-09,1441,"Wed",1070.71428571429
2019-01-10,1497,"Thu",1138.42857142857
2019-01-11,1409,"Fri",1128.85714285714
2019-01-12,0,NA,1128.71428571429
2019-01-13,1,"Sun",1128.85714285714
2019-01-14,2108,"Mon",1174.71428571429
2019-01-15,1741,"Tue",1171
2019-01-16,1966,"Wed",1246
2019-01-17,1628,"Thu",1264.71428571429
2019-01-18,1523,"Fri",1281
2019-01-19,0,NA,1281
2019-01-20,0,NA,1280.85714285714
2019-01-21,1819,"Mon",1239.57142857143
2019-01-22,1661,"Tue",1228.14285714286
2019-01-23,1717,"Wed",1192.57142857143
2019-01-24,1624,"Thu",1192
2019-01-25,1510,"Fri",1190.14285714286
2019-01-26,0,NA,1190.14285714286
2019-01-27,0,NA,1190.14285714286
2019-01-28,2577,"Mon",1298.42857142857
2019-01-29,1720,"Tue",1306.85714285714
2019-01-30,1530,"Wed",1280.14285714286
2019-01-31,1438,"Thu",1253.57142857143
2019-02-01,1558,"Fri",1260.42857142857
2019-02-02,1,"Sat",1260.57142857143
2019-02-03,0,NA,1260.57142857143
2019-02-04,2029,"Mon",1182.28571428571
2019-02-05,1796,"Tue",1193.14285714286
2019-02-06,1834,"Wed",1236.57142857143
2019-02-07,1884,"Thu",1300.28571428571
2019-02-08,1616,"Fri",1308.57142857143
2019-02-09,0,NA,1308.42857142857
2019-02-10,1,"Sun",1308.57142857143
2019-02-11,2727,"Mon",1408.28571428571
2019-02-12,1871,"Tue",1419
2019-02-13,1811,"Wed",1415.71428571429
2019-02-14,1447,"Thu",1353.28571428571
2019-02-15,1830,"Fri",1383.85714285714
2019-02-16,0,NA,1383.85714285714
2019-02-17,0,NA,1383.71428571429
2019-02-18,1814,"Mon",1253.28571428571
2019-02-19,2003,"Tue",1272.14285714286
2019-02-20,1781,"Wed",1267.85714285714
2019-02-21,1460,"Thu",1269.71428571429
2019-02-22,1537,"Fri",1227.85714285714
2019-02-23,55,"Sat",1235.71428571429
2019-02-24,0,NA,1235.71428571429
2019-02-25,2171,"Mon",1286.71428571429
2019-02-26,1686,"Tue",1241.42857142857
2019-02-27,1598,"Wed",1215.28571428571
2019-02-28,1692,"Thu",1248.42857142857
2019-03-01,1816,"Fri",1288.28571428571
2019-03-02,1,"Sat",1280.57142857143
2019-03-03,0,NA,1280.57142857143
2019-03-04,2558,"Mon",1335.85714285714
2019-03-05,2003,"Tue",1381.14285714286
2019-03-06,1697,"Wed",1395.28571428571
2019-03-07,1835,"Thu",1415.71428571429
2019-03-08,1961,"Fri",1436.42857142857
2019-03-09,1102,"Sat",1593.71428571429
2019-03-10,2,"Sun",1594
2019-03-11,1674,"Mon",1467.71428571429
2019-03-12,1886,"Tue",1451
2019-03-13,2084,"Wed",1506.28571428571
2019-03-14,1608,"Thu",1473.85714285714
2019-03-15,1938,"Fri",1470.57142857143
2019-03-16,1,"Sat",1313.28571428571
2019-03-17,0,NA,1313
2019-03-18,2341,"Mon",1408.28571428571
2019-03-19,1931,"Tue",1414.71428571429
2019-03-20,1753,"Wed",1367.42857142857
2019-03-21,1985,"Thu",1421.28571428571
2019-03-22,1595,"Fri",1372.28571428571
2019-03-23,1471,"Sat",1582.28571428571
2019-03-24,0,NA,1582.28571428571
2019-03-25,1293,"Mon",1432.57142857143
2019-03-26,1746,"Tue",1406.14285714286
2019-03-27,2006,"Wed",1442.28571428571
2019-03-28,1720,"Thu",1404.42857142857
2019-03-29,1856,"Fri",1441.71428571429
2019-03-30,1491,"Sat",1444.57142857143
2019-03-31,3,"Sun",1445
2019-04-01,1939,"Mon",1537.28571428571
2019-04-02,1781,"Tue",1542.28571428571
2019-04-03,2061,"Wed",1550.14285714286
2019-04-04,1587,"Thu",1531.14285714286
2019-04-05,2089,"Fri",1564.42857142857
2019-04-06,55,"Sat",1359.28571428571
2019-04-07,1,"Sun",1359
2019-04-08,2193,"Mon",1395.28571428571
2019-04-09,2024,"Tue",1430
2019-04-10,1924,"Wed",1410.42857142857
2019-04-11,1855,"Thu",1448.71428571429
2019-04-12,1994,"Fri",1435.14285714286
2019-04-13,882,"Sat",1553.28571428571
2019-04-14,0,NA,1553.14285714286
2019-04-15,1903,"Mon",1511.71428571429
2019-04-16,1482,"Tue",1434.28571428571
2019-04-17,1715,"Wed",1404.42857142857
2019-04-18,1838,"Thu",1402
2019-04-19,0,NA,1117.14285714286
2019-04-20,998,"Sat",1133.71428571429
2019-04-21,0,NA,1133.71428571429
2019-04-22,0,NA,861.857142857143
2019-04-23,1842,"Tue",913.285714285714
2019-04-24,1648,"Wed",903.714285714286
2019-04-25,1564,"Thu",864.571428571429
2019-04-26,1567,"Fri",1088.42857142857
2019-04-27,4,"Sat",946.428571428571
2019-04-28,0,NA,946.428571428571
2019-04-29,2158,"Mon",1254.71428571429
2019-04-30,1540,"Tue",1211.57142857143
2019-05-01,2106,"Wed",1277
2019-05-02,1562,"Thu",1276.71428571429
2019-05-03,1919,"Fri",1327
2019-05-04,0,NA,1326.42857142857
2019-05-05,0,NA,1326.42857142857
2019-05-06,1,"Mon",1018.28571428571
2019-05-07,2170,"Tue",1108.28571428571
2019-05-08,1847,"Wed",1071.28571428571
2019-05-09,1484,"Thu",1060.14285714286
2019-05-10,1781,"Fri",1040.42857142857
2019-05-11,0,NA,1040.42857142857
2019-05-12,0,NA,1040.42857142857
2019-05-13,1908,"Mon",1312.85714285714
2019-05-14,1714,"Tue",1247.71428571429
2019-05-15,1822,"Wed",1244.14285714286
2019-05-16,1799,"Thu",1289.14285714286
2019-05-17,1815,"Fri",1294
2019-05-18,3,"Sat",1294.42857142857
2019-05-19,0,NA,1294.42857142857
2019-05-20,2258,"Mon",1344.42857142857
2019-05-21,1998,"Tue",1385
2019-05-22,2037,"Wed",1415.71428571429
2019-05-23,1775,"Thu",1412.28571428571
2019-05-24,1545,"Fri",1373.71428571429
2019-05-25,439,"Sat",1436
2019-05-26,1,"Sun",1436.14285714286
2019-05-27,0,NA,1113.57142857143
2019-05-28,1493,"Tue",1041.42857142857
2019-05-29,1849,"Wed",1014.57142857143
2019-05-30,1530,"Thu",979.571428571429
2019-05-31,1514,"Fri",975.142857142857
2019-06-01,7,"Sat",913.428571428571
2019-06-02,0,NA,913.285714285714
2019-06-03,2111,"Mon",1214.85714285714
2019-06-04,1557,"Tue",1224
2019-06-05,2016,"Wed",1247.85714285714
2019-06-06,1536,"Thu",1248.71428571429
2019-06-07,1506,"Fri",1247.57142857143
2019-06-08,0,NA,1246.57142857143
2019-06-09,0,NA,1246.57142857143
2019-06-10,2072,"Mon",1241
2019-06-11,1935,"Tue",1295
2019-06-12,1806,"Wed",1265
2019-06-13,1661,"Thu",1282.85714285714
2019-06-14,1621,"Fri",1299.28571428571
2019-06-15,74,"Sat",1309.85714285714
2019-06-16,0,NA,1309.85714285714
2019-06-17,1948,"Mon",1292.14285714286
2019-06-18,1757,"Tue",1266.71428571429
2019-06-19,1949,"Wed",1287.14285714286
2019-06-20,1331,"Thu",1240
2019-06-21,1591,"Fri",1235.71428571429
2019-06-22,0,NA,1225.14285714286
2019-06-23,0,NA,1225.14285714286
2019-06-24,1801,"Mon",1204.14285714286
2019-06-25,1821,"Tue",1213.28571428571
2019-06-26,1648,"Wed",1170.28571428571
2019-06-27,1520,"Thu",1197.28571428571
2019-06-28,1462,"Fri",1178.85714285714
2019-06-29,0,NA,1178.85714285714
2019-06-30,0,NA,1178.85714285714
2019-07-01,2102,"Mon",1221.85714285714
2019-07-02,1833,"Tue",1223.57142857143
2019-07-03,1965,"Wed",1268.85714285714
2019-07-04,1521,"Thu",1269
2019-07-05,1465,"Fri",1269.42857142857
2019-07-06,1043,"Sat",1418.42857142857
2019-07-07,37,"Sun",1423.71428571429
2019-07-08,1628,"Mon",1356
2019-07-09,1263,"Tue",1274.57142857143
2019-07-10,1686,"Wed",1234.71428571429
2019-07-11,1676,"Thu",1256.85714285714
2019-07-12,1825,"Fri",1308.28571428571
2019-07-13,216,"Sat",1190.14285714286
2019-07-14,60,"Sun",1193.42857142857
2019-07-15,1892,"Mon",1231.14285714286
2019-07-16,1415,"Tue",1252.85714285714
2019-07-17,2008,"Wed",1298.85714285714
2019-07-18,1430,"Thu",1263.71428571429
2019-07-19,1778,"Fri",1257
2019-07-20,197,"Sat",1254.28571428571
2019-07-21,0,NA,1245.71428571429
2019-07-22,1453,"Mon",1183
2019-07-23,1583,"Tue",1207
2019-07-24,2081,"Wed",1217.42857142857
2019-07-25,1294,"Thu",1198
2019-07-26,1549,"Fri",1165.28571428571
2019-07-27,214,"Sat",1167.71428571429
2019-07-28,0,NA,1167.71428571429
2019-07-29,1587,"Mon",1186.85714285714
2019-07-30,1470,"Tue",1170.71428571429
2019-07-31,1651,"Wed",1109.28571428571
2019-08-01,1624,"Thu",1156.42857142857
2019-08-02,1780,"Fri",1189.42857142857
2019-08-03,0,NA,1158.85714285714
2019-08-04,0,NA,1158.85714285714
2019-08-05,1827,"Mon",1193.14285714286
2019-08-06,1628,"Tue",1215.71428571429
2019-08-07,1863,"Wed",1246
2019-08-08,1537,"Thu",1233.57142857143
2019-08-09,1720,"Fri",1225
2019-08-10,1,"Sat",1225.14285714286
2019-08-11,0,NA,1225.14285714286
2019-08-12,2042,"Mon",1255.85714285714
2019-08-13,1585,"Tue",1249.71428571429
2019-08-14,1534,"Wed",1202.71428571429
2019-08-15,1364,"Thu",1178
2019-08-16,1487,"Fri",1144.71428571429
2019-08-17,0,NA,1144.57142857143
2019-08-18,0,NA,1144.57142857143
2019-08-19,2425,"Mon",1199.28571428571
2019-08-20,1389,"Tue",1171.28571428571
2019-08-21,1692,"Wed",1193.85714285714
2019-08-22,1464,"Thu",1208.14285714286
2019-08-23,1393,"Fri",1194.71428571429
2019-08-24,0,NA,1194.71428571429
2019-08-25,0,NA,1194.71428571429
2019-08-26,1008,"Mon",992.285714285714
2019-08-27,1560,"Tue",1016.71428571429
2019-08-28,1625,"Wed",1007.14285714286
2019-08-29,1388,"Thu",996.285714285714
2019-08-30,1524,"Fri",1015
2019-08-31,1,"Sat",1015.14285714286
2019-09-01,12,"Sun",1016.85714285714
2019-09-02,1892,"Mon",1143.14285714286
2019-09-03,1706,"Tue",1164
2019-09-04,1573,"Wed",1156.57142857143
2019-09-05,1652,"Thu",1194.28571428571
2019-09-06,1961,"Fri",1256.71428571429
2019-09-07,0,NA,1256.57142857143
2019-09-08,0,NA,1254.85714285714
2019-09-09,1962,"Mon",1264.85714285714
2019-09-10,1743,"Tue",1270.14285714286
2019-09-11,1803,"Wed",1303
2019-09-12,1785,"Thu",1322
2019-09-13,2021,"Fri",1330.57142857143
2019-09-14,2,"Sat",1330.85714285714
2019-09-15,68,"Sun",1340.57142857143
2019-09-16,1996,"Mon",1345.42857142857
2019-09-17,1727,"Tue",1343.14285714286
2019-09-18,1580,"Wed",1311.28571428571
2019-09-19,1092,"Thu",1212.28571428571
2019-09-20,2051,"Fri",1216.57142857143
2019-09-21,1298,"Sat",1401.71428571429
2019-09-22,1,"Sun",1392.14285714286
2019-09-23,1557,"Mon",1329.42857142857
2019-09-24,1672,"Tue",1321.57142857143
2019-09-25,1772,"Wed",1349
2019-09-26,1812,"Thu",1451.85714285714
2019-09-27,1586,"Fri",1385.42857142857
2019-09-28,0,NA,1200
2019-09-29,0,NA,1199.85714285714
2019-09-30,2208,"Mon",1292.85714285714
2019-10-01,2081,"Tue",1351.28571428571
2019-10-02,1903,"Wed",1370
2019-10-03,1833,"Thu",1373
2019-10-04,1795,"Fri",1402.85714285714
2019-10-05,0,NA,1402.85714285714
2019-10-06,1,"Sun",1403
2019-10-07,2118,"Mon",1390.14285714286
2019-10-08,1877,"Tue",1361
2019-10-09,1894,"Wed",1359.71428571429
2019-10-10,2039,"Thu",1389.14285714286
2019-10-11,1540,"Fri",1352.71428571429
2019-10-12,979,"Sat",1492.57142857143
2019-10-13,30,"Sun",1496.71428571429
2019-10-14,1775,"Mon",1447.71428571429
2019-10-15,1721,"Tue",1425.42857142857
2019-10-16,1939,"Wed",1431.85714285714
2019-10-17,1750,"Thu",1390.57142857143
2019-10-18,1623,"Fri",1402.42857142857
2019-10-19,0,NA,1262.57142857143
2019-10-20,10,"Sun",1259.71428571429
2019-10-21,1769,"Mon",1258.85714285714
2019-10-22,1685,"Tue",1253.71428571429
2019-10-23,1817,"Wed",1236.28571428571
2019-10-24,1898,"Thu",1257.42857142857
2019-10-25,1625,"Fri",1257.71428571429
2019-10-26,0,NA,1257.71428571429
2019-10-27,0,NA,1256.28571428571
2019-10-28,2134,"Mon",1308.42857142857
2019-10-29,1926,"Tue",1342.85714285714
2019-10-30,1484,"Wed",1295.28571428571
2019-10-31,1459,"Thu",1232.57142857143
2019-11-01,1440,"Fri",1206.14285714286
2019-11-02,0,NA,1206.14285714286
2019-11-03,0,NA,1206.14285714286
2019-11-04,2152,"Mon",1208.71428571429
2019-11-05,1685,"Tue",1174.28571428571
2019-11-06,1833,"Wed",1224.14285714286
2019-11-07,1379,"Thu",1212.71428571429
2019-11-08,2003,"Fri",1293.14285714286
2019-11-09,1,"Sat",1293.28571428571
2019-11-10,1,"Sun",1293.42857142857
2019-11-11,1850,"Mon",1250.28571428571
2019-11-12,1948,"Tue",1287.85714285714
2019-11-13,1737,"Wed",1274.14285714286
2019-11-14,1495,"Thu",1290.71428571429
2019-11-15,1501,"Fri",1219
2019-11-16,0,NA,1218.85714285714
2019-11-17,0,NA,1218.71428571429
2019-11-18,2025,"Mon",1243.71428571429
2019-11-19,1787,"Tue",1220.71428571429
2019-11-20,2077,"Wed",1269.28571428571
2019-11-21,1567,"Thu",1279.57142857143
2019-11-22,1582,"Fri",1291.14285714286
2019-11-23,2,"Sat",1291.42857142857
2019-11-24,0,NA,1291.42857142857
2019-11-25,2286,"Mon",1328.71428571429
2019-11-26,1835,"Tue",1335.57142857143
2019-11-27,1817,"Wed",1298.42857142857
2019-11-28,1576,"Thu",1299.71428571429
2019-11-29,1681,"Fri",1313.85714285714
2019-11-30,0,NA,1313.57142857143
2019-12-01,11,"Sun",1315.14285714286
2019-12-02,2552,"Mon",1353.14285714286
2019-12-03,1570,"Tue",1315.28571428571
2019-12-04,1619,"Wed",1287
2019-12-05,1717,"Thu",1307.14285714286
2019-12-06,1385,"Fri",1264.85714285714
2019-12-07,0,NA,1264.85714285714
2019-12-08,0,NA,1263.28571428571
2019-12-09,2359,"Mon",1235.71428571429
2019-12-10,1495,"Tue",1225
2019-12-11,1551,"Wed",1215.28571428571
2019-12-12,1619,"Thu",1201.28571428571
2019-12-13,1350,"Fri",1196.28571428571
2019-12-14,0,NA,1196.28571428571
2019-12-15,0,NA,1196.28571428571
2019-12-16,2035,"Mon",1150
2019-12-17,1745,"Tue",1185.71428571429
2019-12-18,1714,"Wed",1209
2019-12-19,1708,"Thu",1221.71428571429
2019-12-20,1662,"Fri",1266.28571428571
2019-12-21,1,"Sat",1266.42857142857
2019-12-22,0,NA,1266.42857142857
2019-12-23,1907,"Mon",1248.14285714286
2019-12-24,641,"Tue",1090.42857142857
2019-12-25,0,NA,845.571428571429
