"week","Country","2022","2019","pct_change"
1,"England (excl. London)",8050,3770,113.527851458886
1,"London",3170,994,218.913480885312
1,"Northern Ireland",147,89,65.1685393258427
1,"Scotland",493,184,167.934782608696
1,"Wales",486,237,105.06329113924
2,"England (excl. London)",10951,5728,91.1836592178771
2,"London",3899,1561,149.775784753363
2,"Northern Ireland",199,103,93.2038834951456
2,"Scotland",744,441,68.7074829931973
2,"Wales",681,392,73.7244897959184
3,"England (excl. London)",10668,6141,73.7176355642404
3,"London",3861,1594,142.220828105395
3,"Northern Ireland",191,101,89.1089108910891
3,"Scotland",761,419,81.6229116945107
3,"Wales",715,410,74.390243902439
4,"England (excl. London)",10721,6484,65.3454657618754
4,"London",3923,1656,136.896135265701
4,"Northern Ireland",163,99,64.6464646464646
4,"Scotland",734,419,75.1789976133652
4,"Wales",745,435,71.264367816092
5,"England (excl. London)",11442,5813,96.8346808876656
5,"London",4083,1529,167.037279267495
5,"Northern Ireland",173,119,45.3781512605042
5,"Scotland",804,440,82.7272727272727
5,"Wales",882,378,133.333333333333
6,"England (excl. London)",11435,6990,63.5908440629471
6,"London",4171,1828,128.172866520788
6,"Northern Ireland",237,134,76.8656716417911
6,"Scotland",862,476,81.0924369747899
6,"Wales",812,458,77.292576419214
7,"England (excl. London)",11166,6233,79.1432696935665
7,"London",4021,1565,156.932907348243
7,"Northern Ireland",180,135,33.3333333333333
7,"Scotland",724,445,62.6966292134832
7,"Wales",771,422,82.7014218009479
8,"England (excl. London)",11111,6313,76.0019008395375
8,"London",4057,1554,161.068211068211
8,"Northern Ireland",220,137,60.5839416058394
8,"Scotland",848,614,38.1107491856677
8,"Wales",757,404,87.3762376237624
