"week","Area.covered","2022","2019","pct_change"
1,"Central London",1298,248,423.387096774193
1,"East London",464,136,241.176470588235
1,"North London",595,227,162.114537444934
1,"South East London",244,111,119.81981981982
1,"South West London",261,123,112.19512195122
1,"West London",308,149,106.711409395973
2,"Central London",1463,395,270.379746835443
2,"East London",552,253,118.181818181818
2,"North London",730,330,121.212121212121
2,"South East London",276,139,98.5611510791367
2,"South West London",371,202,83.6633663366337
2,"West London",507,242,109.504132231405
3,"Central London",1430,387,269.509043927649
3,"East London",537,252,113.095238095238
3,"North London",695,341,103.812316715543
3,"South East London",328,168,95.2380952380952
3,"South West London",333,203,64.0394088669951
3,"West London",538,243,121.399176954732
4,"Central London",1431,436,228.211009174312
4,"East London",536,278,92.8057553956834
4,"North London",708,295,140
4,"South East London",363,144,152.083333333333
4,"South West London",319,220,45
4,"West London",566,283,100
5,"Central London",1620,410,295.121951219512
5,"East London",507,224,126.339285714286
5,"North London",713,309,130.744336569579
5,"South East London",330,143,130.769230769231
5,"South West London",337,200,68.5
5,"West London",576,243,137.037037037037
6,"Central London",1568,453,246.136865342163
6,"East London",581,294,97.6190476190476
6,"North London",786,373,110.723860589812
6,"South East London",346,185,87.027027027027
6,"South West London",382,211,81.042654028436
6,"West London",508,312,62.8205128205128
7,"Central London",1534,380,303.684210526316
7,"East London",569,264,115.530303030303
7,"North London",720,307,134.527687296417
7,"South East London",305,163,87.1165644171779
7,"South West London",365,201,81.592039800995
7,"West London",528,250,111.2
8,"Central London",1584,386,310.362694300518
8,"East London",548,272,101.470588235294
8,"North London",711,325,118.769230769231
8,"South East London",348,155,124.516129032258
8,"South West London",323,178,81.4606741573034
8,"West London",543,238,128.151260504202
