"week","Section","2022","Section.name","2019","pct_change22_19"
1," A",89,"Agriculture, forestry and fishing",42,111.904761904762
1," B",14,"Mining and quarrying",13,7.69230769230769
1," C",701,"Manufacturing",305,129.83606557377
1," D",31,"Electricity, gas, steam and air conditioning supply",16,93.75
1," E",52,"Water supply; sewerage, waste management and remediation activities",12,333.333333333333
1," F",2243,"Construction",917,144.601962922574
1," G",3123,"Wholesale and retail trade; repair of motor vehicles and motorcycles",868,259.792626728111
1," H",569,"Transportation and storage",279,103.942652329749
1," I",2127,"Accommodation and food service activities",953,123.189926547744
1," K",2493,"Financial and insurance activities",843,195.729537366548
1," L",2040,"Real estate activities",892,128.699551569507
1," M",3301,"Professional, scientific and technical activities",2132,54.8311444652908
1," N",1360,"Administrative and support service activities",506,168.774703557312
1," O",44,"Public administration and defence; compulsory social security",15,193.333333333333
1," P",230,"Education",123,86.9918699186992
1," Q",716,"Human health and social work activities",265,170.188679245283
1," R",275,"Arts, entertainment and recreation",135,103.703703703704
1," S",555,"Other service activities",309,79.6116504854369
1," T",3,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use",1,200
1,"J",1619,"Information and communication",819,97.6800976800977
2," A",123,"Agriculture, forestry and fishing",56,119.642857142857
2," B",29,"Mining and quarrying",19,52.6315789473684
2," C",870,"Manufacturing",410,112.19512195122
2," D",54,"Electricity, gas, steam and air conditioning supply",30,80
2," E",56,"Water supply; sewerage, waste management and remediation activities",17,229.411764705882
2," F",2841,"Construction",1521,86.7850098619329
2," G",3908,"Wholesale and retail trade; repair of motor vehicles and motorcycles",1294,202.009273570325
2," H",824,"Transportation and storage",431,91.1832946635731
2," I",3175,"Accommodation and food service activities",1785,77.8711484593837
2," K",3401,"Financial and insurance activities",1448,134.875690607735
2," L",3184,"Real estate activities",1453,119.13282863042
2," M",4427,"Professional, scientific and technical activities",3218,37.5699192044748
2," N",2034,"Administrative and support service activities",872,133.256880733945
2," O",68,"Public administration and defence; compulsory social security",16,325
2," P",316,"Education",148,113.513513513514
2," Q",840,"Human health and social work activities",368,128.260869565217
2," R",450,"Arts, entertainment and recreation",266,69.1729323308271
2," S",774,"Other service activities",416,86.0576923076923
2," T",5,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use",4,25
2," U",3,"Activities of extraterritorial organisations and bodies",3,0
2,"J",1885,"Information and communication",1216,55.0164473684211
