"date","n","av7"
2019-01-01,57,NA
2019-01-02,1005,NA
2019-01-03,999,NA
2019-01-04,1453,NA
2019-01-05,1,NA
2019-01-06,0,NA
2019-01-07,1742,751
2019-01-08,1732,990.285714285714
2019-01-09,1408,1047.85714285714
2019-01-10,1468,1114.85714285714
2019-01-11,1378,1104.14285714286
2019-01-12,0,1104
2019-01-13,1,1104.14285714286
2019-01-14,2074,1151.57142857143
2019-01-15,1705,1147.71428571429
2019-01-16,1925,1221.57142857143
2019-01-17,1606,1241.28571428571
2019-01-18,1488,1257
2019-01-19,0,1257
2019-01-20,0,1256.85714285714
2019-01-21,1789,1216.14285714286
2019-01-22,1635,1206.14285714286
2019-01-23,1670,1169.71428571429
2019-01-24,1602,1169.14285714286
2019-01-25,1487,1169
2019-01-26,0,1169
2019-01-27,0,1169
2019-01-28,2505,1271.28571428571
2019-01-29,1684,1278.28571428571
2019-01-30,1511,1255.57142857143
2019-01-31,1414,1228.71428571429
2019-02-01,1530,1234.85714285714
2019-02-02,1,1235
2019-02-03,0,1235
2019-02-04,2005,1163.57142857143
2019-02-05,1768,1175.57142857143
2019-02-06,1810,1218.28571428571
2019-02-07,1857,1281.57142857143
2019-02-08,1583,1289.14285714286
2019-02-09,0,1289
2019-02-10,1,1289.14285714286
2019-02-11,2683,1386
2019-02-12,1847,1397.28571428571
2019-02-13,1786,1393.85714285714
2019-02-14,1429,1332.71428571429
2019-02-15,1805,1364.42857142857
2019-02-16,0,1364.42857142857
2019-02-17,0,1364.28571428571
2019-02-18,1777,1234.85714285714
2019-02-19,1982,1254.14285714286
2019-02-20,1756,1249.85714285714
2019-02-21,1439,1251.28571428571
2019-02-22,1512,1209.42857142857
2019-02-23,53,1217
2019-02-24,0,1217
2019-02-25,2141,1269
2019-02-26,1659,1222.85714285714
2019-02-27,1577,1197.28571428571
2019-02-28,1671,1230.42857142857
2019-03-01,1795,1270.85714285714
2019-03-02,1,1263.42857142857
2019-03-03,0,1263.42857142857
2019-03-04,2525,1318.28571428571
2019-03-05,1967,1362.28571428571
2019-03-06,1686,1377.85714285714
2019-03-07,1812,1398
2019-03-08,1940,1418.71428571429
2019-03-09,1094,1574.85714285714
2019-03-10,2,1575.14285714286
2019-03-11,1657,1451.14285714286
2019-03-12,1863,1436.28571428571
2019-03-13,2061,1489.85714285714
2019-03-14,1587,1457.71428571429
2019-03-15,1919,1454.71428571429
2019-03-16,1,1298.57142857143
2019-03-17,0,1298.28571428571
2019-03-18,2312,1391.85714285714
2019-03-19,1898,1396.85714285714
2019-03-20,1733,1350
2019-03-21,1967,1404.28571428571
2019-03-22,1567,1354
2019-03-23,1453,1561.42857142857
2019-03-24,0,1561.42857142857
2019-03-25,1275,1413.28571428571
2019-03-26,1731,1389.42857142857
2019-03-27,1984,1425.28571428571
2019-03-28,1700,1387.14285714286
2019-03-29,1836,1425.57142857143
2019-03-30,1474,1428.57142857143
2019-03-31,3,1429
2019-04-01,1910,1519.71428571429
2019-04-02,1767,1524.85714285714
2019-04-03,2031,1531.57142857143
2019-04-04,1568,1512.71428571429
2019-04-05,2063,1545.14285714286
2019-04-06,54,1342.28571428571
2019-04-07,1,1342
2019-04-08,2166,1378.57142857143
2019-04-09,1994,1411
2019-04-10,1900,1392.28571428571
2019-04-11,1833,1430.14285714286
2019-04-12,1985,1419
2019-04-13,875,1536.28571428571
2019-04-14,0,1536.14285714286
2019-04-15,1879,1495.14285714286
2019-04-16,1465,1419.57142857143
2019-04-17,1694,1390.14285714286
2019-04-18,1807,1386.42857142857
2019-04-19,0,1102.85714285714
2019-04-20,982,1118.14285714286
2019-04-21,0,1118.14285714286
2019-04-22,0,849.714285714286
2019-04-23,1809,898.857142857143
2019-04-24,1624,888.857142857143
2019-04-25,1545,851.428571428571
2019-04-26,1551,1073
2019-04-27,4,933.285714285714
2019-04-28,0,933.285714285714
2019-04-29,2111,1234.85714285714
2019-04-30,1511,1192.28571428571
2019-05-01,2085,1258.14285714286
2019-05-02,1528,1255.71428571429
2019-05-03,1893,1304.57142857143
2019-05-04,0,1304
2019-05-05,0,1304
2019-05-06,1,1002.57142857143
2019-05-07,2129,1090.85714285714
2019-05-08,1816,1052.42857142857
2019-05-09,1462,1043
2019-05-10,1754,1023.14285714286
2019-05-11,0,1023.14285714286
2019-05-12,0,1023.14285714286
2019-05-13,1885,1292.28571428571
2019-05-14,1692,1229.85714285714
2019-05-15,1798,1227.28571428571
2019-05-16,1770,1271.28571428571
2019-05-17,1791,1276.57142857143
2019-05-18,3,1277
2019-05-19,0,1277
2019-05-20,2222,1325.14285714286
2019-05-21,1965,1364.14285714286
2019-05-22,2015,1395.14285714286
2019-05-23,1753,1392.71428571429
2019-05-24,1526,1354.85714285714
2019-05-25,433,1416.28571428571
2019-05-26,1,1416.42857142857
2019-05-27,0,1099
2019-05-28,1469,1028.14285714286
2019-05-29,1823,1000.71428571429
2019-05-30,1508,965.714285714286
2019-05-31,1496,961.428571428571
2019-06-01,7,900.571428571429
2019-06-02,0,900.428571428571
2019-06-03,2082,1197.85714285714
2019-06-04,1534,1207.14285714286
2019-06-05,1984,1230.14285714286
2019-06-06,1521,1232
2019-06-07,1480,1229.71428571429
2019-06-08,0,1228.71428571429
2019-06-09,0,1228.71428571429
2019-06-10,2046,1223.57142857143
2019-06-11,1906,1276.71428571429
2019-06-12,1783,1248
2019-06-13,1637,1264.57142857143
2019-06-14,1591,1280.42857142857
2019-06-15,74,1291
2019-06-16,0,1291
2019-06-17,1924,1273.57142857143
2019-06-18,1735,1249.14285714286
2019-06-19,1922,1269
2019-06-20,1311,1222.42857142857
2019-06-21,1576,1220.28571428571
2019-06-22,0,1209.71428571429
2019-06-23,0,1209.71428571429
2019-06-24,1765,1187
2019-06-25,1801,1196.42857142857
2019-06-26,1613,1152.28571428571
2019-06-27,1499,1179.14285714286
2019-06-28,1447,1160.71428571429
2019-06-29,0,1160.71428571429
2019-06-30,0,1160.71428571429
2019-07-01,2079,1205.57142857143
2019-07-02,1798,1205.14285714286
2019-07-03,1932,1250.71428571429
2019-07-04,1497,1250.42857142857
2019-07-05,1442,1249.71428571429
